,0
0,"
Ser pai é a melhor coisa do mundo


                                    Pela primeira vez, sinto um pouco de medo,
pois meu mundo virou de pernas para o ar.
E não acho que isso seja fraqueza,
acho que é só o espanto de ser pai.

Agora tenho que ser mais responsável,
cuidar e proteger alguém que depende de mim.
É um pouco assustador, mas tudo se paga
quando olho nos olhos do meu bebê.

Descobri um novo amor, este amor de pai,
que se assusta um pouco, mas não foge
porque jamais virarei as costas para minha família.

Nem eu pensei que poderia vivenciar um sentimento tão profundo.
Ser pai é a melhor coisa do mundo!                                


"
1,"
Eu Já Te Adoro, Futuro Papai


                                    Eu adoro você, meu pai! Adoro com todas as minhas forças apesar de ainda não nos termos conhecido pessoalmente. Sou ainda um bebê crescendo no ventre da mamãe, mas já sinto amor por você.

Todas as vezes que seus dedos tocam na barriga da mãe eu estremeço; sorrio, danço, pulo de alegria. Sei que você vai me amar incondicionalmente, mas eu amarei você do mesmo jeito. Nossa hora está chegando, papai. Te amo.                                


"
2,"
Agradeço a Deus por tudo que vivi nesse ano


                                    Mais um ano passou
E a vida parece continuar,
Entre o que fui e o que sou
Há muito de bom para recordar.

Ano após ano vou amadurecendo
Em cada batalha, vitória ou decepção
E minha fé acaba se fortalecendo,
Cada dia é uma prova de superação.

Agradeço a Deus de coração
Por tudo que neste ano pude viver,
Por ter sido meu Pai, minha proteção,
A força que às vezes parecia não ter.

Que eu possa desfrutar de muitos anos
Ao lado das minhas pessoas amadas,
Que se concretizem meus sonhos e planos
E a vida vire um conto de fadas.                                


"
3,"
Pais adotivos e um amor incondicional


                                    Não há nada mais valioso neste mundo do que dar amor a uma criança que precisa. Por isso, hoje minha homenagem é para os pais que tinham tanto amor para dar que resolveram adotar um filho ou uma filha.

Vocês fazem o mundo um lugar melhor. Seu altruísmo e seu amor incondicional trazem um pouco de luz para este mundo escuro. Tenho certeza que Deus está olhando vocês lá de cima e abençoando esta nova família.

Parabéns a todos os papais adotivos deste mundo!                                


"
4,"
Você é maior que esta doença, pai


                                    Pai, sei que você está passando por um momento difícil e que esta doença parece que está tirando o melhor de você, mas não se deixe abater, pois faz parte da vida termos altos e baixos.

Você me ensinou lições preciosas, mas a que eu carrego comigo como a mais importante é esta: você é mais forte do que você imagina!

Tenho toda a certeza de que esta fase irá passar muito em breve e logo você voltará a ser a pessoa alegre e bem disposta que eu tanto amo! Força, pai!                                


"
5,"
Pai, seja forte e se mantenha positivo


                                    Querido pai, é muito difícil ver você doente, pois sempre associei a sua imagem a uma força incomparável. Mas justamente por causa dessa força também, sei que você irá sair desta muito em breve.

Estarei ao seu lado em todos os momentos para tudo que você precisar. Segurarei sua mão nos momentos difíceis e tenho certeza que daqui a pouco já estaremos rindo novamente.

Você irá superar tudo isso e tenho certeza que estará mais forte do que nunca!

Se mantenha positivo e não esqueça nunca que amo muito você, pai!                                


"
6,"
Sou um bebê de sorte por ter um pai como você


                                    Eu sou muito pequeno, mas quando estou nos seus braços, sinto toda a proteção, pai, e sei que nada de ruim pode acontecer. Você é meu herói e quando crescer, quero ser como você.

Mamãe me ensinou que todos os dias antes de dormir, devo agradecer a Deus pela família que tenho, porque vocês são muito especiais.

Eu ainda não sei falar, mas demonstro meu carinho nas pequenas coisas, papai, e sinto o seu amor toda vez que me abraça. Sinto-me o bebê mais sortudo do mundo por ter um pai que me ama tanto e cuida tão bem de mim.

Agradeço por tudo, pai. Amo você demais!                                


"
7,"
O meu padrasto é o pai perfeito


                                    Eu gosto de você como se fosse meu pai. Nunca irei lhe chamar padrasto, nunca irei lhe tratar como se fosse só um padrasto. Você é um amigo, um companheiro de vida que tive a sorte de um dia conhecer.

Nosso relacionamento é poderoso demais. Eu sei que você quer meu bem, que deseja o melhor para mim e que sempre fez qualquer coisa para garantir minha felicidade. 

Essa certeza é tudo que preciso para o considerar parte de mim. Desejo que nunca nos separemos, que eternamente contemos com a presença um do outro para todas as coisas que possam surgir na vida.

Continue correndo atrás dos seus sonhos, nunca desista do que lhe dá felicidade, paz e bem-estar. Você é uma pessoa muito especial para mim e eu preciso que esteja de bem com a vida para que a minha esteja igualmente feliz. 

Gosto muito de você, meu amigo de uma vida.
Um abraço e uma promessa de amor eterno.                                


"
8,"
Meu pai, meu herói, você vai vencer


                                    Meu pai, eu estou orando por você, para que tudo melhore; para que essa doença seja vencida. Você sempre foi um herói para mim e tenho certeza que esta dura etapa da sua vida será ultrapassada. Em pouco tempo estaremos sorrindo orgulhosamente após mais uma vitória.

Não pense em desistir nem enfraqueça perante as dificuldades do dia a dia. Já sabemos que não vai ser fácil, mas não duvide que vamos conseguir. Eu estarei ao seu lado em todos os momentos do mesmo jeito que você sempre fez comigo.

E prometo ostentar um sorriso sincero e repleto de fé todos os dias e em todos os instantes. Esse bicho será vencido com nosso amor, com nossa união; sem medo, sem fúria ou mágoa. Só amor. Vamos em frente, pai, e vamos batalhar até à última gota de suor. Te amo, pai!                                


"
9,"
Queria voltar a ser criança


                                    Crescer é ruim.
Tem responsabilidades...
Por que nos enganaram?
Disseram-me que adulto
Tem liberdade para fazer o que quer
Mentira, adulto é preso
Preso ao trabalho, à rotina, a alguém.
Queria poder passar a tarde brincando
Assistir pela décima vez
O filme da sessão da tarde.
Ir dormir cedo e acordar
Com o beijo da mãe no rosto
E ainda ter que escutá-la gritando
Mandando ir tomar banho
Para fazer a tarefa de casa.
Queria ver meu pai na reunião da escola
Atravessar a rua segurando
Bem firme em sua mão.
Ir à praia no domingo à tarde
E comer chocolate raspando a panela
Esperar meus pais no portão de casa
E contar como foi meu dia.
Ah, se alguém souber uma fórmula
Para fazer o tempo voltar
Por favor me comunique
Estarei trabalhando.                                


"
