,0
0,O mundo é de quem acorda feliz!
1,"Você atrai tudo aquilo que deseja, com pensamentos positivos e boas ações. Bom dia!"
2,"Tenha um bom dia, e lembre-se, faça sempre o seu melhor e alcançará tudo o que deseja."
3,Viva um dia de cada vez para ser feliz todos os dias. Bom dia!
4,"A cada nova manhã, nasce junto uma nova chance. Bom dia!"
5,Hoje é um dia que nunca mais irá se repetir. Aproveite. Tenha um bom dia!
6,"Bom dia! Comece o dia sorrindo. Afinal, coisa boa atrai coisa boa."
7,"Bom dia! Amenidades, leveza e calma na alma... É o que quero para hoje."
8,Bom dia! Hoje é um novo dia para que você se permita ser feliz.
9,"Pra hoje: sorrisos bobos, uma mente tranquila e um coração cheio de paz."
10,Bom dia! A vida sempre nos oferece uma segunda chance e ela se chama amanhecer!
11,"Desejo a você um bom dia, com um bom sorriso, bom humor, um bom café e boa fé!"
12,Hoje é dia de semear coisas boas.
13,Acorda! O melhor ainda está por vir. Bom dia!
14,Cada novo amanhecer é uma nova chance que a vida te dá!
15,"Hoje o dia vai ser lindão!

 "
16,"Viva cada momento, ria todos os dias, ame além das palavras... Tenha um bom dia!"
17,"Que o dia nos abrace com sorrisos, esperança e pitadas de aconchego."
18,Que o dia nos apronte boas surpresas e nos faça sorrir.
19,Bom dia é a forma mais disfarçada de falar 
20,Sorria! Deus acaba de te dar um novo dia e coisas extraordinárias podem acontecer se você crer!
21,"Um novo dia vem nascendo, um novo sol já vai raiar. Parece a vida, rompendo em luz e que nos convida a amar."
22,"Independente do que estiver sentindo, levante-se, vista-se e saia para brilhar."
23,"Tenha um bom dia, uma semana fantástica e uma vida maravilhosa."
24,"Bom dia! Que seu dia seja igual a vontade de Deus: bom, perfeito e agradável."
25,"Hoje eu acordei tão linda que quando fui bocejar, miei."
26,Hoje você tem duas opções: ser feliz ou ser mais feliz ainda. Bom dia!
27,Bom dia! Acorde todos os dias com um motivo para fazer o seu dia incrível.
28,Bom dia para você que acordou acreditando que tudo vai dar certo!
29,Não importa a cor do céu. Quem faz o dia bonito é você.
30,Hoje vai ser um bom dia!
31,O bom dia que você deseja só depende de você!
32,"Bom dia, amigo, que a paz seja contigo. Eu vim somente dizer que eu te amo tanto."
33,"Que esse dia seja cheio de energia positiva, amém."
34,As manhãs são um lembrete de que você está vivo por mais um dia. Bom dia!
35,"Três passos para ter um bom dia: sorria, agradeça e ame-se."
36,Todo dia é sempre um recomeço!
37,Comece o dia longe de toda negatividade. Bom dia!
38,O seu sorriso pode mudar o dia de alguém.
39,"Comece o dia com foco em coisas boas. Você é quem faz do seu dia um dia feliz. Seja como um fotógrafo, capture as melhores imagens e delete o que não preste."
40,Seja o bom dia que você deseja!
41,Levante com a fé e a coragem de ir atrás dos seus sonhos. Bom dia!
42,"Para começar bem o dia, uma pitadinha de amor e outra bem generosa de gratidão."
43,Bom dia é uma forma disfarçada de falar: acordei e pensei em você!
44,Que o amor seja a melhor forma de começar e terminar o dia.
45,Um pequeno pensamento positivo pela manhã pode mudar todo o seu dia.
46,"Bom dia pra você que, assim como eu, transforma o bem em um bem ainda maior e, como se não bastasse, sorri quando o mundo quer te fazer chorar!"
47,"Que o dia seja leve, que a tristeza seja breve e que o dia seja feliz. Bom dia!"
48,"A vida é o nosso maior presente, tenha consciência disso.  Bom Dia!"
49,Que hoje nada e nem ninguém estrague seu dia. Bom dia!
50,"Novo dia, nova emoção!"
51,Um dia feliz começa com um sorriso no rosto. Bom dia!
52,Comece cada dia sendo grato por ele. Bom dia!
