,0
0,"Mesmo a tempo, no exato momento em que eu mais precisava, chegou você para me trazer verdadeira alegria, minha linda sexta-feira!"
1,A alegria é fruto das conquistas do dia a dia.
2,Quem tem luz própria jamais se perderá no seu caminho.
3,"Estaremos juntos na alegria e na tristeza porque o que nos une vai muito além do nosso vínculo familiar, primo."
4,Há poucas coisas tão fatalmente contagiosas como a alegria das pessoas sérias.
5,Escolha uma estrada com um bom destino mas que lhe dê felicidade enquanto caminha nela.
6,Minha avó tem o coração mais puro e bonito do mundo e eu amo ela por isso!
7,Que é a vida senão uma série de loucuras inspiradas.
8,"Cheias de energia, alegres e de bem com a vida. Parece loucura, mas é apenas o meu grupo de amigas."
9,"O desgosto pode tomar conta de si próprio, mas para tirar todo o partido de uma alegria, temos de ter alguém com quem a partilhar."
10,"Minha vida sem você não teria alegria, apenas um coração cheio de infelicidade e melancolia."
11,Adormeci e sonhei que a vida era alegria; despertei e vi que a vida era serviço; servi e vi que o serviço era alegria.
12,Você está convidado para viver comigo toda a alegria do meu dia de debutante! Conto com a sua presença!
13,A beleza da vida está nos detalhes e saber enxergá-los é o que faz tudo valer a pena.
14,Nada ilumina mais meu dia que a beleza ímpar de um pôr do sol.
15,"Sonhe muito, viaje sempre e nunca, mas nunca desista dos seus sonhos!"
16,"Quando levantamos a cabeça e continuamos tentando, a sorte acaba por surgir!"
17,"Para você, bebê do meu coração, eu serei sempre alegria e verdade, amor e proteção. Você é meu anjo!"
18,Mundo das Mensagens
19,Quanta alegria por ter esta fofurinha no colo! É a melhor coisa que já aconteceu nas nossas vidas. ✨👶
20,"Pois a sua ira só dura um instante,
mas o seu favor dura a vida toda;
o choro pode persistir uma noite,
mas de manhã irrompe a alegria."
21,"Só os solitários conhecem a alegria da amizade. Outros têm suas famílias, mas só para um solitário e um exilado os amigos são tudo."
22,"A alegria abre, a tristeza fecha o coração."
23,"Entre brigas e alegrias, irmão é sempre irmão e tem lugar especial no nosso coração."
24,Aquele amigo de verdade sabe que tem um lugar no meu coração esteja onde estiver e contra tudo ou todos.
25,Triste é a vida para aquele que não encontra esperança nem beleza nos encantos deste mundo.
26,O som aniquila a grande beleza do silêncio.
27,"Que esta terça-feira traga amor, alegria e paz para todos nós!"
28,"Em cada pôr do sol eu me apercebo da existência divina, da beleza neste mundo tão especial."
29,Não é a beleza mas sim a humanidade o objetivo da literatura.
30,"Saber encontrar a alegria na alegria dos outros, é o segredo da felicidade."
31,Que Deus o abençoe neste dia e lhe conceda um domingo cheio de alegria e com muita paz! Tenha um bom domingo!
32,Da fantasia à folia vive o carnaval com sua típica alegria!
33,O sofrimento é o intervalo entre duas felicidades.
34,"💕Amor e namorado, só você me faz feliz, só seu jeito alegra meu coração."
35,Estou sempre alegre e essa é a melhor maneira de resolver os problemas da vida.
36,"A alegria está na luta, na tentativa, no sofrimento envolvido e não na vitoria propriamente dita."
37,O gênio é um por cento de inspiração e noventa e nove por cento de transpiração.
38,"Saúde, alegria e o amor de uma família abençoada: o que posso mais querer para ser feliz?"
39,"É bom ter livros de citações. Gravadas na memória, elas inspiram-nos bons pensamentos."
40,"No mundo dos sentimentos, a amizade é uma ilha isolada e longe da ganância ou  inveja própria das outras nações!"
41,Cada estação do ano tem sua beleza e folhas secas esvoaçando no ar é algo que me fascina nesta época de outono.
42,Quem nunca chorou de tristeza não sabe dar valor a um sorriso de alegria.
43,A beleza é sua e é você que sabe como quer ser. Nunca deixe ninguém lhe dizer o contrário!
44,"Só você pode determinar suas limitações, por isso não desista mesmo que tudo pareça perdido."
45,"Já vivemos muitas alegrias, mas eu quero muito mais ao seu lado, meu bem. Vamos namorar?"
46,As coisas bonitas que a boca diz e o coração não sente não têm valor.
47,Com mais ou menos trabalho e com maior ou menor inspiração eu não vou desistir de batalhar por aquilo em que acredito.
48,Um pouco de alegria e tudo melhora na vida.
49,"A beleza que realmente importa não se conhece através do olhar, mas apenas se pode enxergar com do coração."
50,"Meu Deus, Te agradeço pelo dia de hoje e por mais esta chance de aprender e de ser feliz! Oração, alegria e gratidão, hoje e sempre. Amém!"
51,Amigo verdadeiro é aquele que acompanha você na chuva ou na lama com um sorriso de alegria.
52,"A verdadeira felicidade está na própria casa, entre as alegrias da família."
53,"Não parta em busca de irrealidades, a conquista que nos pode trazer verdadeira alegria é a de conseguirmos ter quem mais amamos por perto."
54,"Talvez você não saiba, mas nada me dá mais ânimo do que essa força inspiradora que vive aí dentro do seu coração!"
55,"Mais importante do que a raridade do sentimento que nos une é a beleza desta amizade que nos mantém ligados como irmãos. Eu te adoro, amigo!"
