,0
0,"Desejo coisas boas o ano inteiro, a começar por Janeiro."
1,"Faça o que puder, com o que você tem, onde estiver."
2,Vivo com entusiasmo e confiança buscando sempre um futuro melhor e mais risonho.
3,Todos os nossos sonhos podem tornar-se realidade se tivermos a coragem de perseguí-los.
4,Treine sua mente para ver o lado bom de qualquer situação.
5,Autoconfiança é o primeiro passo para se atingir o sucesso.
6,"Ao invés de deixar a vida te levar, leve a vida com mais suavidade e alegria, pois cada momento é único."
7,"Ciclo da vida: tentar, cair, levantar, recomeçar. Nunca desistir."
8,"Não importa onde vamos chegar, o amor é a chave de todos os caminhos."
9,"Seja feliz, pense menos e viva mais!"
10,Acreditar que algo pode acontecer é o primeiro passo para algo ser realizado.
11,"Que hoje o amor aconteça, o bem prevaleça e o nosso coração transborde de paz!"
12,"Ninguém, além de você, está no controle da sua felicidade."
13,"Um dia você ainda vai olhar para trás e ver que os problemas eram, na verdade, os degraus que te levaram à vitória."
14,Cultive coisas boas na alma para a vida florescer!
15,"Sim, tudo vai ficar bem! Viva e faça o melhor que pode em todas as suas lutas diárias."
16,Vai dar tudo certo!
17,Faça o seu melhor e entregue nas mãos de Deus!
18,"Toda vez que você pensar em desistir, respire fundo, ore baixinho, convide a esperança, abrace a fé e vai."
19,Para hoje: não esqueça de ser feliz!
20,"Espalhe amor, alegria, espiritualidade, energia boa e o que mais você puder. Seja luz!"
21,"Creio de coração que tudo nesta vida se renova. Tudo recomeça, tudo renasce, tudo avança. Creio no bem e na força maior que nos move. Creio em dias de paz e que a felicidade acontece quando nos colocamos a favor de todo o bem, em tudo e para todos."
22,"É pra frente que se anda, é pra cima que se olha e é lutando que se conquista."
23,"Minha meta é dez, nove e meio nem rola."
24,Não há como provar a bondade sem carregá-la no coração.
25,Se jogue no que te faz sorrir.
26,Amar a si próprio é o inicio de um romance para toda a vida.
27,A força de dentro é maior que todos os ventos contrários.
28,"Sem limites, sem expectativas, um passo por vez e tudo acontece."
29,Eu tenho um lado que acredita em finais felizes. E ele é bem grande!
30,Bons pensamentos atraem acontecimentos magníficos.
31,"Está proibido abandonar seus sonhos, não importa quantas vezes caia, levante-se."
32,De negativo só quero a barriga!
33,Todo dia é propício para ser feliz.
34,Os sonhos antecedem as conquistas.
35,"Não dê ouvidos à escuridão, apenas a luz pode te dar o que você precisa."
36,"E para os dias sem cor, guarda chuva de flor."
37,Duvide do que vem fácil e não desista do que é difícil.
38,"Cuidemos do nosso coração porque é de lá que sai o que é bom e ruim, o que constrói e destrói."
39,Pense positivo. Pense que você pode e que você é capaz de coisas maiores.
40,"E tudo que atrasa, deixa a maré levar!"
41,Nunca é tarde para ter um novo objetivo ou sonhar um sonho novo.
42,Não deixe para depois. Valorize a vida!
43,Que vire rotina acordar todos os dias com o coração leve.
44,A vida não precisa ser perfeita para ser maravilhosa.
45,"Viva de vibrações positivas, seja feliz!"
46,A diferença entre o possível e o impossível está no tamanho da sua determinação.
47,Energia positiva é o melhor presente que a gente pode receber.
48,"As melhores coisas da vida são gratuitas: abraços, sorrisos, amigos, beijos, família, dormir, amor, risos e boas lembranças."
49,É no agir que a vida muda de forma.
