,0
0,"Se não puder fazer tudo, faça tudo que puder."
1,As noites mais escuras produzem as estrelas mais brilhantes.
2,"Lutar sempre, vencer às vezes, desistir nunca!"
3,Ninguém alcança sonhos altos sem antes saber a dor de cair.
4,"A vida não dá tréguas, então não abaixe a guarda nem por um instante."
5,O maior prazer da vida é fazer o que as pessoas dizem que você não é capaz.
6,"Por maior que seja, não há obstáculo que não possa ser superado."
7,Somos mais fortes do que parecemos e mais duros do que pensamos.
8,"Se o plano A não funcionar, lembre-se que o alfabeto tem diversas outras letras."
9,Deixe que seus sonhos sejam maiores que seus medos.
10,Cair é importante para aprender a se equilibrar e voar.
11,Ninguém nunca alcançou nada sem antes falhar diversas vezes e pensar em desistir. Seu sonho só tem valor se você continua lutando por ele.
12,"Se não houver vento, reme!"
13,Sonho bom é estar de olhos bem abertos vivendo tudo o que você conquistou.
14,A vida é dura com quem faz corpo mole.
15,Grandes batalhas só são dadas a grandes guerreiros.
16,"Seguir em frente, sempre!"
17,Acreditar em você já é metade do caminho.
18,"E se a vida se tornar uma barra, que seja de chocolate!"
19,A tristeza que a gente tem qualquer dia vai se acabar.
20,"Não consigo alterar a direção do vento, mas posso ajustar as minhas velas para sempre alcançar o meu destino."
21,"Quando desistir for mais fácil, continue insistindo. O difícil costuma valer muito mais a pena!"
22,Não deixe que o seu erro te defina.
23,"Chega um tempo na vida que a gente aprende que ninguém nos decepciona, nós que colocamos expectativa demais sobre as pessoas. 
Cada um é o que é e oferece aquilo que tem para oferecer."
24,Aproveite: seu tempo é agora!
25,Está na hora de seguir em frente e deixar o passado no lugar dele.
26,Grandes vitórias exigem grande dedicação.
27,Substitua o medo de perder pela vontade de ganhar!
28,"Independente das circunstâncias, não pare de sorrir!"
29,"Se você não está feliz com algo, mexa-se. Você não é uma árvore."
30,Não deixe que o medo de cair te impeça de voar.
31,Quando não há mais para onde correr é que se aprende a voar.
32,Aprenda a rir dos seus tropeços.
33,Situações difíceis constroem pessoas mais fortes.
34,"Não adianta só virar a página, muitas vezes precisamos rasgá-la."
35,Tudo o que você quer está do outro lado do medo.
36,"Querido passado, obrigado por tudo que me ensinou... Querido futuro, pode vir!"
37,Dificuldades preparam pessoas comuns para destinos extraordinários.
38,É com os tropeços que aprendemos a sair do chão.
39,Sem sacrifício não há vitória.
40,Acredite em você!
41,Esqueça. Sorria. Deixe ir.
42,A melhor maneira de mostrar que você é forte é permitindo que a sensibilidade tome conta nos momentos necessários.
43,"Quem supera, vence."
44,Vença os seus medos!
45,"Superar não é escolha, é necessidade."
46,Pra todo game-over existe um play again.
47,Você é mais forte do que imagina. Acredite.
48,Que o azedume alheio não te impeça de espalhar doçuras por aí.
49,"Se a vida não ficar mais fácil, trate de ficar mais forte."
