,0
0,"Onde estiver o teu coração, lá estará a tua verdade. A tua verdade fará teu ser vibrar e, onde tudo vibra, é lá que os sonhos acontecem."
1,"Se perdeu, procure. Se é seu, segure. Se estiver mal, se cure. Se é verdade, jure."
2,"Não se cobre tanto, permita-se errar."
3,"Nunca implore carinho, atenção ou amor. Se não é dado livremente, não vale a pena ter."
4,Não prometa quando estiver feliz. Não responda quando estiver com raiva. Não decida quanto estiver triste.
5,"Você é original, único, uma fonte de criatividade e intuição; só você vê com seus olhos e sente com seu coração. Escuta-te, segue com fé e não queira o destino do outro: faça o seu!"
6,Viver é melhor que sonhar!
7,Cuida do que te cura.
8,"O amor e a solidariedade recarregam a pilha de qualquer um. Não cobre, ofereça!"
9,O maior prazer da vida é fazer o que as pessoas dizem que você não é capaz.
10,Faça com boa vontade!
11,Não há dias cinzentos para quem sonha colorido.
12,Demanda coragem pra você ser totalmente você. Mas não existe melhor pessoa para você ser.
13,"O homem comum fala, o sábio escuta, o tolo discute."
14,"Misture-se com pessoas de bom coração!

 "
15,Seja feliz todo dia!
16,"Acredite, não é tarde demais para você olhar para si mesmo e dizer: "
17,"Antes de qualquer coisa, ore. Depois de qualquer coisa, agradeça."
18,"Queira o bem, plante o bem e o resto vem."
19,"Tudo tem a hora certa para acontecer. E, na maioria das vezes, aquilo que você mais deseja só vai acontecer quando você menos esperar."
20,Siga a sua intuição!
21,"Seja diferente: Não derrube, ajude a levantar."
22,"Olhe para dentro de você e descubra sua força interior, pois é dela que virá a solução para superar os seus medos."
23,"Quando a tristeza bater na sua porta, abra um belo sorriso e diga: desculpa, mas hoje a felicidade chegou primeiro!"
24,Correr riscos é melhor do que passar o resto da vida arrependido por não ter tentado.
25,Você é o que escolhe ser.
26,Pare de procurar uma cara metade! A gente já nasce por inteiro.
27,"A vida é feita de escolhas. Quando você dá um passo para frente, alguma coisa fica para trás."
28,Doe amor e o universo te devolverá gratidão.
29,A energia que você espalha é a mesma que você recebe!
30,"Distribua sorrisos, amor e palavras de ânimo. Tudo isso voltará para você!"
31,Desencana. Sempre vai ter alguém pra te dizer se o que você fez foi certo ou foi errado. Pouco importa. Dificilmente vão querer saber se era tudo o que você podia fazer.
32,Inspira. Respira. Não pira.
33,Foque nas coisas boas!
34,"Não importa o que aconteceu em seu passado, confie em seu futuro."
35,A melhor maneira de ser feliz é contribuindo para a felicidade dos outros.
36,"Indecisão é quando você sabe muito bem o que quer, mas acha que deveria querer outra coisa."
37,"Se algo bom acontecer, seja grato. Se algo ruim acontecer, seja forte."
38,Tire um momento para apreciar o quão incrível você é!
39,É nas pequenas batalhas que nos tornamos mais fortes.
40,O dia passa muito rápido para perder tempo com sentimentos ruins. Ame as pessoas que te tratam bem. Ore pelas que não o fazem.
41,Dificuldades preparam pessoas comuns para destinos extraordinários.
42,"Carregue consigo só o que for bom, o que vale a pena usar nessa vida... O essencial é simples e acalenta o coração."
43,Aponte pra fé e reme.
44,A determinação de hoje é o sucesso de amanhã.
45,Queira o bem. Faça o bem. O resto vem.
46,"Ame seus pais, sua vida e seus amigos. Seus pais, porque são únicos. Sua vida, porque é curta demais. Seus amigos, porque são raros."
47,Você se torna aquilo que pensa. Pense bem!
48,Quero ter alguém com quem conversar. Alguém que depois não use o que eu disse contra mim.
49,Nunca desista das coisas que fazem você sorrir.
50,"Uma mentira pode salvar seu presente, mas condena seu futuro."
51,"Se um dia a razão te pedir para desistir e o coração te mandar lutar, lute. Pois não é a razão que bate pra você viver e sim o coração."
52,Reclamar é um sinal de fraqueza: aceite as circunstâncias ou faça algo para muda-las.
53,"Se Deus encheu tua vida de obstáculos, é porque ele acredita na tua capacidade de passar por cada um."
54,Nunca se afaste de sua fé!
55,Você é mais forte do que imagina. Acredite.
56,Nunca desista de algo que você não consegue passar um dia sem pensar.
57,Espalhe o bem que a felicidade vem!
58,"Se for chorar, que seja de alegria. Se for mentir, que seja a idade. Se for roubar, que seja um abraço."
59,"As críticas sempre vão existir, então faz o que te faz feliz e segue o jogo."
60,"O que se faz com o coração, nunca é obrigação."
61,Atreva-se a ser simples.
62,Não se torne o que te feriu.
63,Seja leve. Esvazie o que te pesa. Valorize o que te alegra. Fale o que te afeta. Sinta forte o que te move. Silencie o que desgasta. Agradeça pelas coisas boas que acontecem.
64,"Não demonstre suas fraquezas, as pessoas têm o hábito de usá-las contra você."
65,É impossível viver sem ter falhado em alguma coisa. A menos que você viva tão cuidadosamente que não tenha vivido nada.
66,"Vive menina. Vive. Porque o tempo cura, e traz pra vida da gente um motivo maior pra seguir. Acredite: o passado não tem volta, e nada dói pra sempre."
67,Lamente menos e agradeça mais!
68,"Você não pode procurar a sorte, a sorte é que te procura."
69,Os que desprezam os pequenos acontecimentos nunca farão grandes descobertas. Pequenos momentos mudam grandes rotas.
70,Concentre toda sua energia naquilo que você mais acredita e deseja!
71,Seja calmaria. Tem gente demais sendo tempestade.
72,"O silêncio é a única resposta que devemos dar aos tolos. Porque onde a ignorância fala, a inteligência não dá palpites."
73,A alegria é o principal ingrediente da saúde.
74,Acredite no seu potencial!
75,A vida é dura com quem faz corpo mole.
76,A vida é de quem se atreve a viver.
77,"Faça valer a pena, as oportunidades não voltam."
78,É chique ser do bem.
79,"Acreditar é essencial, mas ter atitude é o que faz a diferença!"
80,Aprenda a se amar do jeito que você é. Tanto por dentro quanto por fora.
81,Deixe pra trás o que não te leva pra frente.
82,"Para que o homem seja próspero, o dinheiro não basta. É preciso ser bom, sábio e consciente."
83,Não acumule o que escurece a alma e amarela o sorriso. Acumule o que perfuma a vida!
84,"Um elogio sincero pode mudar o seu dia, que tal mudar o dia de alguém hoje?"
85,"Não importa quantas moedas você joga na fonte ou o número de dedos que você cruza, se não é pra ser, não vai ser!"
86,"Se você acreditar que uma coisa é impossível, você a tornará impossível."
87,"Não escolha a pessoa mais bonita do mundo. Escolha a pessoa que faz do seu mundo, o mais bonito."
88,"Quebre as regras: perdoe rapidamente, beije lentamente, ame de verdade e ria descontroladamente."
89,Aceite o que não pode mudar. Mude o que não pode aceitar.
90,Uma mentira coloca em dúvida todas as verdades.
91,"Sorria mais, reclame menos.

 "
92,"Cuidado, a tristeza vicia."
93,Colecione bons momentos!
94,Mantenha o foco no que é belo.
95,Acredite: tudo tem seu tempo.
96,Não perca a esperança. Você nunca sabe o que o amanhã vai te trazer.
97,Nunca desista de alguém que te faz sorrir nos piores momentos.
98,Não altere a voz ou saia gritando. Melhore os argumentos.
99,"Abrace a alegria, dê as mãos à sabedoria, dance em ritmo acelerado com a fantasia e respeite a calmaria."
100,Querer ser outra pessoa é um desperdício da pessoa que você é.
101,Na dificuldade conhecemos os verdadeiros amigos.
102,Quando você se afasta do que te atrasa tudo começa a dar certo.
103,"Suba o primeiro degrau com fé. Não é necessário que você veja toda a escada, apenas dê o primeiro passo."
104,Gentileza gera gentileza!
105,Não tenha medo de errar.
106,Seja forte o suficiente para deixar ir e paciente o suficiente para esperar por aquilo que você merece.
107,"Se a caminhada está difícil, é porque você está no caminho certo."
108,"Para os erros, há perdão. Para os fracassos, chance. Para os amores impossíveis, tempo. Não deixe que a saudade sufoque, que a rotina acomode, e que o medo impeça de tentar."
109,"Quando conseguimos expressar quem a gente é, naquilo que a gente faz, então conseguimos experimentar a realização plena."
110,"Eu nasci para ser feliz, não para ser normal."
111,"Gratidão é um dos bens mais valiosos da alma.

 "
112,"Viva simples, sonhe grande, seja grato, dê amor, ria muito!"
113,Ousadia é ser você mesmo.
114,Corra atrás do que te faz muito feliz.
115,Não faça nada que não te deixe em paz consigo mesmo.
116,"E eu continuo indo, seguindo meu caminho. Mudando, errando, mas principalmente, aprendendo com o que eu erro. Não me preocupo se minha evolução é lenta, contanto que ela seja pra melhor."
117,Para os dias bons: sorrisos. Para os dias ruins: paciência. Para todos os dias: fé.
118,A vida muda quando você muda.
119,"Se custar a sua paz, então é caro demais."
120,"Num mundo onde você pode ser o que quiser, seja gentil!"
121,"Não desanime, muita coisa boa vai acontecer."
122,Nada é por acaso. Acredite em seus sonhos e nos seus potenciais. Na vida tudo se supera!
123,A gratidão é o sentimento mais doce que existe.
124,"Se não plantar, não nasce. Se não regar, não cresce. Se não amar, morre. Assim são as plantas, assim são as pessoas."
125,"Não existe caminho novo, existe um novo jeito de caminhar."
126,A maioria de nós prefere olhar para fora e não para dentro de si próprio.
127,"Não deixe as pessoas te colocarem na tempestade delas, coloque-as na sua paz."
128,Ser humilde não é ser menos que alguém. É saber que não somos mais que ninguém.
129,Cultive o amor por onde você for.
130,"O bem que você faz hoje pode ser esquecido amanhã. Faça o bem assim mesmo. Veja que, ao final das contas, é tudo entre você e Deus! Nunca foi entre você e os outros."
131,"Se for pra trair, não namore. Se for pra iludir, não diga que ama. Se for pra ser falso, não vire amigo. O mundo não precisa disso."
132,Para se ter vida longa é preciso viver devagar.
133,"Assim como o sol retorna com o seu brilho após a tempestade, você encontrará luz após a escuridão."
134,"Independente do que estiver sentindo, levante-se, vista-se e saia para brilhar."
135,A honestidade nunca sai de moda!
136,"Confie em quem te dá confiança, ame quem te dá amor, cuide de quem cuida de você."
137,"Você recebe de volta a energia que emana, pense nas coisas dando certo, nas pessoas à sua volta sendo felizes, aceite mais."
138,A hora de faxinar seu coração é agora.
139,"Se você quer ter algo que nunca teve, faça algo que nunca fez."
140,Pare de ter medo do que poderia dar errado e pense no que poderia dar certo.
141,Cultive as suas amizades.
142,"Nunca economize: amor ao próximo, gentileza, sorrisos e bom humor."
143,"Para realizar coisas grandes, comece pequeno."
144,As crises não afastam os amigos. Apenas selecionam.
145,Quer um conselho? Valorize-se.
146,Bons momentos se tornam boas lembranças. Maus momentos se tornam grandes lições.
147,"Se você deseja o bem, o bem deseja você!"
148,"Se você não tiver por quem continuar, continue por você mesmo."
149,Aprenda a rir dos seus tropeços.
150,"Errar é humano, assumir o erro é caráter."
151,Não faça aos outros o que você não quer que seja feito a você.
152,Os únicos limites de sua mente são aqueles que você acredita ter.
153,"O segredo da longevidade é comer a metade, andar o dobro e rir o triplo."
154,Algumas vezes coisas ruins acontecem em nossas vidas para nos colocar na direção das melhores coisas que poderíamos viver.
155,A vida é mais doce para quem carrega amor no coração.
156,Seja um incentivador. O mundo já tem críticos demais.
157,A solidariedade estimula gentileza e gera mais saúde.
158,"Mude o modo que você olha para as coisas, e as coisas que você olha mudarão."
159,"Ignore o passado imperfeito, ignore o presente cheio de defeitos, pense, crie um amanhã do seu jeito."
160,"Seja humilde para admitir seus erros, inteligente para aprender com eles e maduro para corrigi-los."
161,"Em vez de reclamar da vida, levante a cabeça, sacuda a poeira e dê a volta por cima. Afinal, dias ruins são necessários para que os bons valham a pena!"
162,"É bom ser importante, mas é mais importante ser bom."
163,"Se você quiser que sua vida tenha um novo sentido, um novo sabor, bote fé, bote esperança e bote amor."
164,"Seja uma boa pessoa, mas não perca seu tempo provando isso."
165,A melhor maneira de prever o futuro é criá-lo.
166,"E quanto mais a gente anda no mundo, mais se conhece por dentro."
167,"Vai. E se der medo, vai com medo mesmo."
168,Tudo vem com um propósito e vai por uma razão.
169,Nada torna nossa vida e a vida de outros mais bela que a bondade.
170,Não se coloque à disposição de quem está sempre indisposto para você.
171,Não adianta usar força bruta para tudo. São os simples gestos que param o mundo.
172,"Quando todos forem maldade, ouse ser do bem!"
