,0
0,"Nunca acreditei nessa historia de destino, mas existem momentos que são perfeitos demais para serem considerados acaso."
1,Sucesso é ir dormir todas as noites com a alma em paz.
2,"Que tudo siga em paz e se não for pedir demais, livrai-me do mal, amém."
3,Espalhe gentileza por ai como se fosse confete!
4,"Às vezes a vida é como uma roda-gigante: se você tem medo de altura, você perde a chance de ter a vista mais bela do parque."
5,"Num mundo cinza, use suas cores vibrantes para pintar o amor."
6,"O mais valioso dos bens, depois da saúde, é a paz interior."
7,"Aparência é detalhe, caráter é  fundamental, amor é necessário."
8,"A subida é difícil, mas a vista lá de cima vale a pena."
9,"Meta, a gente busca. Caminho, a gente acha. Desafio, a gente enfrenta. Vida, a gente inventa. Saudade, a gente mata. Sonho, a gente realiza."
10,Amor é tudo aquilo que é cultivado com verdade.
11,"Sim, a vida é uma montanha-russa. Sentimos frio na barriga, medo, adrenalina. E no final fica tudo bem!"
12,"Ao menor sinal de amor, retribua."
13,"Mesmo quando a escolha não é certa, a lição é."
14,"Somente leve para o amanhã, o que te fez bem hoje. Não crie raízes nas coisas que não precisam ser eternas."
15,As melhores pessoas do mundo são aquelas que te fazem rir naqueles momentos que você só queria deitar e chorar.
16,Faça tudo com amor e jamais te faltará coisas boas na vida. O universo retribui!
17,É entre sorrisos que o amor se prolifera. Sorria!
18,E que a gente se encante cada vez mais pela simplicidade e pelo que é de verdade.
19,É melhor conquistar a si mesmo do que vencer mil batalhas.
20,Nenhuma oração feita com fé é em vão.
21,"Tenho encontrado em Deus o descanso para a alma, o alivio para os ombros e a paz para o coração."
22,E quando amanhecer não deixe seus sonhos no travesseiro.
23,"Ei, não desista! Você pode suportar tudo!"
24,Nunca esqueça que o amor deve ser o centro de tudo.
25,"Não importa a religião, agradecer sempre será a prece mais bonita que existe."
26,"Lutar pelo amor é bom, mas alcançá-lo sem luta é melhor."
27,Que eu seja o sol no meio de tanta gente nublada.
28,Melhore o dia de alguém!
29,"No fim tudo dá certo. Se não deu certo, é porque ainda não é o fim."
30,"Quando não souber o que fazer, faça uma prece."
31,"A vida tem lá os seus desastres, mas existem pessoas que nos fazem passar por eles sorrindo."
32,Tire um segundo para pensar sobre como você é abençoado.
33,"Não se preocupe, não tenha pressa. O que é seu, encontrará um caminho para chegar até você. Deus não demora, ele capricha."
34,"A vida não é medida pela quantidade de vezes que respiramos, mas pelos momentos que nos tiram a respiração."
35,As coisas não parecem tão assustadoras quando você tem um grande amigo.
36,Fazer o que se gosta é liberdade. Gostar do que se faz é felicidade.
37,"A pessoa de mal gênio sempre causa problemas, mas a que tem paciência traz a paz. Provérbios 15:18"
38,Pare de tentar ser perfeito e seja feliz!
39,"Você nunca será bom o suficiente para todos, mas será perfeito para aquela pessoa que te merece."
40,"Não é porque você ama que vai funcionar, mas é porque você ama, que vai fazer funcionar."
41,"O importante não é quem sorri com você, mas quem vai estar com você quando não puder sorrir."
42,A gratidão é a palavra chave para tudo acontecer.
43,Quem acredita sempre alcança.
