,0
0,Deus me ensinou que silêncio também é resposta.
1,4 Letras e 1 perfeição: Deus.
2,Obrigado Deus por me abençoar muito mais do que eu mereço.
3,"Porque Deus tanto amou o mundo que deu o seu Filho Único, para que todo o que nele crer não pereça, mas tenha a vida eterna. (João 3:16)"
4,"Há sempre algo para nos tirar a paz, mas há sempre Deus para devolvê-la."
5,Sorria! Deus acaba de te dar um novo dia e coisas extraordinárias podem acontecer se você crer!
6,"Às vezes Deus te leva pelo caminho mais longo, não para punir, mas sim para te preparar."
7,"Talvez Deus não mude tua situação, mas Ele está usando essa situação para mudar você."
8,A vontade de Deus nunca vai te fazer mal algum.
9,Deus jamais tirou os olhos de você. Nem tampouco deixou de escutar suas orações.
10,É lindo saber que tem um Deus que cuida da gente.
11,Deus te abençoe!
12,Quando o mundo diz 
13,"Ele te ama, te completa, te ensina, te ajuda, te levanta, Ele é Deus."
14,"Deus tem um propósito para sua dor, uma razão para sua luta e uma recompensa por sua fidelidade. Não desista!"
15,O segredo é ter fé em Deus.
16,"Deus sabe o que é melhor. Se Ele faz, confie."
17,"Qualquer obstáculo, com Deus, torna-se um grão de areia."
18,Prepare-se! O dia do Senhor está perto.
19,Confiar nos planos de Deus é o melhor dos suspiros.
20,Ser humilde é saber o seu real tamanho diante da grandeza de Deus.
21,"Ou existe Deus, ou a vida não tem sentido nenhum."
22,"Todos os dias, logo cedo dou uma piscadinha para Deus e peço: tomara que as nossas vontades coincidam. E se não coincidirem, que a Sua prevaleça."
23,"Se Deus encheu tua vida de obstáculos, é porque ele acredita na tua capacidade de passar por cada um."
24,Deus tem um propósito até nos dias mais difíceis.
25,Que Deus nos conceda um dia abençoado e cheio de vitória.
26,Quando Deus nos escolhe Ele mesmo nos capacita.
27,"Não é sorte, é Deus."
28,"Deus não castiga, Deus ensina. Deus não tira, Deus livra. Deus não demora, Deus capricha."
29,Nada supera o amor de Deus.
30,Ore. Espere. Confie.
31,"Senhor Deus, hoje eu não quero pedir nada, porque eu já pedi tanto e tanta coisa me foi dada. Eu só quero agradecer: muito obrigado!"
32,"Deus obrigado por iluminar o meu caminho. Minha vida tem sido marcada por realizações diárias, que às vezes não dou o devido valor, mas eu sei que a graça de Deus se faz presente em todos os momentos da minha vida."
33,"Os bons dias lhe dão felicidade. Os maus dias lhe dão experiência. Ambos são essenciais para vida. A felicidade te faz doce, os problemas te mantém forte, a dor te mantém humano, as quedas te mantém humilde, o êxito te mantém brilhante. Mas só Deus te mantém de pé."
34,Deixe que sua fé seja maior que seus problemas.
35,"Eu sei que é difícil esperar, mas Deus tem um tempo pra agir e pra curar, só é preciso confiar."
36,"Meu Deus, me desculpe pelas vezes em que mais reclamei do que agradeci."
37,Fé não é achar que Deus fará tudo o que você quiser. Fé é crer que Ele fará o que for melhor pra você.
38,"Obrigado Senhor, pelo Seu maravilhoso amor. (Salmo 107:15)"
39,"Ensina-me, Senhor, o Teu caminho, e andarei na Tua verdade; une o meu coração ao temor do Teu nome. (Salmo 86:11)"
40,"Não sei o que me espera amanhã, mas estou em paz, pois sei que Deus tem o melhor para mim."
41,Deus é bom o tempo todo.
42,"Deus é o único que reconstrói teu coração, mesmo quando você entristece o dele."
43,"Foi Deus quem te escolheu. Não importa quem te rejeitou. Ele te aceitou, Ele já te amou."
44,"Agradeço a Deus pelas conquistas até o momento, mas peço a Ele para me dar sabedoria para conquistar muito mais."
45,"Fé é assim: primeiro você coloca o pé, depois Deus coloca o chão."
46,Deus sabe o que faz.
47,"Coisas negativas não chegam até mim, Deus é meu escudo."
48,"Em meio a tempestades, confie em Deus."
49,Obrigado Deus pelo dia de hoje!
