,0
0,"Quando você se afasta do que te faz mal, você fica de bem com a vida."
1,"Às vezes o mais difícil da vida é isso: não é dar o que a gente tem, é dar o que a gente é!"
2,Só é perda de tempo se você não aprende nada.
3,"Somos tão complexos, que, quando não temos problemas, nós os criamos."
4,"Ninguém cruza nosso caminho por acaso e nós não entramos na vida de alguém sem nenhuma razão.

 "
5,Paz de espírito é aprender a dizer não sem precisar se explicar.
6,"Algumas pessoas sempre vão jogar pedras no seu caminho, depende de você o que você faz com elas. Uma parede ou uma ponte?"
7,O otimista vê uma oportunidade em cada desastre. O pessimista vê um desastre em cada oportunidade.
8,Tenha cuidado com aquilo que você faz quando está com raiva. Algumas atitudes deixam marcas que duram para sempre.
9,"Muitos dizem o que pensam, mas poucos dizem o que sentem."
10,Cuide de quem decidiu ficar.
11,Quase sempre é muito cedo para ser tarde demais.
12,A virtude sempre dura mais do que as outras qualidades e sempre é a primeira a aparecer.
13,Ser diferente é normal.
14,"Mude, mas comece devagar, porque a direção é mais importante que a velocidade."
15,Como são admiráveis as pessoas que nós não conhecemos bem.
16,Sempre vai ter alguém pra te julgar. Cabe a você se importar ou não.
17,"Somente quando mudar o caminho, conseguirá mudar o destino."
18,"O que você pediria nesse exato momento, se soubesse que a resposta seria ‘sim’?"
19,"Sem dor, como poderíamos reconhecer o prazer?"
20,"Indecisão é quando você sabe muito bem o que quer, mas acha que deveria querer outra coisa."
21,"Não confio em pessoas que não gostam de cachorro, mas confio totalmente num cachorro quando ele não gosta de uma pessoa."
22,Só podemos oferecer coisas boas se tivermos coisas boas para oferecer.
23,Você se torna aquilo que pensa. Pense bem!
24,"Abstinência de palavras, overdose de pensamentos."
25,"Aprendi a sorrir, porque chorar eu já nasci sabendo."
26,"Acredite: o mundo dá voltas e as pessoas que antes te ignoravam, amanhã podem implorar por sua atenção."
27,É na simplicidade que se encontra o essencial.
28,"O que se faz com o coração, nunca é obrigação."
29,Talvez o hoje seja o amanhã que você tanto procura.
30,"Sei que às vezes uso palavras repetidas, mas quais são as palavras que nunca são ditas?"
31,"Eu gosto da palavra “era”. Era dor, era amor, era saudade. Não é mais."
32,"O passado está na tua cabeça, o futuro nas tuas mãos."
33,Os adjetivos passam e os substantivos ficam.
34,O homem não nasceu para a morte: o homem nasceu para a vida e para a imortalidade.
35,"Coração florido dorme em paz por ser feliz, sem enterrar a felicidade de ninguém."
36,Eu passo 99% do tempo tentando entender o 1%.
37,"Algumas pessoas surgem em nossas vidas como uma benção, outras como lição."
38,Quem pensa por si só é livre e ser livre é coisa muito séria.
39,"Borboletas não conseguem ver suas próprias asas. Elas não conseguem ver o quanto são verdadeiramente lindas, mas todos os outros podem ver. As pessoas também são assim."
