,0
0,Eu acredito em um amanhã melhor porque hoje é sexta-feira!
1,"Meu cérebro está fechado até segunda-feira. Favor não me fazer perguntas difíceis, apenas me chame pra beber!"
2,Quando chega a sexta-feira eu volto a me apaixonar pela semana.
3,"Faça chuva ou faça sol, o importante é que hoje é sexta-feira!"
4,"A solidão pode nos magoar, mas pelo menos tem a vantagem de não nos trair."
5,"Está decretado, hoje é sexta-feira!"
6,"Se chorei ou se sorri, o importante é que sexta-feira vem aí."
7,"Hoje é sexta-feira, dia de arrasar!"
8,"Paz, café, boas ideias e uma sexta-feira feliz!"
9,"Se é para o bem de todos e felicidade geral da nação, diga ao povo que hoje é sexta-feira!"
10,Sexta feira 13 é fichinha perto de qualquer segunda feira.
11,Sexta-feira é aquele dia em que temos paciência para tudo só porque sabemos que o fim de semana está chegando.
12,Sempre que chega este dia eu sinto meu coração aos pulos e meu ânimo subindo. Boa sexta-feira!
13,"Te aceito sexta-feira, como minha legítima esposa, para amar e te respeitar até que a segunda nos separe."
14,A sexta-feira chegou e o sono acumulado da semana toda também…
15,Uma boa notícia: chegou a sexta-feira. Aproveite!
16,"Relaxa, hoje é sexta-feira!"
17,Quem curte sexta-feira toca aqui!
18,"Sextou, hoje ninguém me acha!"
19,Hoje é sexta! Cole isso no seu mural e em 7 dias voltará a ser sexta. Funciona mesmo!
20,"Sexta, eu te amo. Sábado, não fique com ciúmes, também te amo."
21,"Coisas boas podem acontecer todos os dias, mas nas sextas-feiras elas têm mais chances."
22,"Se joga, hoje é sexta-feira!"
23,"Brigadeiro, felicidade e sexta-feira têm 10 letras. Isso não pode ser coincidência!"
24,"Tô de boa, hoje é sexta."
25,O dia de hoje faz com que todos os problemas desapareçam. Boa sexta-feira!
26,Encha a sexta-feira com o que você tem de melhor.
27,Que a sua sexta-feira brilhe.
28,"Sexta-feira, quando alguém te diz bom dia e você responde: óbvio."
29,"Sou feliz diariamente, mas na sexta-feira costumo exagerar!"
30,É preciso amar as pessoas como se elas fossem sexta-feira!
31,"Hoje é sexta, dia de ficar mais louco que o Batman!"
32,"Sextinha boa pra ficar em casa fazendo nada, gosto assim!"
33,"Sexta-feira tem cheirinho de pipoca, chocolate quente e maratona de séries."
34,"Se sexta-feira fosse uma roupa, seria aquela que a gente quer usar todo dia!"
35,Tudo muda e até os sorrisos são diferentes quando chega sexta-feira!
36,Quem curte a sexta-feira levanta a mão…
37,"Sexta-feira é o dia mais esperado da semana, onde todos querem sair e se divertir."
38,Acordar e lembrar que hoje é sexta-feira é a melhor sensação do mundo!
39,"Se a sexta-feira gostasse tanto de mim como eu gosto dela, teríamos o romance mais apaixonante de todos os tempos!"
40,A vida é muito curta para não reunir amigos na sexta-feira.
41,Sexta-feira chegou e com ela veio toda alegria para aproveitar em grande estilo.
42,"Sexta-feira, no meu coração você é a primeira!"
43,"Hoje vou oferecer sorrisos e abraços, afinal é sexta-feira e o melhor da semana está chegando."
44,"Se existisse justiça nesse mundo, de segunda até sexta levaria menos tempo que de sexta até segunda."
45,"Hoje é sexta, meu bem. Nada pode me abalar!"
