,0
0,"

Homenagem a uma Mãe que também é Pai

 

                    A você, que sozinha carrega a maior das responsabilidades, a mais elevada das missões, um feliz dia das Mães!

Você que é mulher, mãe e pai, que mesmo sozinha não fugiu da responsabilidade e sempre colocou a felicidade do seu filho em primeiro lugar, merece todos os elogios, todas as homenagens.

Você é mulher guerreira, corajosa, uma força da natureza, pois você não se diminuiu e assumiu os dois grandes papeis do teatro da vida, mãe e pai. Você é essência que ilumina, que orienta. Você é colo, sorriso e palavra de conforto. Você é exemplo de vida, autoridade que educa.

Você é tudo em uma pessoa só, às vezes esquecendo ou negligenciando seus próprios interesses em favor de outros, pois seu coração é maior que o universo e nele vive um amor infinito e incondicional. 

Sorrisos e lágrimas alternam em seu rosto consumido de preocupação constante. Mas para você, que é mãe e pai, a recompensa está garantida através do amor e reconhecimento dos seus filhos, e da certeza de estar fazendo um trabalho maravilhoso!                

"
1,Declaração de amor: dicas de como se declarar à pessoa que você gosta
2,As 49 melhores frases para irmãs cheias de amor para você demonstrar todo seu carinho fraternal
3,30 frases sobre o futuro que farão você refletir sobre a vida
4,"
Uma homenagem de filha para pai
Pai, você significa tanto para mim. É pai, mas também é amigo, é protetor, é carinho e é amor. Você é o meu herói, o meu primeiro e grande amor. 

Você é um grande homem, o melhor pai e a minha orientação na vida. Sou uma filha feliz, orgulhosa e muito amada, e tudo que vou conquistando pela vida devo a você. 

Obrigada por tudo, meu pai! Te amo.

"
5,"
Mãe que também é pai e merece um dia abençoado
Tudo que eu preciso, encontro em você, mãe! Você é uma bênção na minha vida.

Hoje, vejo todo mundo homenageando seus pais e quero deixar aqui o meu agradecimento para você que é mãe, pai e amiga.

É muito bom saber que tenho você para me acompanhar pela vida, tenho você para me apoiar e me cuidar. Você significa muito para mim, mãe!

Feliz dia para você, minha mãe abençoada!

"
6,"
Uma pequena homenagem para você, pai
Ser pai nem sempre é fácil, pois até as melhores coisas da vida às vezes são complicadas. Mas há pais que fazem tudo parecer fácil e simples por serem tão perfeitos, e o melhor entre os melhores é você, papai. 

Sempre amigo, sempre comigo, hoje sei que tive muita sorte por crescer com um pai como você. Esta pequena homenagem é para você, para agradecer por tudo e dizer que eu amo muito você!

"
7,Dia das Mães: como prestar homenagem a uma mãe que está longe
8,"
A mãe que sempre foi pai também
Você foi, é e sempre será o maior exemplo de amor que algum dia conheci na vida. Neste dia dos pais eu quero lhe desejar a jornada mais linda de todas, porque você é mãe e é pai ao mesmo tempo e merece ser feliz!

Eu a amo profundamente! Não há um só momento em duvide do meu sentimento. Tudo que me proporcionou, todas as coisas lindas que me ofereceu, tudo, tudo isso está gravado na minha memória. 

Saiba também que é a minha inspiração número um. Não é qualquer pessoa que tem a força e a dedicação que você tem, mesmo no meio de grandes tempestades. 

Mãe, esta é minha homenagem. Eu a adoro e torço pelo seu bem-estar todos os dias! Nunca deixe de ser assim, uma autêntica guerreira da justiça e do amor. Feliz Dia dos Pais, mamãe!

"
9,Homenagem para mãe: gestos e demonstrações  de amor para todas as mães
10,20 cartas para o Dia dos Pais para você expressar todo o seu amor
11,35 declarações de amor apaixonantes para você se inspirar
12,Feliz aniversário mãe: ideias para comemorar a data especial da sua mamãe querida
13,Mundo das Mensagens
14,"
Uma filha de parabéns e sua mãe também
Você está de parabéns, mas eu estou também. Filha, você completa mais um ano de vida e eu de felicidade. O dia do seu nascimento ficará para sempre marcado na minha memória. Foi tudo tão mágico! 

Parece que todos os segundinhos ficaram gravados na minha memória. Recordo tudo com uma perfeita exatidão. Como você é especial para mim! Filha, quero ver você sempre feliz e a sorrir.

Preciso de enxergar leveza no seu rosto encantador, de a ver de bem com a vida dia após dia. Minha querida, mais do que um amor igual a qualquer outro, o nosso é de mãe e filha: o maior que existe no mundo. 

Parabéns para você!
Parabéns para nós.

"
