,0
0,"
Meu pai, meu amigo, meu herói, meu tudo


                                    Meu pai, toda minha vida você tem sido uma estável referência, o meu maior exemplo, a minha verdadeira inspiração. Você é o meu herói, aquele a quem sempre olharei como se fosse uma divindade.

Meu pai, hoje eu quero agradecer por tudo que você já fez e continua fazendo por mim, e lhe dizer que o meu amor por você é maior que o infinito e tão inesgotável quanto o tempo.

Você é meu pai, meu amigo, meu herói, meu tudo! Eu te amo!                                


"
1,O nosso amor será eterno
2,Quero você sempre comigo
3,"
Te amo mais que ontem


                                    Eu te amo como jamais 
outro alguém vai te amar!
Olhe para mim e 
veja isso nos meus olhos.
Você está em todos 
os meus sonhos.
Eu te amo e te quero muito!
Você deve até desconfiar;
é demais para ser incomparável.
Mas a verdade é que te amo!                                


"
4,"
Meu amor por você é eterno


                                    Muitos dizem que o amor já nasce com data marcada para acabar, mas eu digo que isso é falta de fé e de vontade de lutar. Assim como digo que meu amor por você é eterno, assim, simples. 

Eu sei que nosso relacionamento pode não ser eterno, mas no que depender de mim, será. Pois eu amo você tanto e tão incondicionalmente que não haverá problema ou dificuldade que eu não tenha disposição em combater. 

Venha o que vier eu quero ficar ao seu lado, e aconteça o que acontecer, eu vou lutar por nós. Pois meu sentimento é eterno, e tudo vou fazer para que nosso relacionamento seja também! Te amo!                                


"
5,"
O meu coração nas suas mãos


                                    Apenas nas suas mãos o meu coração está seguro, pois você é o melhor namorado. Te amo!                                


"
6,"
Perdidamente apaixonado por você


                                    É paixão o sentimento que eu sinto por você e que me consome a alma. É paixão o sentimento que acompanha o desejo de ter você ao meu lado. Tudo o resto perde o interesse e a importância perto de você, do seu sorriso, do seu doce olhar. 

Eu acho que também você sente algo por mim, mas como nunca escutei da sua boca a certeza dos seus sentimentos, preciso que me arranque esta dúvida que me aflige o peito, e que tanta dor me causa.

Todo o meu mundo se ajoelha perante você lhe pedindo, por favor, me diga se devo alimentar a esperança de ter você nos meus braços, ou não! Basta que diga que sim e por você espero o tempo que for necessário. Espero uma vida inteira ou várias vidas se você me pedir!

Mas se não houver esperança, diga-me por favor, e sofro de uma só vez, tudo de uma vez. Pois assim será melhor do que estar como agora, morrendo a cada dia um pouco mais por não saber o que você sente realmente por mim.                                


"
7,"
Quero agradecer por tudo


                                    Meu anjo, quero agradecer 
A você por tudo! 
Pelos momentos em que chorei, 
Você veio carinhosamente 
Me beijou e me fez sorrir.
Pelos momentos em que perdi 
A paciência, você veio com 
Palavras amenas e doces 
E me acalmou.

Pelos momentos em que 
Meu coração estava em pedaços, 
Você veio cheio de amor e me curou.
Pelos momentos de alegria 
Que fez questão de dividir comigo.
Pelos momentos que com muita 
Esperança, pensou junto comigo 
No nosso futuro.

Obrigada, meu amor! Obrigada
Por existir na minha vida! 
Obrigada por me fazer feliz e a 
Pessoa mais amada na sua vida!
Eu te amo!                                


"
8,Mundo das Mensagens
9,"
Você é a mulher da minha vida


                                    Eu sei que passam muitos dias sem eu dizer o quanto amo você. Nossa rotina nos faz esquecer de coisas simples que na verdade são muito importantes. 

Mas isso não significa que não sou grato por ter você do meu lado, ou que não aprecio tudo o que faz por mim. Pelo contrário, não é difícil reconhecer que seu esforço é uma forte base que dá estabilidade à nossa família.

A cada dia eu tenho mais certeza que tomei a melhor decisão ao escolher você como minha esposa. Você é leal, meiga e sempre me apoia em tudo o que faço. Quando estou em baixo, suas palavras me confortam e é você que também me incentiva a nunca desistir dos meus sonhos.

Por mais tempo que passe e a vida mude, sempre vou ter orgulho em ter uma mulher assim na minha vida. Mesmo que nem sempre pareça, eu aprecio muito todas as qualidades que você tem. Vou lutar eternamente para que nossa história de amor jamais tenha fim.                                


"
10,"
Declaração de amor


                                    Não sei se a minha timidez escondeu o que sinto por você, ou se nos meus olhos dava para ler. Em todo caso, acho melhor esclarecer: eu gosto muito de você! Antes que você pense que me senti atraído apenas pelos seus lindos olhos, digo já que gostei do conjunto todo. Mas o que achei mais lindo em você, foi a beleza interior que deixa transparecer.

Nos conhecemos há pouco tempo, mas o coração é um velho sábio e nessas coisas ele não se engana. Ele me avisava que era amor para valer quando começava a bater mais forte toda vez que eu chegava perto de você. Ele me fez tentar entender porque eu estremecia ao seu lado, e acabei por perceber que era admiração e paixão o que sentia.

Depois de colocar cérebro e coração para dialogar, tomei a difícil decisão de me declarar. Espero que você não fique assustada, mas me sentiria mesmo um felizardo se me dissesse que também está apaixonada.                                


"
11,50 frases incríveis de amor
12,"
Ao único e grande amor da minha vida


                                    Não existe beleza ou encanto maiores que os seus. Brilho mais intenso que a luz dos seus olhos. Voz que seja mais melodiosa que a sua. 

Não existe pessoa no mundo tão interessante ou maravilhosa quanto você. Nem há alguém com mais sorte que eu, pois tenho você como o amor da minha vida.

E posso viver mil vidas mais, que para sempre você será o único e grande amor a dominar meu coração. Amo você; muito e para sempre!                                


"
13,"
Um Coração Do Tamanho da Lua


                                    Sou apaixonado pelo melhor pai do mundo – o meu! Minha admiração por você não tem limite, não conhece fim. Desde pequeno que quero ser igual a você, sabe? Te adoro! 

Todas as dificuldades que já ultrapassou na vida, todas as conquistas que já alcançou fazem de você um homem completo, repleto de princípios maravilhosos e com um coração do tamanho da lua. Te amo, meu pai, por tudo!                                


"
14,"
Eu Sou Louca por Você


                                    Eu posso conhecer mil pessoas e até descobrir centenas e centenas de razões para ser feliz de outro jeito, mas nada vai me levar de você, meu bem! Eu sou apaixonada; louca, doida por você. 

Só espero que você se mantenha ao meu lado, porque de outra forma eu não saberia como acordar, como ser feliz. Seria como se aprendesse a andar de novo! Fique comigo porque eu só quero ficar com você. Beijo, amor!                                


"
