,0
0,Quem tem fé não tem medo.
1,Dê prioridade a Deus. Ele nunca te deixa em segundo plano.
2,Deus tem sempre uma resposta para tudo.
3,A fé é tudo quando você não tem nada.
4,Ter uma fé inabalável é o maior dom que Deus poderia me conceder!
5,"Quem sempre teve fé, nunca precisou de sorte."
6,"Não coloque limites em seus sonhos, coloque fé."
7,"Senhor, fazei de mim como as ondas do mar que fazem de cada recuo um impulso para ir mais adiante."
8,A motivação é fruto da fé em si mesmo.
9,"Quem investe na fé, não precisa contar com a sorte."
10,"Das alturas, o Eterno enxerga as profundezas. Não importa a distância, Ele sabe tudo sobre nós. (Salmo 138:6)"
11,Ore. Espere. Confie.
12,Não há guia mais experiente do que a fé.
13,"Deus obrigado por iluminar o meu caminho. Minha vida tem sido marcada por realizações diárias, que às vezes não dou o devido valor, mas eu sei que a graça de Deus se faz presente em todos os momentos da minha vida."
14,Que o desânimo e a tristeza sejam  sempre vencidos pela vontade e fé que habitam em nós.
15,"Os bons dias lhe dão felicidade. Os maus dias lhe dão experiência. Ambos são essenciais para vida. A felicidade te faz doce, os problemas te mantém forte, a dor te mantém humano, as quedas te mantém humilde, o êxito te mantém brilhante. Mas só Deus te mantém de pé."
16,Deixe que sua fé seja maior que seus problemas.
17,"Há coisas que são inexplicáveis, só é capaz de entendê-las quem tem fé."
18,"Acreditar que tudo tem solução não é otimismo, é fé."
19,"Senhor, eu sei que os teus planos são maiores que os meus."
20,Não há nada que impeça quando Deus quer agir.
21,"Antes de qualquer coisa, ore. Depois de qualquer coisa, agradeça."
22,"Onde estiver, seja lá como for, tenha fé porque até no lixão nasce flor."
23,"Uma grande história é feita de grandes desafios que são conquistados com grandes esforços, formados de grandes sonhos e vindos de um grande Deus."
24,Sorria! Deus acaba de te dar um novo dia e coisas extraordinárias podem acontecer se você crer!
25,Minha fé é a chama que me guia e sei que ela nunca se apagará.
26,Fé não é achar que Deus fará tudo o que você quiser. Fé é crer que Ele fará o que for melhor pra você.
27,Quem tem fé nunca falha. Quem tem fé aprende!
28,A fé te leva até onde o impossível torna-se real.
29,"Quando coloca-se a fé à frente, todos os problemas ficam para trás."
30,"A solução não cai do céu, mas minha força vem de lá."
31,"Feliz ou triste, agradeça a Deus todos os dias!"
32,"Deus transforma choro em sorriso, dor em força, fraqueza em fé e sonho em realidade."
33,"Vá firme na direção das suas metas. Porque o pensamento cria, o desejo atrai e a fé realiza."
34,"Não sei o que me espera amanhã, mas estou em paz, pois sei que Deus tem o melhor para mim."
35,A luz que me guia é bem mais forte do que os olhos que me cercam.
36,"Mantenha o foco no objetivo, centralize a força para lutar e utilize a fé para vencer."
37,"Coração em paz, Deus sabe o que faz."
38,Nenhum obstáculo será tão grande se a sua fé for maior.
39,Que minha coragem seja maior que meu medo e que minha força seja tão grande quanto minha fé.
40,O melhor amuleto da sorte é a fé!
41,"Que os nossos dias sejam abençoados, os nossos sorrisos infinitos e a nossa fé invencível."
42,"Fé... Palavra tão pequenininha, mas com um poder tão grande."
43,"Querido Deus, em tuas mãos, coloco minhas preocupações, cuidados e problemas. Em tua sabedoria, coloco meu caminho, minhas direções e meus objetivos. Em teu amor, coloco minha vida!"
44,"Não perca a fé. As coisas vão acontecer no momento certo, basta você saber esperar."
45,Quando o mundo diz 
46,Não tinha quase nada além de fé... Foi o suficiente.
47,O segredo é ter fé em Deus.
48,Não adianta ter toda a coragem do mundo se te falta a fé.
49,Alimente sua fé e seus medos morrerão de fome.
50,Acredite que é possível e será.
51,"Não tenha medo, tenha fé."
52,"Pra quem tem fé, a vida nunca tem fim."
53,Aponte pra fé e reme.
54,"Quanto mais a gente agradece, mais coisas boas acontecem."
55,"Suba o primeiro degrau com fé. Não é necessário que você veja toda a escada, apenas dê o primeiro passo."
56,Que nunca falte a fé quando sobrar o medo.
57,É só ter calma e manter a fé. Deus tá cuidando de tudo.
58,"Deixe que tirem tudo o que você tem, só não permita que levem sua fé."
59,"Ter fé não é achar que Deus fará o que eu quero, mas ter a certeza de que Deus fará por mim tudo o que preciso."
60,"Se você quiser que sua vida tenha um novo sentido, um novo sabor, bote fé, bote esperança e bote amor."
61,"Fé em Deus, que Ele é justo."
62,"O mundo fecha portas, mas Deus abre caminhos."
63,"Fé é assim: primeiro você coloca o pé, depois Deus coloca o chão."
64,Nunca se afaste de sua fé!
65,"Quando se tem fé, jamais se perde a esperança."
66,A fé enxerga o que os olhos não podem ver.
67,"Com Deus no coração, o resto 'nois' resolve."
68,"A fé torna as coisas possíveis, não fáceis."
69,Todo dia Deus pensa em você. Toda hora Deus cuida de você. A cada minuto Deus se importa com você. Porque a cada segundo Deus te ama.
