,0
0,"
O Silêncio da Noite


                                    A noite está chegando para ajudar você a cair no sono! O céu está ficando estrelado e a lua em seu devido lugar. Não fique com medo! Especialmente hoje, não permita que seu descanso seja assalto por dúvidas e receios irracionais. 

Tudo está bem, aliás, está perfeito! Você só tem de respirar fundo, entrar na cama e aguardar a chegada do sono. Depois, surge o sol novamente e mais um dia carregado de surpresas vai estar à espera que você acorde! Boa noite!                                


"
1,"
Que dia lindo temos hoje para viver


                                    Amor, amor, você já viu como o dia está lindo lá fora? Já respirou fundo e sentiu a vida nos pulmões? Meu bem, este dia nasceu para você. Seja feliz!

Sinto que hoje você vai realizar todos seus sonhos, vai alcançar aquelas metas que sempre se esforçou e fizeram parte dos seus planos. Meu bem, algo me diz que neste dia, coisas muito boas vão acontecer!

Olhe com otimismo para todos os acontecimentos desta jornada que vai ficar marcada para sempre. Não feche a porta a nada e prepare-se, porque logo estará mais feliz do que nunca.

Não sei explicar, mas sinto que hoje, o dia nasceu para você, para o deixar feliz e realizado do jeito que merece. Bom dia, meu amor!  


"
2,"
Ser forte é...


                                    Ser forte é amar alguém em silêncio e desejar felicidade e paz para essa pessoa quando ela estiver triste. É perdoar alguém, mesmo que essa pessoa não seja capaz de reconhecer os próprios erros e que não peça o seu perdão.

Ser forte é manter-se calmo mesmo em momentos de desespero. É ter a capacidade de manter-se sereno em meio a uma tormenta, é mostrar força quando tudo parece desmoronar, é estimular as pessoas em sua volta quando tudo parece mal e quando você mesmo já não se sente capaz de nada.

Ser forte é sair da cama todos os dias para encarar a vida mesmo quando a vida não sorri para você. É buscar sentir-se alegre em vez de entregar-se à tristeza. Ser forte é ser capaz de sorrir quando você só quer chorar. 

Ser forte é fazer alguém feliz quando o seu próprio coração está triste. É não reclamar e nem descontar nos outros os seus problemas e angústias. É tentar se reconciliar com você e ter o coração em paz com a sua vida, com as suas experiências, mesmo as mais negativas, e tentar construir coisas boas e alegres.

Ser forte é tentar ver a vida além das suas próprias emoções. Ser forte é ter fé quando parece que não há mais nada em que acreditar!                                


"
3,"
Segunda-feira com alegria e otimismo


                                    Quando sorrio para a vida, ela me sorri de volta! Hoje é segunda-feira e eu quero que seja um início de semana abençoado.

Que possamos botar em prática os nossos planos para que nossa semana seja incrível. Comece o dia com bom humor e muito otimismo para garantir que tudo ficará bem.

Boa semana, boa segunda a todos nós!                                


"
4,"
Lutar pela sua cura


                                    Eu sei que não posso pedir que você fique feliz por estar doente. Mas fique satisfeita em ter condições para lutar pela sua cura. Você é uma mulher forte que não desiste facilmente. Se você mantiver uma atitude positiva, em breve você estará recuperada.

Eu quero estar do seu lado nesta fase difícil e acredite que estou aqui para o que você precisar. Vou estar torcendo para que tudo dê certo com você. 


"
5,"
A Luta da Minha Mãe


                                    Mãe, no seu lugar eu não sentiria preocupação ou qualquer tipo de medo! Você sempre demonstrou ter força. Sempre conseguiu superar desafios e obstáculos que pareciam impossíveis de ultrapassar. 

E você conseguiu! Sempre deu a volta por cima e nunca baixou os braços. Pois agora é isso que você tem de fazer novamente. Levante a cabeça, não pense em desistir, afaste todos os pensamentos menos positivos e lute. 

Lute muito e sempre receio de suar, de chorar, de sofrer. Só assim, minha mãe guerreira, você vai vencer esta luta. Força!                                


"
6,Não se desespere nem desista
7,"
Evite Pessoas que Subtraem


                                    Com tantas pessoas neste mundo, por que muitas vezes nos relacionamos exatamente com as que no subtraem nossas melhores qualidades? Excluem qualquer oportunidade de felicidade tirando nosso sorriso, bondade, e até a possibilidade de construir outras amizades.

Normalmente demoramos um tempo para perceber esse tipo de personalidade e quando nos damos conta, já subtraíram muitas das nossas propriedades. Mesmo sendo uma pessoa próxima, jamais permita que alguém iniba o que você tem de melhor, ninguém deve ser obrigado a viver com seus melhores sentimentos enclausurados.

Procure se conectar com pessoas que acrescentam coisas boas à sua vida, seja com uma boa conversa, ou simplesmente com pequenos momentos de felicidade. Esteja sempre aberto àquela personalidade que deixa você no seu melhor estado e exclua tudo que leve à tristeza que ainda permanece ao seu lado.                                


"
8,"
Tudo mudará em breve

 


                                    O mundo ainda dará muitas voltas e as circunstâncias desfavoráveis irão se tornar favoráveis para que você possa alcançar seus sonhos. Basta acreditar e lutar todos os dias por isso.

Nem a maior das tempestades dura para sempre e o mesmo acontecerá com suas provações. Persevere mais um pouco, pois em breve tudo fará parte do passado. 


"
9,"
Quando se tem Deus no coração


                                    Para quem tem Deus no coração as adversidades sempre serão passageiras e a vitória uma certeza!                                


"
