,0
0,Seja feliz. Não aceite menos que isso.
1,"A alegria não está nas coisas, está em nós."
2,Todas as pessoas do mundo sorriem no mesmo idioma.
3,"Eu sou a juventude, sou a alegria!"
4,Hoje eu escolho a alegria!
5,"Melhor que rir, é rir com alguém ao seu lado. Sorriso dividido é sorriso dobrado."
6,A gente não foi feito pra ficar do lado de fora da alegria: cabe a gente sair da toca e se agarrar a ela todo dia!
7,"A alegria não é algo que se inventa, é algo que se vive."
8,Chique é ser feliz. Elegante é ser honesto. Bonito é ser caridoso. Sábio é saber ser grato. O resto é inversão de valores.
9,"Aquele que nunca viu a tristeza, nunca reconhecerá a alegria."
10,A alegria é a coisa mais séria da vida!
11,"A alegria da alma constitui os belos dias da vida, seja qual for a época."
12,Uma flor floresce para sua própria alegria.
13,"Vou te dar alegria, vou parar de chorar, vou raiar um novo dia!"
14,"Alegria, era o que faltava em mim."
15,A alegria de fazer o bem é a única felicidade verdadeira.
16,Alegria compartilhada é alegria redobrada.
17,"Que sejamos livres, leves e felizes!"
18,A felicidade tem amnésia. É preciso lembrá-la todo dia que você existe.
19,"Sorria, você foi feito para isso."
20,A alegria é a pedra filosofal que tudo converte em ouro.
21,Ser feliz não é viver apenas momentos de alegria. É ter coragem de enfrentar os momentos de tristeza e sabedoria para transformar os problemas em aprendizado.
22,"Não fique esperando o futuro para ser feliz, faça do presente a sua alegria."
23,Viver e não ter a vergonha de ser feliz. Cantar e cantar e cantar a beleza de ser um eterno aprendiz.
24,"Completem a minha alegria, tendo o mesmo modo de pensar, o mesmo amor, um só espírito e uma só atitude. (Filipenses 2:2)"
25,Alegria é a melhor coisa que existe. É assim como a luz no coração.
26,"Quando você faz as coisas a partir de sua alma, você sente um rio mover em você, uma alegria."
27,Minha tristeza é uma volta em medida; mas minha alegria é forte demais.
28,Deixe um sinal de alegria por onde você passar.
29,Vamos viver e cantar... Não importa qual seja o dia!
30,"Para aproveitar uma alegria completamente, temos que ter alguém com quem compartilhar."
31,Simplesmente viva a vida!
32,"Mas minha alegria, minha ironia, é bem maior do que essa porcaria!"
33,"A alegria está na luta, na tentativa, no sofrimento envolvido e não na vitória propriamente dita."
34,"Faça a tristeza de confete, joga pro alto e deixa o vento levar."
35,"A alegria não está nas coisas, está em nós!"
36,"Eu vou bater de frente com tudo por ela, topar qualquer luta, pelas pequenas alegrias da vida adulta."
37,"Aprendi a sorrir, porque chorar eu já nasci sabendo."
38,"É melhor ser alegre que ser triste, alegria é a melhor coisa que existe."
39,"Quando damos com alegria e aceitamos com gratidão, todos somos abençoados."
40,Sorria! Deus acaba de te dar um novo dia e coisas extraordinárias podem acontecer se você crer!
41,"Mesmo longe, você me faz sorrir. Mesmo sendo trouxa, quero sempre fazer as coisas com você. E mesmo eu nem sempre demonstrando, você continua sendo a melhor parte de mim!"
42,"Feliz na tristeza, triste na alegria."
43,O segredo da felicidade é encontrar a nossa alegria na alegria dos outros.
44,Ela é minha amiga. Quebra o coração dela e eu quebro a sua cara.
45,"Todos têm uma criança alegre dentro de si, mas poucos a deixam viver."
46,Alegria é a melhor coisa que existe.
47,Cultive a alegria de viver e você verá que coisas belas podem acontecer a qualquer momento.
48,"Para quem ama, qualquer sacrifício é alegria."
49,A alegria se encontra nos detalhes do dia a dia. Basta prestar atenção.
50,O seu sorriso pode mudar o dia de alguém.
51,Que o desânimo e a tristeza sejam  sempre vencidos pela vontade e fé que habitam em nós.
52,Faça mais do que te faz feliz.
53,Não desista da alegria somente porque ela se atrasou.
