,0
0,A alegria é fruto das conquistas do dia a dia.
1,"Enxergo bondade em todo mundo, porque sempre acredito que o bem supera todo mal que existe."
2,Você só vai conseguir amar outra pessoa quando se amar a si mesma.
3,"O impossível se resume a uma mera perspetiva, e a perspetiva dos outros não tem que ser a sua. Acredite sempre. Bom dia!"
4,Existem vários problemas no mundo sem solução... mas meu maior problema é conquistar seu coração.
5,"Não procure forças no céu ou ao seu redor, mas sim no seu interior. Você pode tudo! Acredite."
6,"Quanto mais uma calúnia custa a acreditar, maior é a memória dos tolos para a fixar."
7,Só um gênio conseguiria inventar um vidro de aspirinas impossível de ser aberto por uma criança que consegue fazer funcionar um gravador de vídeo.
8,Não existe situação desesperadora; existem pessoas que se desesperam com certas situações!
9,"O que faz de alguém um vencedor não é apenas o cruzar da meta, mas também o caminho percorrido até à vitória."
10,"As razões da honra não têm coerência. Mas os povos não podem prescindir da honra, pagaremos caro termos acreditado em nós em vez de nela."
11,"Esta é uma fase delicada, mas o mais importante é não perder a fé e acreditar que vai ficar tudo bem."
12,"Grandes vitórias são o resultado das pequenas conquistas diárias. Lute, persista e nunca desista, pois todas elas acabarão por acontecer na sua vida."
13,"Tenha confiança que o melhor ainda vai chegar, opte pelo otimismo e faça seu caminho pela vida valer a pena."
14,Dentro de você existe uma força que desconhece e que é capaz de levar você a superar qualquer obstáculo.
15,Otimista é o homem que faz palavras cruzadas a tinta!
16,Eu não acredito em caridade. Eu acredito em solidariedade. Caridade é tão vertical: vai de cima para baixo. Solidariedade é horizontal: respeita a outra pessoa e aprende com o outro. A maioria de nós tem muito o que aprender com as outras pessoas.
17,Desistir nunca é opção para quem acredita cegamente na vitória!
18,"Se você tem um sonho, não desista! Levante a cabeça, tenha coragem! O otimismo e a persistência devem ser cultivados diariamente! Boa tarde!"
19,"Mesmo que você ainda estivesse vivo, nunca teria conseguido preencher a minha necessidade de expressar todo a afeto que ficou oprimido."
20,É tão vencedor quem ganha como quem perde de cabeça levantada e sorriso no rosto!
21,Para todos os momentos existe um propósito e uma maneira positiva de encará-los.
22,"A fé é uma conquista difícil, que exige combates diários para ser mantida."
23,Não se deixe levar pelo desânimo e jamais permita que um obstáculo impeça você de alcançar o sucesso.
24,A saudade consegue ser um sentimento cruel quando nos lembra alguém que já não temos mais por perto.
25,"Apesar de existirem defeitos, nossos amigos verdadeiros sempre conseguem enxergar melhor nossas qualidades."
26,"Afortunado realmente é o homem conhece precisamente e a si mesmo, e tem uma noção correta entre o que ele pode conseguir e o que ele pode usar."
27,"Seja qual for o seu objetivo, você possui as ferramentas para construir o futuro que deseja."
28,Milagres acontecem a quem acredita neles.
29,"Todo mundo sabe como foi conseguida a malfadada reeleição presidencial [do FHC]... mas qualquer um vai no jornal e manda que o Lula é um merda. Se os candidatos forem Lula, Alckmin, Garotinho, voto no Lula"
