,0
0,"Nunca implore carinho, atenção ou amor. Se não é dado livremente, não vale a pena ter."
1,"Se o primeiro e o último pensamento do seu dia for essa pessoa, se a vontade de ficar juntos chega a apertar o coração: é amor!"
2,"Não tenho muito a oferecer, não posso te dar o mundo, mas prometo que todo o meu amor é e sempre será seu."
3,"Eu acredito em histórias felizes, em história sem fim, e a minha história, eu quero viver contigo."
4,Só quem ama tem disposição de ir além da superfície.
5,O essencial é invisível aos olhos.
6,Você me deixa nas nuvens!
7,"Se eu tiver você, o resto é só detalhe."
8,"Eu sabia que era você... Sabia por causa do beijo, por causa dos olhos, por causa das mãos. Eu sabia por que a gente se encaixa perfeitamente um no outro."
9,Seja um sorriso na vida de alguém.
10,Um dia alguém vai te abraçar tão apertado que todas suas peças quebradas irão se juntar novamente.
11,Te amarei até o meu último átomo.
12,"Amor não é quando duas almas se unem, mas sim quando duas almas se encaixam."
13,Eu quero a sorte de um amor tranquilo.
14,Espalhe amor por onde você for.
15,Eu te amo mais que wi-fi.
16,"Sem pressa. Sem vírgula. Sem ponto final. Sem briga. Sem mágoa. Sem dor. Só amor, por favor."
17,"Se eu pudesse fazer um pedido, desejaria ter você aqui comigo."
18,"Quando a gente ama, o defeito vira perfeição."
19,"O amor não é um caminho que te traz de volta para casa, o amor é a casa."
20,O amor é a resposta para tudo!
21,Que nosso amor seja louco e nunca pouco.
22,"O amor não tem cura, mas é o único remédio para todas as doenças."
23,Mais amor sem favor...
24,Eu penso em você desde o amanhecer até quando eu me deito.
25,"Ame seus pais, sua vida e seus amigos. Seus pais, porque são únicos. Sua vida, porque é curta demais. Seus amigos, porque são raros."
26,"Por você, eu dançaria tango no teto, eu limparia os trilhos do metrô, eu iria a pé do Rio a Salvador."
27,O amor é grande e cabe nesta janela sobre o mar. O mar é grande e cabe na cama e no colchão de amar. O amor é grande e cabe no breve espaço de beijar.
28,Amor é a liberdade de poder ser quem você é.
29,Um novo amor é um presente.
30,"Mas quando penso em alguém, é por você que fecho os olhos."
31,Talvez o amor feito para durar é aquele que acontece quando a gente oferece a alma do jeito que ela é.
32,"Se nada dura pra sempre, seja o meu nada, por favor."
33,"É preciso amar as pessoas como se não houvesse amanhã, porque se você parar para pensar, na verdade não há."
34,Eu te amo no presente do indicativo.
35,"Quando duas pessoas realmente se gostam, elas sempre darão um jeito de dar certo. Não importa o quão difícil seja."
36,"Palavras podem não dizer o que o coração sente, mas fazem sentir o que o coração diz."
37,O amor nos manterá vivos!
38,Até o infinito fica pequeno quando se trata do que eu sinto por você. Te amo muito!
39,"Para nós, todo o amor do mundo."
40,Só o amor constrói pontes indestrutíveis.
41,"Se não der certo, a gente tenta de novo, de novo e de novo. E se não der certo a gente fica junto errado mesmo."
42,"A vida é cheia de escolhas, numa delas escolhi você."
43,"O ódio é uma coisa fácil e fútil. Já o amor exige um esforço que todo mundo conhece, mas ao qual nem todo mundo está disposto."
44,"Se apaixone por alguém que te faça rir dos seus próprios erros, que te aceite do jeito que você é."
45,"O primeiro amor é eterno, apesar de pertencer a um passado distante."
46,"Se eu pudesse escolher de novo, eu escolheria novamente você."
47,"Eu amo estar com você, eu amo ficar com você, seu cheirinho me faz viajar, sua voz me faz suspirar."
48,O amor é a coisa mais triste quando se desfaz.
49,Meu amor é chama que se alimenta no maior segredo.
50,"1 universo, 8 planetas, 204 países, 809 ilhas, 7 mares, 7 bilhões de pessoas. E a única pessoa que eu preciso para ser feliz é você!"
51,Todo amor é bonito. Feio é não amar.
52,Amor é dar abrigo quando a tempestade vem.
53,"Para mostrar todo o meu amor, eu subiria uma escada para as alturas. Alcançaria as nuvens, os raios de sol e o arco-íris seria uma doce aventura."
54,"Se depender de mim, o amor nunca vai ser algo que machuca."
55,"O meu amado é meu, e eu sou dele! (Cânticos 2:16)"
56,O amor é a única revolução verdadeira.
57,"O amor é mesmo maluco... Ele vem quando estamos distraídos e chega quando menos precisamos dele, para nos mostrar o quanto somos mais felizes juntos com alguém."
58,"De todo o amor que eu tenho, metade foi tu que me deu."
59,"Eu quero estar nos seus braços, segurar sua mão, sentir sua respiração, ouvir o seu coração... Eu quero estar com você."
60,"Se eu pudesse ter apenas um desejo, eu desejaria ter você ao meu lado."
61,A sua energia traz paz pro meu espírito e cor pro meu mundo.
62,Amor é apenas uma palavra... Até você encontrar alguém que dê um verdadeiro sentido a ela.
63,"E a gente vai por aí, se completando assim meio torto mesmo. E Deus escrevendo certo pelas nossas linhas que se não fossem tão tortas, não teriam se cruzado."
64,"Ciúmes, uma das formas mais sinceras e involuntárias de demonstrar o seu amor."
65,Eu amo tanto você porque sei como é puro o seu coração. Estar com você me aquece e me traz muita paz e emoção.
66,Reciprocidade faz qualquer amor dar certo.
