,0
0,"
Lembranças da Infância

 


                                    Não é maravilhoso as lembranças que temos de nossa infância? São lembranças marcantes, têm cheiro, têm sabor, têm uma saudade gostosa que nos faz viajar longe e nos faz sensações bem parecidas com as que sentimos na época.

Lembrar dos amiguinhos imaginários... Nossa, os meus me acompanharam por anos, que delícia! Eu lembro de andar de bicicleta no enorme quintal da minha casa, rodeava aquelas árvores e parecia que eu ia para outra cidade. Meu pai fez um balanço para cada um e assim cada um tinha sua árvores, eu conseguia ficar horas no vai e vem do balancinho sentindo o vento no rosto e minha mente ia criando diversas situações imaginárias, era tão gostoso! Gosto de lembrar do quartinho que tinha no fundo de casa onde brincávamos de escolinha, meus irmãos eram os alunos, e o café da tarde? Nossa! Café com leite e pão com manteiga, sentávamos na beira da porta com os pezinhos pendurados e qualquer coisa era motivo para eu e meus dois irmãos rirmos até quase fazer xixi nas calças! Ai que tempo bom...poucas preocupações...e todos reunidos.
(...)

São doces lembranças do passado, da minha infância...esses registros nos ajudam a crescer e amadurecer e servem também de norte para criarmos nossos filhos, porque eu sempre fico me questionando que tipo de lembrança quero deixar para minha filha... É claro que quero as melhores possíveis!!!

(Cristiane Marino)                                


"
1,"
Amor verdadeiro à distância


                                    Quando dois corações se encontram e se apaixonam tão intensamente como os nossos, não existe distância alguma que consiga diminuir o que sentimos um pelo outro. Nosso amor é verdadeiro, e por isso é eterno!

Não importa o que aconteça depois, quantos obstáculos iremos encontrar pelo caminho, pois sei que seremos fortes para ultrapassar qualquer coisa. Apenas a saudade parece às vezes querer me derrotar, mas o amor tudo vence, e enquanto espero a distância entre nós encurtar, suspiro profundamente de paixão e saudade. Eu te amo!                                


"
2,"
Fortalecimento entre irmãos


                                    Eu sei que a solidão tem estado presente no seu dia a dia, meu irmão! Eu sei que tem sido difícil superar os problemas que a vida tem apresentado. 

Mas lembre-se que esta distância só fortalece nossa união. Você vai superar todos os obstáculos e vencer todos os desafios. 

Você é uma pessoa maravilhosa, e eu tenho certeza que a felicidade irá surgir na sua vida. Força, meu irmão querido!                                


"
3,"
Águas do Rio e do Mar


                                    O amor é um barco que desagua sem
aviso nem preocupação; um barco de
papel que leva amor e atenção, calor
e outras coisas que todo mundo sonha.

E no rio da verdade é o barco que é rei
na busca da rainha mais apaixonada de
toda onda perdida na encosta mais linda
de toda margem aguardando sua chegada.

Mas o mar da saudade que revela essa e 
outra verdade é o mesmo que afoga sem
perdão aquele que se vai na emoção de 
uma vida em ambição pelo amor e tentação.                                


"
4,"
Vou Manter Você Vivo


                                    Você partiu e deixou saudade, aliás, ainda deixa. Sinto sua falta, vovô! Você vai ser sempre a personagem mais querida que alguma vez conheci. Na verdade, seu jeito generoso, carinhoso, sempre me fascinou. 

Acho até que foi você que me inspirou a ser uma pessoa que luta pelo bem, pela felicidade! Vou passar minha vida falando no seu nome e em todas as histórias fascinantes de nós dois. Essa é a forma que encontrei de manter você vivo! Até um dia, vovô!                                


"
5,"
Um Nó na Garganta









Parece um nó na garganta, mas é saudade no coração. Sinto sua falta!                                    


"
6,"
Saudade da minha família 


                                    Se pudesse pedir um desejo ao gênio da lâmpada, pediria para estar com minha família. É que não dá mais para aguentar esta saudade que tem consumido meu coração.

É que quando estamos distantes de quem amamos não vivemos direito. Desde as coisas maiores e mais importantes até às menores e insignificantes: tudo é saudade. Da minha família sinto falta de tudo. Desde tocar em todos eles até beijar e abraçar e conversar com todos.                                


"
7,"
A Dor da Saudade


                                    Existem várias dores... Machucar.... Bater... Morrer... Mas a saudade - é a dor maior! E, mais dolorida ainda, é a saudade de quem se ama! Da pele. Do cheiro. Do beijo. Da presença. Da ausência.

Quando o amor acaba, pra quem fica amando, sobra a saudade! Saudade de não saber. De não saber o que ocorre com quem se ama...

Saudade de não saber. Não saber o que se fazer com os dias longos que sobram!...

É enterrar o pensamento em coisas vãs... Saudade é chorar ou sorrir numa música... Saudade é o silêncio da ausência.

É não saber... É querer saber... Saudade... é o sempre doer!

Saudade é um pouco como fome. Só passa quando se come a presença. Mas às vezes a saudade é tão profunda que a presença é pouco: quer-se absorver a outra pessoa toda. 

Essa vontade de um ser o outro para uma unificação inteira é um dos sentimentos mais urgentes que se tem na vida.

(Clarice Lispector )                                


"
8,"
Nunca esquecerei você, mãe


                                    Entre a doçura do primeiro olhar
E a angústia do nosso adeus
Houve um amor verdadeiro, mãe,
Nos unindo de um jeito incondicional.

Agora que você partiu, 
Ficam as lembranças de tudo que vivemos,
Assim como a saudade de tudo que sentimos,
Junto com a certeza que você nunca será esquecida.                                


"
9,"
Esta distância que existe entre nós


                                    Quando entro no seu quarto, ele me parece despido. A casa inteira está agora com um estranho silêncio e a razão disso é unicamente a sua falta. Ter a minha filha querida longe de mim, causa uma profunda saudade no meu coração. Queria muito que você estivesse agora nos meus braços!

Cuide de você e nunca se esqueça que existe uma pessoa deste lado torcendo pela sua felicidade. Meu pensamento estará sempre em sintonia com o seu, na esperança que brevemente a nossa distância seja encurtada. Amo muito você, filha! 


"
10,"
Saudades da família amada


                                    Não existe nada no mundo capaz de impedir o tempo de avançar. Nada existe que o possa fazer recuar. Pois se houvesse eu voltaria ao tempo em que era feliz no conforto do lar, ao lado da família que tanta falta me faz.

As circunstâncias da vida me levaram para longe, mas meu coração continua junto da família que eu tanto amo. E na saudade profunda se mistura a esperança de para perto deles um dia regressar!                                


"
11,"
A Saudade Imensa de Uma Amiga

 


                                    Os amigos verdadeiros não deveriam nunca passar muito tempo longe um do outro. É um absurdo ter que viver por um longo período sem aquele abraço apertado ou aquela expressão que seu amigo faz quando te dá um conselho bizarro.

Uma amizade não é tão diferente de um casamento, existem brigas, gargalhadas, separações, reconciliações, mas principalmente, ótimos momentos. Quando uma amizade é de verdade longas distâncias são praticamente um martírio e não é nada fácil conviver com a saudade.

Agora imagine como deve ser ficar tanto tempo longe de uma amiga muito querida! Um verdadeiro tormento! Até porque não é nada fácil atualizar todos os acontecimentos que ocorreram enquanto ela estava ausente e ao mesmo tempo conter a ansiedade de viver outros maravilhosos momentos.

Espero que possamos passar todos esses dilemas juntas brevemente, pois a saudade, minha amiga, já transbordou todos os limites do meu peito.

Um beijo grande! Saudades!                                


"
12,"
Não sei mais viver sem você


                                    Não sei mais viver sem você.
Você é a pessoa com quem sonho toda noite.
Você me diz todo dia aquelas palavras doces 
Que só da sua boca eu quero ouvir.
Não sei como, nem sei quando, 
Comecei a amar você, agora eu só sei que amo.
Você me deu vida nova, 
Transformou minha tristeza em alegria.
Você é que adoça minha alma.
Você é quem me fez descobrir dentro de mim 
O mais puro sentimento 
Que uma pessoa pode sentir por outra.
Você é aquele que me deu asas, 
Segurou minhas mãos e me fez voar junto a você.
Quando a saudade vem, 
Me lembro de tudo que você é para mim.
Te amo! E ninguém vai tirar você de mim.
Porque você é o meu sonho, 
E eu não consigo mais viver sem você!                                


"
13,"
Esta saudade que sinto


                                    Prefiro sentir saudade que viver com um vazio no peito, prefiro sentir falta do que não ter a quem desejar. Às vezes dói, e também tem momentos que magoa o coração, mas quem bebe do sabor da saudade tem certeza que existe dentro de si um sentimento de amor verdadeiro.

Prefiro sentir saudade, mesmo que não saiba o que fazer com ela. Aceito este arrepio no peito porque onde quer que esteja você faz parte de mim.                                


"
14,"
Prestar homenagem a quem partiu


                                    Mesmo depois do último adeus, aqueles que partem continuam fazendo parte da vida dos que ficam através da saudade.

Dessa forma quem morre nunca desaparece por completo. Lembrar e falar com carinho e a vida toda carregar a sua imagem no coração, é a melhor forma de prestar homenagem a quem se foi.

Acreditando que a morte não é uma separação definitiva, mas apenas temporária, oro para que todos os que já partiram encontrem a paz no reino de Deus!                                


"
15,"
Oremos por aqueles que se foram


                                    Dizem que aqueles que partiram estão sempre olhando para nós aqui embaixo e eu gosto de acreditar que isto é verdade. Que neste Dia de Finados, os que se foram, possam sentir as homenagens dos que ficaram.

São pais, mães, familiares, amigos que partiram e que deixaram muita saudade. Tenho certeza que hoje estão todos pensando nas pessoas queridas que, infelizmente, não estão mais aqui.

Que seja um Dia de Finados cheio de lembranças queridas, porque recordar é um jeito de reviver momentos e felicidades. Que seja um dia para nos mantermos unidos em oração para honrar a vida e a morte daqueles que se foram.                                


"
16,"
Sentir saudades


                                    Saudade é um conjunto de sete letras que se 
reuniram sob as leis da vida para aferir 
o coração e aprimorá-lo...
Ainda assim, aprendamos com a fé que a 
saudade é quase sempre a flor da separação 
que desabrocha ao sol da esperança para 
retornar, por amor, a nós outros, na hora do 
reencontro. Não relaciones entraves e 
amarguras. Espalhemos com todos os
companheiros da marcha humana os 
valores da compreensão.
Perdoar e perdoar sempre tudo o que não 
seja nossa vontade pessoal, a fim de buscarmos 
a vontade de Deus e cumpri-la.
O Lar é um recinto de provas, verdadeira 
escola transmitindo lições.                                


"
