,0
0,"Se existir 1% de chance, lute até o fim."
1,"Só quem já perdeu na vida sabe o que é ganhar, porque encontrou na derrota o motivo para lutar."
2,Vamos em busca de novos rumos!
3,Todos os dias faça algo que o deixe mais próximo de um futuro melhor.
4,As melhores coisas acontecem para quem levanta e faz!
5,Todo esforço tem a sua recompensa.
6,Todos nós somos feitos de estrelas. Brilhe!
7,"Para chegar ao castelo, você precisa nadar pelo fosso."
8,Querer vencer significa já ter percorrido metade do caminho.
9,Tudo que é incrível era antes impossível!
10,Pare de esperar as coisas acontecerem. Vá lá e faça com que aconteçam.
11,Existe um mundo mágico fora da sua zona de conforto.
12,O maior elogio que ouvi em toda minha vida de inventor foi: nunca vai funcionar.
13,O para sempre é composto de agoras.
14,"Onde há vontade, há chance de dar certo."
15,"O importante não é vencer todos os dias, mas lutar sempre."
16,Começar é o primeiro passo. Não desistir é o segundo.
17,A determinação de hoje é o sucesso de amanhã.
18,"Não se desespere, nem pare de sonhar."
19,Acredite em você!
20,"Seja seu foco. Faça as coisas por você, não pelos outros."
21,"Se um dia a razão te pedir para desistir e o coração te mandar lutar, lute. Pois não é a razão que bate pra você viver e sim o coração."
22,"Que suas vontades, sonhos e pensamentos não deixem de brilhar por nada e nem por ninguém."
23,Você é mais forte do que imagina. Acredite.
24,"Se esforce sempre mais, porque o bom pode ser ainda melhor."
25,"Quando algo ruim acontece você tem três escolhas: deixar isso definir você, deixar isso destruir você ou fazer isso te deixar mais forte."
26,Na vida você tem duas escolhas: esperar acontecer ou fazer com que aconteça.
27,"Só desista de desistir!

 "
28,Faça do 'é impossível' a sua maior motivação.
29,"Nem todos que tentam conseguem, mas todos que conseguiram um dia tentaram."
30,"Tudo que é seu, encontrará uma maneira de chegar até você."
31,"Na vida vence quem menos se ilude. Portanto durma com vontades, mas acorde com atitudes."
32,Acredite no seu potencial!
33,Aproveite: seu tempo é agora!
34,"Obstáculos não podem parar você. Se você achar uma parede, não desista. Ache uma maneira de escalá-la, atravessá-la ou derrubá-la."
35,Não se envergonhe de seus fracassos. Aprenda com eles e comece de novo.
36,Eu faço da dificuldade a minha motivação!
37,"Persista! Se tudo fosse fácil, qualquer um conseguiria."
38,Imagine uma nova história para sua vida e acredite nela.
39,"Suba o primeiro degrau com fé. Não é necessário que você veja toda a escada, apenas dê o primeiro passo."
40,Não tenha medo de errar.
41,Só encontra a derrota aquele que deixa de sonhar.
42,Sem sacrifício não há vitória.
43,"Se a caminhada está difícil, é porque você está no caminho certo."
44,"Reclame menos, acredite mais nas possibilidades e no que é capaz."
45,"Receita para realizar sonhos: comece onde você está, use o que você tem e faça o que você pode!"
46,"Sonhar, nunca desistir!"
47,"Lutar sempre, vencer às vezes, desistir nunca!"
48,"Não existe triunfo sem perda, não há vitória sem sofrimento, não há liberdade sem sacrifício."
49,Grandes batalhas só são dadas a grandes guerreiros.
50,Toda conquista começa com a decisão de tentar.
51,"Para aqueles que estão determinados a voar, não ter asas é apenas um detalhe."
52,Deixe as suas esperanças e não as suas dores moldarem o seu futuro.
53,"Se você realmente quer que aconteça, vá atrás e não desista."
54,"Se você nasceu com a fraqueza para cair, você nasceu com a força para levantar."
55,Algumas vezes coisas ruins acontecem em nossas vidas para nos colocar na direção das melhores coisas que poderíamos viver.
56,"Se você melhorar 1% por dia, em um ano você terá melhorado 365%."
57,"Em vez de reclamar da vida, levante a cabeça, sacuda a poeira e dê a volta por cima. Afinal, dias ruins são necessários para que os bons valham a pena!"
58,Tudo o que temos é o hoje. Viva-o!
59,"Não importa o que as pessoas pensam, se você acredita que vale a pena, lute por isso."
60,Comece onde você está. Use o que você tem. Faça o que você pode.
61,"A verdadeira motivação não é aquilo que te anima, mas aquilo que te transforma."
62,É tempo de fazer acontecer!
63,"Se a vida não ficar mais fácil, trate de ficar mais forte."
64,"Pode não parecer fácil, mas valerá a pena."
65,"Vai. E se der medo, vai com medo mesmo."
66,Não importa o que você decidiu. O que importa é que isso te faça feliz.
67,"Nunca deixe que alguém te diga que não pode fazer algo. Se você tem um sonho, tem que protegê-lo. As pessoas que não podem fazer por si mesmas, dirão que você não consegue. Se quer alguma coisa, vá e lute por ela. Ponto final."
68,"Se não puder fazer tudo, faça tudo que puder."
69,"Insista, persista e nunca desista."
70,"Por maior que seja, não há obstáculo que não possa ser superado."
71,"E que a vontade de realizar meus sonhos, seja maior que o medo."
72,Erros são provas de que você está tentando. Não desista.
73,"Se te acrescenta, tenta!"
74,Seja o motivo da motivação de alguém.
75,O único lugar onde o sucesso vem antes do trabalho é no dicionário.
76,Esqueça os piores momentos da sua vida e faça os melhores se tornarem inesquecíveis.
77,"E se faltar a alegria, lembre-se: amanhã é um novo dia."
78,Às vezes você precisa chegar ao fundo do poço para enxergar o que está no topo.
79,"Não deixe que as pessoas te façam desistir daquilo que você mais quer na vida. Acredite. Lute. Conquiste. E acima de tudo, seja feliz."
80,Não abra mão do que você acredita só porque alguém acha que não vale a pena.
81,O passado é uma cortina de vidro. Felizes os que observam o passado para poder caminhar no futuro.
82,Aquele que não luta para ter o futuro que quer deve aceitar o futuro que vier.
83,Que comece agora! E que seja permanente essa vontade de ir além daquilo que me espera.
84,"Arrisque, tente, permita-se, mostre para si mesmo do que é capaz."
