,0
0,Devíamos poder sonhar com as criaturas que nunca vimos e gostaríamos de ter visto...
1,Quem sabe o que planta não teme a colheita.
2,Escolhas erradas também levam a lugares certos.
3,"Nunca implore carinho, atenção ou amor. Se não é dado livremente, não vale a pena ter."
4,Não prometa quando estiver feliz. Não responda quando estiver com raiva. Não decida quanto estiver triste.
5,Poucos são aqueles que vêem com seus próprios olhos e sentem com seus próprios corações.
6,"Honestidade é apreciada, confiança é conquistada, lealdade é retribuída e respeito é merecido."
7,"A minha infância de menina sozinha deu-me duas coisas que parecem negativas, e, foram sempre positivas para mim: silêncio e solidão."
8,Mentir pra si mesmo é sempre a pior mentira.
9,Algumas tempestades chegam apenas para testar a força das nossas raízes.
10,"Pelo menos estou vivo. Em movimento, andando por aí, perdendo ou ganhando, levando porrada, tentando amar."
11,"Pássaros criados em gaiolas, acreditam que voar é uma doença."
12,"Um livro, uma caneta, uma criança e um professor podem mudar o mundo."
13,"Algumas pessoas sempre vão jogar pedras no seu caminho, depende de você o que você faz com elas. Uma parede ou uma ponte?"
14,"Os nossos maiores problemas não estão nos obstáculos do caminho, mas na escolha da direção errada."
15,"Tudo tem a hora certa para acontecer. E, na maioria das vezes, aquilo que você mais deseja só vai acontecer quando você menos esperar."
16,Um dia alguém vai te abraçar tão apertado que todas suas peças quebradas irão se juntar novamente.
17,Para florescer é preciso passar por todas as estações.
18,Existem pessoas que têm dinheiro e pessoas que são ricas.
19,Quem vende sua liberdade nunca foi digno dela.
20,"Tenho duas armas para lutar contra o desespero, a tristeza e até a morte: o riso à cavalo e o galope do sonho. É com isso que enfrento essa dura e fascinante tarefa de viver."
21,"A vida é feita de escolhas. Quando você dá um passo para frente, alguma coisa fica para trás."
22,Todas as grandes mudanças acontecem de dentro para fora.
23,Nunca é perda de tempo se você conseguiu aprender algo.
24,A energia que você espalha é a mesma que você recebe!
25,"Nunca chore diante das pessoas que não entendem o significado de suas lágrimas, porque amar é uma arte mas nem todo mundo é artista."
26,Somos feitos de fases.
27,Há dias em que a gente só precisa de alguém que acredite muito na gente.
28,O mundo está ao contrário e ninguém reparou.
29,"Mudei muito, e não preciso que acreditem na minha mudança para que eu tenha mudado."
30,A alma guarda o que a mente tenta esquecer.
31,"Sem dor, como poderíamos reconhecer o prazer?"
32,A melhor maneira de ser feliz é contribuindo para a felicidade dos outros.
33,"Não é possível destruir o passado para reconstruir o presente, mas é possível reconstruir o presente para reescrever o passado."
34,"A gente se preocupa com todos, mas nem todos se preocupam com a gente."
35,"Pense menos, viva mais."
36,Você pode fazer mais amigos em 2 meses se interessando pelos outros do que em 2 anos tentando fazer com que eles se interessem por você.
37,Que o vento leve o necessário e me traga o suficiente.
38,As melhores coisas da vida não são coisas.
39,"O que não te mata, te fortalece. #doemedula"
40,"Quando você chora, três coisas são limpas: os olhos, o coração e a alma."
41,Não importa o tempo que levamos para cativar o coração de alguém. O importante é marcar nosso lugar para que mesmo ausentes nos façamos presentes.
42,Não existe felicidade onde não há perdão.
43,A maior covardia de um homem é despertar o amor de uma mulher sem ter a intenção de amá-la.
44,"Não deixe as frustrações dominarem você, domine-as. Faça dos erros uma oportunidade para crescer. Na vida, erra quem não sabe lidar com seus fracassos."
45,As flores de amanhã nascem das sementes de hoje.
46,"O que importa mesmo não é o que você faz pra transformar a noite em dia, mas sim o que você vê além da escuridão."
47,"Se Deus criou as pessoas para amar, e as coisas para cuidar, por que amamos as coisas e usamos as pessoas?"
48,"Decisões são assim, ou você arrisca ou você se conforma."
49,"Agradeço todas as dificuldades que passei na vida. Elas foram grandes adversárias, mas que tornaram minhas vitórias muito mais saborosas."
50,"Quando não somos capazes de mudar uma situação, encontramos o desafio de mudar a nós mesmos."
51,"Quando algo ruim acontece você tem três escolhas: deixar isso definir você, deixar isso destruir você ou fazer isso te deixar mais forte."
52,"Ao escrever a história da sua vida, não deixe ninguém segurar a caneta."
53,"O esperado nos mantém fortes, firmes e em pé. O inesperado nos torna frágeis e propõe recomeços."
54,"No meio do caos, tudo o que precisamos é de um momento de paz para colocar a cabeça no lugar."
55,"As coisas boas da vida não são de ver, são de sentir."
56,Até mesmo a hora mais sombria tem apenas 60 minutos.
57,"Plante o bem, o regue, afaste os parasitas que tentam lhe fazer mal, retire suas partes que secam e caem. No fim, você terá uma linda muda de felicidade."
58,As pessoas que têm medo de amar são as mais capazes de dar amor.
59,É impossível viver sem ter falhado em alguma coisa. A menos que você viva tão cuidadosamente que não tenha vivido nada.
60,"Quando duas pessoas realmente se gostam, elas sempre darão um jeito de dar certo. Não importa o quão difícil seja."
61,Surpresas são melhores que promessas.
62,Não odeie o que você não pode compreender.
63,"Tenho saudade de pessoas que fui conhecendo, lembranças que fui esquecendo, amigos que acabei perdendo, mas continuo vivendo e aprendendo."
64,"Ah, se eu pudesse abrir a minha cabeça, colocar tudo para fora. E arrumar tudo direitinho como quem arruma uma gaveta."
65,"Quando você pensar em reclamar da vida, agradeça. Siga na contramão. Agindo assim, misteriosamente, de alguma forma, coisas boas acontecem."
66,"A fama é para os homens como os cabelos, cresce depois da morte, quando já lhe é de pouca serventia."
67,Não perca tempo se importando com a vida alheia. Gaste o seu tempo sendo feliz.
68,Você tem dores morando em lugares em que dores não deveriam morar.
69,"Faça valer a pena, as oportunidades não voltam."
70,Há momentos em que tudo o que a gente precisa é dar colo para o próprio coração.
71,Mar calmo não faz bom marinheiro.
72,Deixe pra trás o que não te leva pra frente.
73,"Todos querem o perfume das flores, mas poucos sujam suas mãos para cultivá-las."
74,Não importa quantas palavras sagradas tenha lido ou tenha dito. De nada servirão se não agir de acordo com elas.
75,"Não existe nada de completamente errado no mundo, mesmo um relógio parado consegue estar certo duas vezes ao dia."
76,"A má notícia é que o tempo voa. A boa, é que você é o piloto."
77,"Algumas pessoas surgem em nossas vidas como uma benção, outras como lição."
78,"Um elogio sincero pode mudar o seu dia, que tal mudar o dia de alguém hoje?"
79,"No fundo, alguma coisa me diz que vai dar tudo certo. Que os caminhos são tortos mas a chegada é certa. Que há coisas bonitas esperando lá na frente, se a gente acredita. E eu acredito, vivo de acreditar. E acredito, que o que importa mesmo, não são as pedras que encontro pelo caminho, mas sim, as flores que carrego comigo, dentro do meu coração."
80,"Se você acreditar que uma coisa é impossível, você a tornará impossível."
81,Uma mentira coloca em dúvida todas as verdades.
82,Leve com você tudo o que for bom.
83,"O ser humano é o mesmo em qualquer lugar, em qualquer tempo, em qualquer que seja a sua condição. Você pode ser rico ou pobre, mas os problemas que afetam verdadeiramente o ser humano são os mesmos."
84,Colecione bons momentos!
85,"Quando mudamos a forma de ver as coisas, as coisas mudam de forma."
86,Ninguém passa pela tua vida por engano.
87,"Não quero lutar não, não com canhões. Devo brigar por meus direitos. Meus direitos devem vir para mim. Você defende seu direito, sua razão."
88,"Pra não virar passado, tem que estar presente."
89,Não altere a voz ou saia gritando. Melhore os argumentos.
90,"A paz não é determinada pelo o que está acontecendo em torno de você, mas sim o que está acontecendo dentro de você!"
91,"O mundo dá muitas voltas, e nessas reviravoltas, nós devemos fechar a porta para o passado não mais voltar."
92,Livramento é quando a distância de alguém nos aproxima de nós mesmos.
93,O lar é onde fica o coração.
94,Quantas chances desperdicei quando o que eu mais queria era provar pra todo mundo que eu não precisava provar nada pra ninguém.
95,"O machado era de Assis. A rosa, do Guimarães. A bandeira, do Manuel. Mas feliz mesmo era o Jorge, que era amado."
96,"Para os erros, há perdão. Para os fracassos, chance. Para os amores impossíveis, tempo. Não deixe que a saudade sufoque, que a rotina acomode, e que o medo impeça de tentar."
97,"Erros podem ser perdoados. Atitudes podem ser repensadas. Mas algumas palavras, nunca poderão ser esquecidas."
98,"Nem tudo que você perde, é uma perda."
99,Uma mentira estraga mil verdades.
100,As pessoas entram na nossa vida com um propósito: ou para construir ou para destruir.
101,"Se você nasceu em um mundo onde você não se encaixa, é porque você nasceu para ajudar a criar um novo mundo."
102,Afasta o que te machuca. Reaproxima o que te faz bem.
103,No meu entender o ser humano tem duas saídas para enfrentar o trágico da existência: o sonho e o riso.
104,"Entre mim e mim, há vastidões bastantes para a navegação de meus desejos afligidos."
105,Que os ‘’piores’’ dias da vida façam entender que foi melhor assim.
106,A aparência não define quem somos e muito menos o que somos capazes de fazer.
107,"Se você pudesse ver o reflexo da sua alma, você se agradaria com a imagem que veria?"
108,"A felicidade é como a gota de orvalho numa pétala de flor: brilha tranquila, depois de leve oscila e cai como uma lágrima de amor."
109,"Se não plantar, não nasce. Se não regar, não cresce. Se não amar, morre. Assim são as plantas, assim são as pessoas."
110,Gente que tem essência sabe o que é essencial!
111,Ser diferente não é um problema. O problema é ser tratado diferente.
112,A grama mais verde é aquela que você cuida.
113,Uma pessoa que é legal com você mas não é legal com um garçom não é uma pessoa legal.
114,Não fique esperando que um príncipe encantado chegue em um cavalo branco e transforme sua vida. Seja você a sua própria princesa mágica capaz de fazer milagres por si mesma.
115,"As únicas pessoas que você precisa ter em sua vida são aquelas que provam, sob qualquer circunstância, que precisam de você na vida delas."
116,São as tempestades que te ensinam a navegar!
117,Está se sentindo sozinho? Preencha esse espaço com solidariedade. Há muita gente que precisa de você.
118,"O caminho da felicidade ainda existe, é uma trilha estreita em meio a selva triste."
119,"Não espere ir, busque enquanto pode, valorize enquanto tem, ame, dê atenção, não há nada pior que tarde demais."
120,"Se quer ser feliz, precisa ter a coragem de deixar a tristeza e o apego para trás... e isso inclui pessoas que você ama."
121,Você não precisa de alguém que complete você. Você precisa apenas de alguém que te aceite completamente.
122,"Só o riso, o amor e o prazer merecem revanche. O resto é mais que perda de tempo… é perda de vida."
123,"As palavras podem mentir, mas as atitudes sempre falam a verdade."
124,"Para ter lábios bonitos, diga palavras doces."
125,O vento é o mesmo. Mas sua resposta é diferente em cada folha.
126,Bons momentos se tornam boas lembranças. Maus momentos se tornam grandes lições.
127,"Quando tudo isso chegar ao fim, você entenderá que nada foi por acaso."
128,"Se você realmente quer que aconteça, vá atrás e não desista."
129,Só saberá subir na vida quem tiver a humildade de descer quantas vezes forem necessárias.
130,O acaso é um Deus e um diabo ao mesmo tempo.
131,Grande parte do sofrimento é criado por nós mesmos.
132,Tomara que a tristeza te convença que a saudade não compensa.
133,"A vida não oferece promessas e garantias, apenas possibilidade e oportunidades."
134,Algumas vezes coisas ruins acontecem em nossas vidas para nos colocar na direção das melhores coisas que poderíamos viver.
135,"O segredo da longevidade é comer a metade, andar o dobro e rir o triplo."
136,Um dos maiores mistérios do universo é que não sabemos se somos pequenos demais ou grande demais.
137,Boas palavras custam pouco e valem muito.
138,Todas as pessoas que cruzam o nosso caminho são necessárias para a nossa evolução.
139,Se apegue apenas ao que te torna melhor.
140,"A vaidade é o caminho mais curto para o paraíso da satisfação, porém ela é, ao mesmo tempo, o solo onde a burrice melhor se desenvolve."
141,"Seja humilde, pois, até o Sol com toda sua grandeza se põe e deixa a Lua brilhar."
142,"Palavras erradas costumam machucar para o resto da vida, já o silêncio certo pode ser a resposta de muitas perguntas."
143,"A cura para todas as coisas está na água salgada: suor, lágrimas ou o mar."
144,Algumas pessoas sentem a chuva. Outras apenas ficam molhadas.
145,A vida começa quando decidimos parar de agradar a plateia.
146,"Em vez de reclamar da vida, levante a cabeça, sacuda a poeira e dê a volta por cima. Afinal, dias ruins são necessários para que os bons valham a pena!"
147,"É bom ser importante, mas é mais importante ser bom."
148,Expectativas geram decepções. Lembranças geram saudades. Pensamentos geram sentimentos e o amor gera o amor.
149,Cultive sonhos grandes e preocupações pequenas.
150,Calma. Tudo tem a hora certa para acontecer.
151,Não coma a vida com garfo e faca. Lambuze-se!
152,Quando falta flores a gente corre no jardim de quem planta o bem para emprestar algumas sementes.
153,A gente não pode ter tudo. Qual seria a graça do mundo se fosse assim?
154,"Gosto de fazer as pessoas felizes, mesmo quando eu estou triste."
155,Calma. É aos poucos que a vida vai dando certo.
156,"O otimista é um tolo. O pessimista, um chato. Bom mesmo é ser um realista esperançoso."
157,Tudo vem com um propósito e vai por uma razão.
158,"A tua mente, atualmente, atua ou mente?"
159,"Por que existem uns felizes e outros que sofrem tanto? Nascemos do mesmo jeito, moramos no mesmo canto. Quem foi temperar o choro e acabou salgando o pranto?"
160,A vida tem a cor que você pinta!
161,"Não importa se você é negro, branco, se tem olhos azuis, ou verdes ou escuros. O importante é você ter Deus... E Ele não cria nada em vão."
162,Às vezes construímos sonhos em cima de grandes pessoas... O tempo passa e descobrimos que grandes mesmo eram os sonhos e as pessoas pequenas demais para torná-los reais!
163,Não perca as pequenas alegrias esperando pela grande felicidade.
164,"Maturidade está na mente, e não na idade."
165,"Quanto maior a armadura, mais frágil é o ser que a habita."
166,"Toda beleza é imperfeitamente bela. Jamais deveria haver um padrão, pois toda beleza é exclusiva como um quadro de pintura, uma obra de arte."
167,Não se iluda com uma pessoa só porque viveu momentos inesquecíveis ao lado dela. Nem tudo que é intenso significa que será eterno.
168,Uma das formas mais infalíveis de mudança é a reflexão.
169,"A gente sabe da importância da luz, no momento em que a gente está no escuro!"
170,Há momentos em que você precisa escolher entre virar a página ou fechar o livro.
171,Caminhos difíceis te levam a destinos incríveis.
172,O mundo precisa de loucos... Loucos uns pelos outros.
173,O conselho raramente é bem recebido e quem mais necessita dele é quem menos o aprecia.
174,O medo de se arriscar te impede de conseguir o que você sonha.
175,Ninguém consegue controlar os sonhos que têm.
176,"Para toda malícia, tem uma inocência. Para toda chuva, tem um sol. Para toda lágrima, tem um sorriso."
177,Maturidade é saber falar 
178,"Chega um tempo na vida que a gente aprende que ninguém nos decepciona, nós que colocamos expectativa demais sobre as pessoas. 
Cada um é o que é e oferece aquilo que tem para oferecer."
179,"O único homem que está isento de erros, é aquele que não arrisca acertar."
180,"Se você não está feliz com algo, mexa-se. Você não é uma árvore."
181,"Não é a carga que o derruba, mas a maneira como você a carrega."
182,"A gente vive esperando que as coisas mudem, que as pessoas mudem. Até que um dia a gente muda e vê que nada mais precisa mudar."
183,"Quando as coisas não fizerem mais sentido e nada mais prender você, não tenha medo de trocar o roteiro. Você só descobre novos caminhos quando muda a direção."
184,"A vida é um quadro em branco, cabe a você, fazer dela uma obra prima."
185,"Não é o amor que sustenta o relacionamento, é o modo de se relacionar que sustenta o amor!"
186,O medo cega os nossos sonhos.
187,A velhice chega para todos. Não abandone quem passou a vida inteira com você.
188,Perdoa o que puder ser perdoado. Esquece o que não tiver perdão.
189,"Se algumas pessoas se afastarem de você, não fique triste, isso é resposta da oração: “livrai-me de todo mal, amém”."
190,É a sua fé que te faz seguir. É o seu amor próprio que te fará acreditar. É o dia após o outro que te trará todas as respostas e certezas.
191,Em que espelho ficou perdida minha face?
192,"Tudo que vem, vem com algum propósito. Assim como tudo que vai, vai por uma razão. E o que fica é essencial."
193,"Acredite em milagres, mas não dependa deles."
194,"Uma pessoa não é um doce que você enjoa, empurra o prato e diz: não quero mais."
195,"A vida é como uma câmera. Foque no que é importante, capture bons momentos, desenvolva a vida a partir de negativos. E, se as coisas não derem certo, tire outra foto."
196,Amar também é saber ir embora.
197,"Ninguém perde por ser do bem, por espalhar amor, por ser paz na vida de alguém."
198,O óbvio também precisa ser dito.
199,"A preguiça é inimiga da vitória, o fraco não tem espaço e o covarde morre sem tentar."
200,Escute sua alma.
201,"Aparência se vê, essência se sente."
202,"Se você quer saber o quão rico você é, procure por coisas que você tem e que o dinheiro não pode comprar."
