,0
0,Que a sua noite seja doce e feliz.
1,Boa noite! Paz na mente e luz na alma.
2,Que os anjos te tragam tranquilidade e sonhos lindos esta noite. Boa noite!
3,"Boa noite, minha amiga, que você tenha uma ótima noite de sono."
4,"São muitas as vezes que não entendemos o querer de Deus, mas quando desistimos de entender e passamos a aceitar e a acreditar, milagres acontecem. Boa noite!"
5,"Quando é de coração, pequenos gestos tornam-se gigantes. Boa noite."
6,"Para tudo na vida há um novo dia, um novo sol, um novo luar... Boa noite."
7,Insista. Pequenos riachos acabam convertendo-se em grandes rios. Continue andando e fazendo. Boa noite.
8,Nunca desista daquilo que você pede a Deus todas as noites. Boa noite!
9,"Tenham uma boa noite, meus amigos, até amanhã."
10,A paz é a gente que faz. Boa noite!
11,"Que a noite venha suave como a brisa, trazendo tudo que a nossa alma precisa. Boa noite a todos."
12,Boa noite! Desejo que Jesus renove suas forças e sua fé enquanto você dorme nesta noite.
13,Deixo um beijo e o desejo de que esta noite seja de paz e de sonhos lindos. Durma bem!
14,Ando tão feliz que não encontro palavras pra dizer o quanto eu gosto de você. Boa noite!
15,"A noite é uma boa oportunidade para descansar, perdoar, esquecer, sonhar e se preparar para as lutas do dia seguinte. Tenha uma boa noite!"
16,"Querido Deus, abençoe esta noite e nos livre de todo mal, boa noite!"
17,"Durma com ideias, acorde com atitudes. Boa noite!"
18,Mais um dia se vai… Mais uma noite se achega. Boa noite!
19,"Boa noite, meu amor. Durma bem e saiba que já estou com saudades."
20,Sonhar com você faz minha noite valer a pena. Pensar em você me faz sorrir. Estar com você é a melhor coisa do mundo. E te amar é o que eu vou fazer para sempre. Boa noite!
21,Coloca tudo nas mãos de Deus e vai dormir em paz. Boa noite!
22,"Que as energias do amor, do bem e da paz cheguem até você. Boa noite!"
23,"Que sua noite seja tranquila e seu sono seja suave, para que o seu dia seja abençoado. Boa noite!"
24,Durma em paz que amanhã tem mais!
25,"Confie em Deus e tenha uma boa noite! Deus é poderoso para fazer infinitamente mais, muito além daquilo que pedimos ou pensamos."
26,"Que nunca falte um sonho para lutar, um projeto para realizar, algo para aprender, um lugar para ir e alguém para amar. Boa noite."
27,"Boa noite. Amanhã é um novo dia que trará novas oportunidades, acredite!"
28,Boa noite! Durma com os anjos.
29,"Quando os olhos pesarem, que os sonhos sejam leves. Uma ótima noite para você!"
30,Quem descansa nos braços do Senhor certamente recuperará as forças para enfrentar o amanhã com esperança e alegria. Boa noite!
31,Boa noite! Vamos dormir porque amanhã começa tudo de novo.
32,"O corpo precisa de descanso, a mente de paz e o coração de alegrias. Boa noite!"
33,Que Deus alcance nossos sonhos e os tornem realidade. Boa noite.
34,"Que Deus dê descanso para o teu corpo e alívio para a tua alma, para que você possa enfrentar o amanhã com um sorriso no rosto. Boa noite!"
35,Chegou a hora de apagar a luz e acender as estrelas... Para dar vida aos sonhos. Boa noite!
36,Tenha uma boa noite e lembre-se: a alegria vem pela manhã.
37,"O dia termina, mas Deus continua olhando por nós! Boa noite."
38,"Desejo que você tenha uma linda, excelente e serena noite de sono."
39,"Sempre que tiver a chance, seja luz na vida de alguém. Boa noite!"
40,Boa noite. Durma em paz. Amanhã tem mais!
41,"Boa noite… A vida é um momento, é um sopro. E a gente só leva daqui o amor que deu e recebeu, a alegria, o carinho e mais nada."
42,Respire. Tome uma dose de paz. Escute o bater manso do coração. Silencie a mente. Relaxe o corpo. Descanse. Amanhã tem mais... Boa noite!
43,Deixe os sonhos tomarem conta de você. Os sonhos são necessários à vida. Que os anjos embalem seu sono e joguem fora tudo de ruim do dia que passou.
44,"O que o mundo te oferece, é passageiro. O que Deus te oferece, é eterno. Boa noite!"
45,"Que os anjos te defendam do escuro da noite, guiando seus passos até a chegada das luzes da manhã."
46,Que os carneirinhos não durmam antes de você... Boa noite!
47,"Mude o modo que você olha para as coisas, e as coisas que você olha mudarão. Boa noite!"
48,Que a tranquilidade e a paz tomem conta de você nessa noite! Tenha uma noite abençoada!
