,0
0,"Quando o amor é verdadeiro, nem a maior de todas as distâncias tem o poder de desestabilizar a sua existência."
1,O amor não é apenas um sentimento que nos faz felizes; o amor é a própria personificação da felicidade e lutar por ele é desfrutar plenamente da vida.
2,"A canção é como o  vento, o mar, as estrelas, o céu e as cachoeiras. Mas o amor se parece com o canto do roxinol leve doce e alto. Alto como o amor que sinto por ti."
3,"Não lute, não corra atrás e não force as coisas, porque amor de verdade é algo simples e natural."
4,Meu amor por você é maior que qualquer montanha e mais profundo que qualquer ponto do oceano.
5,"Nesta e nas próximas vidas, você sempre será o meu grande amor."
6,Amar é dar risada sem precisar ouvir piada. ❤
7,Tu não és só o meu grande amor mas também o ser mais lindo do mundo. E eu te amo neste dia dos namorados e em todos os outros dias da minha vida!
8,"Amar não é sofrer, amar é sonhar, viver e lutar junto com você."
9,Existem vários problemas no mundo sem solução... mas meu maior problema é conquistar seu coração.
10,"Adoro a medicina e tudo que faz parte deste mundo, mas nada se compara ao amor que sinto pelo trabalho lindo que é a enfermagem."
11,"Nosso amor nunca acaba. Se caímos, nos levantaremos juntos e iremos até o fim lado a lado."
12,Buscai no amor o antídoto para todos os males.
13,"Mais do que um sentimento, o verdadeiro amor é um compromisso. Mais do que uma emoção, o amor é devoção."
14,"Minas de amor, mineiros...
laços tão verdadeiros, 
vida onde o sonho é real, 
terra de nome plural, 
gerais das montanhas. 
Lugar que a fé escolheu pra ficar 
e a chuva só fez fecundar, 
minérios, mistérios da cor."
15,É melhor alguém permanecer sozinho que implorar amor a quem escolheu outro caminho.
16,"Nosso amor é perfeito; é a luz que me ilumina e aquece, é a paz que elimina meus tormentos e a força para todas as minhas lutas."
17,Sempre achei que amor perfeito só existia em novela até ao momento que encontrei você!
18,"Você é uma pessoa linda e o ser humano mais especial do mundo. Meu amor, eu amo você e lhe desejo uma belíssima tarde!"
19,O amor que eu sinto por esta criancinha é estonteante e me faz agradecer pela vida que tenho todos os dias.
20,A melhor sensação do mundo é o frio na barriga que sinto quando nossos olhares se encontram acidentalmente.
21,"Saúde, alegria e o amor de uma família abençoada: o que posso mais querer para ser feliz?"
22,Quem diria que para entender de verdade o amor só era preciso pegar este bebê no colo. É muito afeto em um ser tão pequeno.
23,Para superar o fim de um relacionamento é preciso começar uma intensa história de amor com você mesmo.
24,O amor é o cálice da vida que é servido todos os dias aos amantes do mundo!
25,Com amor inquebrantável e propósito definido toda dificuldade se vence e todo obstáculo se transpõe.
26,"Agora que vamos casar, quero ver quem se atreve a testemunhar nosso amor! Você é um dos convidados e esperamos vê-lo na hora do “sim”!"
27,"Um amor verdadeiro não impõe mudanças violentas e desnecessárias, mas nos faz evoluir de forma suave e maravilhosa."
28,"Não é o gênio, nem a glória, nem o amor que medem a elevação da alma: é a bondade."
29,Vi uma estrela cadente e desejei um amor. Quando te conheci tive a certeza que o meu desejo se realizou.
30,"Descobri o poder do amor quando você entrou na minha vida. Meu coração é todo seu, meu marido."
31,Prefiro ser louco de amor do que sóbrio de nada e isento de sentimentos!
32,"Seja em casa ou na rua, para quem ama o carnaval, tenho um aviso: viva esta data com todo amor e alegria!"
33,"A importância da perseverança é que, perante o verdadeiro amor, a gente não desiste. Mesmo que o objeto do nosso amor nos implore para fazer isso."
34,"A felicidade em uma família não se conquista com sorte, mas sim através da união e do amor."
35,"Uma tarde de muito amor e carinho, abraço e beijinho é o que precisamos para hoje."
36,"Eu te agradeço, amor, porque sou uma pessoa melhor ao teu lado, mais feliz e realizada do que nunca."
37,"O meu marido tem sorte por me ter, mas eu não fico atrás por ser sua esposa. Como eu amo meu esposo!"
38,"Com muito amor e carinho, desejo que seu dia seja cheio de sorrisos sinceros. Boa tarde!"
39,O amor não correspondido é como uma flecha lançada que volta para nosso próprio peito.
40,O amor é o sentimento mais doce da vida! 💞
41,"A vida me ensinou que antes de amar alguém, tenho de me amar a mim. E eu aprendi."
42,"Obrigada, meu amor, por estar ao meu lado nos momentos mais felizes e por não largar minha mão nas fases mais difíceis."
43,A vida me presenteou com um lindo amor que quero cuidar e preservar pelo resto dos meus dias.
44,A melhor maneira de se amar alguém é lhe cofiando seu coração!
45,"A pessoa que ama é uma pessoa espontânea. A pessoa que ama não tem necessidade de ser perfeita, apenas humana."
46,Uma vida nova que reserva momentos marcantes de felicidade e amor está prestes a começar! Um viva para os noivos!
47,O maior ato de amor que podemos ter para conosco é sermos nós mesmos em todos os momentos da nossa vida.
48,"Amar não é prender nem ter domínio sobre alguém, mas consiste em fazer livre a quem se ama e se quer bem, todo amor que não promove a liberdade, não convém."
49,"Esse amor pode nunca mais voltar, mas você pode sempre se erguer e superar esta etapa tão difícil."
50,"O amor é o nosso estado natural quando não optamos pela dor, pelo medo ou pela culpa."
51,"Não podemos nos ver, mas iremos sempre nos ter."
52,Não preciso conhecer as belezas do mundo pois tudo que é belo encontro  em seus olhos.
53,Superar o fim de um grande amor é a provação maior que algum coração pode conhecer.
54,Estou enviando todo meu amor para iluminar sua tarde e aquecer seu coração.
55,Sou escravo do dever por amor à liberdade.
56,Você é o meu final feliz. Eu te amo.
57,"Você, meu marido, me faz feliz como nunca pensei que fosse possível e me deu a vida com a qual sempre sonhei. Amo você!"
58,"Pior do que se decepcionar, é saber que nosso amor nunca mais voltará a ser o mesmo."
59,Descobri que o amor sem limite é a medida certa do amor.
60,O amor não prende sua vida por anos. O nome disso é Carnê das Casas Bahia.
61,"Pelo batismo, o Senhor abre as portas da Sua casa e nos recebe para uma vida de amor."
62,Sempre achei que a perfeição não existia até encontrar você e juntos construirmos esta bela história de amor.
63,Para fazer uma criança crescer feliz são necessárias dar duas coisas: amor e educação.
64,"Já não somos o que éramos, mas o amor entre nós permanece o mesmo. ❤️"
65,"Tudo que quero é ficar em paz com você, meu amor, e por isso peço desculpa pela minha atitude incorreta."
66,Não há nada mais motivador do que um amor verdadeiro.
67,"Qualquer ato de amor, por menor que seja, é um trabalho pela paz."
68,"Boa tarde, meu amor! O entardecer chegou e com ele a saudade de voltar a ter você em meus braços."
69,É preciso fortalecer o amor para que ele seja capaz de continuar transformando nossas vidas.
70,"Sei que este é apenas o início de uma longa e linda história de amor. Toda a felicidade para vocês, noivos!"
71,Na vingança e no amor a mulher é mais bárbara do que o homem.
72,"Meu amor, tenha uma tarde de alegrias e saiba que estarei contando os segundos para encontrar você no fim do dia!"
73,"Tudo em você é lindo, mágico e cheio de vida. Eu te amarei até ao fim dos meus dias!"
74,"Já nos aconteceu tanta coisa, meu amor, mas eu tenho a sorte de ter uma mulher fantástica ao meu lado. A cada momento que passa te amo cada vez mais!"
75,Um viva para os noivos e esta fase maravilhosa que esta iniciando! Muitas felicidades e uma vida repleta de amor!
76,"Por que o meu coração insiste em ser agredido, dando tanta importância para este amor não correspondido?"
77,Amor fofo é amor de vovó e vovô. Feliz Dia para eles que são tudo para mim!
78,"Não adianta fugir, do meu coração você jamais conseguirá escapar."
79,"Você me salvou de mim e me mostrou que eu poderia ser alguém melhor e muito mais feliz. Agradeço por tudo, meu amor!"
80,O que eu sinto é amor porque as coisas só fazem sentido se você estiver ao meu lado!
81,"Ah o amor... que nasce não sei onde, vem não sei como, e dói não sei porquê."
82,"Quando o amor enche o coração, não deixa nele lugar para mais nada. Nem para o ódio, nem para o rancor, nem para o orgulho."
83,"Mesmo que doa, por maior que seja a decepção eu optarei sempre pela verdade."
84,"Amor é quando seu cachorro lambe a sua cara, mesmo quando você o deixa sozinho o dia inteiro!"
85,"Que hoje o dia seja invadido por momentos bons, cheios de alegria, paz e amor. Feliz domingo!"
86,"Se no amor vale tudo, então deveria ter a opção não amar."
87,"O homem que busca a fama, a riqueza e casos amorosos é como uma criança que lambe o mel na lâmina de uma faca... É como um tolo que carrega uma tocha contra um vento forte, corre o risco de ter o rosto e as mãos queimados."
88,Tudo que é recíproco se torna mais grandioso! Principalmente o amor!
89,"Nesse dia internacional da mulher, lembre-se que a melhor forma de homenagem é o seu amor e respeito."
90,Que a vida de vocês transborde amor hoje e sempre e que este noivado seja cheio de luz!
91,"Não me interessa que esta tarde seja de sol ou chuva, neve ou tempestade. Hoje eu quero amar você perdidamente!"
92,Sigo tentando fazer o bem para viver uma vida sem arrependimentos onde o amor é o item mais valioso.
93,O sexo sem amor é uma experiência vazia. Mas como experiência vazia é uma das melhores.
94,"Se quiser me reconquistar, não tente descobrir a razão que te levou a me perder, e sim a razão que me levou a te amar."
95,A fome e o amor são os dois eixos do mundo. A humanidade gira toda sobre o amor e a fome.
96,"Não há dia cinzento quando estou com você, meu amor. ☀️ ❤️"
97,"Não espero receber amor para dar amor. Afinal, só colhe quem planta primeiro."
98,Estou torcendo para que você caia... para que você caia de amores por mim.
99,"É uma palavra apenas, meu amor, mas que expressa o arrependimento sincero pela minha atitude: desculpa."
100,Eu sei o quanto é difícil acordar e adormecer com o coração ferido por amor.
101,O amor é uma escolha só possível para quem arrisca conhecer a essência da vida.
102,O primeiro amor é aquele que fere e não deixa cicatriz.
103,A despedida de um amor incondicional garante a eternidade de uma saudade.
104,"Hoje eu sou louco de vez, um pouco porque eu já era, um pouco porque você me fez."
105,"Ah, sobrinha, como é bom tê-la na minha vida e poder compartilhar risadas, histórias e este amor tão especial!"
106,É triste quando um sentimento tão lindo como o amor se transforma numa experiência que desejamos esquecer.
107,"Os jovens desejam: amor, dinheiro e saúde. Um dia, porém, dirão: saúde, dinheiro e amor."
108,"Você é tudo que sempre sonhei, quem eu mais quero ao meu lado e a única pessoa a quem entrego meu coração. Você é o grande amor da minha vida!"
109,"Nada é tão bom como o amor, nem tão verdadeiro como o sofrimento."
110,Não há amor igual como aquele que sentimos por nós próprios. 😍
111,"Um sorriso no rosto, um brilho no olhar e um amor no peito, é só o que preciso para ser feliz."
112,"Não foi preciso muito para eu perceber que tudo ia dar em amor. Na verdade, me apaixonei por você desde nosso primeiro olhar."
113,"Por mais que eu me perca na escuridão das trevas, sempre me encontrarei na luz do teu olhar!"
114,"O preconceito racial é resultado de uma sociedade limitada, onde a inteligência e o amor estão cada dia mais escassos."
115,"Com amor viverei as próximas horas repletas de alegria e ternura. Boa tarde, amor!"
