,0
0,Troquei as expectativas pelas boas surpresas da vida.
1,"Quem olha para fora, sonha. Quem olha para dentro, desperta."
2,"As pessoas mais felizes não tem o melhor de tudo, elas apenas fazem o melhor com tudo o que têm."
3,Eu acredito que o sentido da vida seja fazer sentido a outras vidas.
4,Somos arquitetos do nosso próprio destino.
5,Não julgue os outros com base nas suas próprias experiências.
6,"O autor que se julga um grande escritor, além de antipático é burro. Um escritor só pode ser julgado depois da sua morte. Muito tempo depois."
7,O silêncio é a oração dos sábios.
8,A sabedoria é a parte suprema da felicidade.
9,"O homem comum fala, o sábio escuta, o tolo discute."
10,O silêncio é de ouro e muitas vezes é a resposta.
11,"Lembre-se da sabedoria da água: ela nunca discute com seus obstáculos, ela simplesmente os contorna."
12,"Não polua, evolua!"
13,Não perca sua leveza carregando o peso dos outros.
14,Seja forte o suficiente para abrir mão do que não lhe serve mais e paciente o suficiente para esperar por aquilo que for do seu merecimento.
15,Nunca tenha certeza de nada. A sabedoria começa com a dúvida.
16,"Fuja dos três acidentes geométricos da vida: círculos viciosos, triângulos amorosos e bestas quadradas."
17,A humildade é a parte mais bela da sabedoria.
18,A sabedoria consiste em ordenar bem a nossa própria alma.
19,Deixe que a vida faça contigo o que a primavera faz com as flores.
20,"A dor faz você mais forte, o medo faz você mais corajoso e a paciência faz você mais sábio."
21,"O sábio pode mudar de opinião. O ignorante, nunca."
22,"A gente vive esperando que as coisas mudem, que as pessoas mudem. Até que um dia a gente muda e vê que nada mais precisa mudar."
23,A dor é inevitável. O sofrimento é opcional.
24,"Talvez amadurecer seja entender que perder e sofrer te fazem crescer. Muitas vezes, perder também é uma forma de ganhar."
25,"Uma pessoa inteligente aprende com os seus erros, uma pessoa sábia aprende com os erros dos outros."
26,"Toda arte é local antes de ser regional, mas, se prestar, será contemporânea e universal."
27,Não dê ao seu passado o poder de definir o seu futuro.
28,"O sonho é que leva a gente para frente. Se a gente for seguir a razão, fica aquietado, acomodado."
29,O amor é a única loucura de um sábio e a única sabedoria de um tolo.
30,"Ontem eu era inteligente, queria mudar o mundo. Hoje eu sou sábio, estou mudando a mim mesmo."
31,"Pense menos, viva mais."
32,"Você atrai o que você é, não o que você quer."
33,"Desistir daquilo que não vale a pena não é fracasso, é sabedoria."
34,Demore na dúvida... E descubra a sabedoria que insiste em se esconder na ausência de palavras.
35,Não ganhe o mundo e perca sua alma; sabedoria é melhor que prata e ouro.
36,"Se você deseja viajar longe e rápido, viaje leve. Deixe pra trás todas suas invejas, ciúmes, incapacidade de perdoar, egoísmo, e medos."
37,Até situações ruins podem trazer coisas boas.
38,"Seja humilde para admitir seus erros, inteligente para aprender com eles e maduro para corrigi-los."
39,"Nunca é cedo demais para nos transformarmos no melhor que podemos ser.

 "
40,"Uma pessoa inteligente resolve um problema, um sábio o previne."
41,"Para os erros, há perdão. Para os fracassos, chance. Para os amores impossíveis, tempo. Não deixe que a saudade sufoque, que a rotina acomode, e que o medo impeça de tentar."
42,A criatividade é a inteligência se divertindo.
43,Toda forma de saber nasce de um não saber.
44,Conhecer a si mesmo é o começo de toda a sabedoria.
45,A minha sabedoria é inexistente se for colocada em comparação à onisciência de Deus!
46,"Atrair o que você espera, refletir o que deseja, tornar-se o que respeita e espelhar-se no que você admira."
47,Procure a sabedoria e aprenda a escrever os capítulos mais importantes de sua história nos momentos mais difíceis de sua vida.
48,"O dinheiro faz homens ricos, o conhecimento faz homens sábios e a humildade faz grandes homens."
49,Aprendi que é na simplicidade que a vida se enfeita.
50,Levantar os outros faz você crescer!
51,Só quem se perde descobre novas direções.
52,"Corra o risco. Se der certo, felicidade. Se não, sabedoria."
