,0
0,"
Meu padrasto, amigo e pai de coração
Meu padrasto; meu amigo, meu pai de coração, desejo que sua vida seja sempre bela e repleta de emoção! Gosto de você sem definições, sinônimos ou explicações. O que nos liga é honesto, forte, puro e isso será sempre o mais importante.

A capacidade que você tem de lidar com a vida e com todas as coisas que ela oferece é inspiradora, sabe? Sinto que me fortaleço a cada palavra sua; a cada gesto. É um privilégio compartilhar minha vida com uma pessoa assim tão especial.

Torço para que seu melhor sorriso esteja sempre presente no seu rosto. Nunca desista de lutar por todos seus sonhos. E lembre-se que estarei sempre ao seu lado para tudo. E mesmo assim jamais reconhecerei devidamente tudo que você sempre me proporcionou.

"
1,50 frases de aniversário para namorada que vão colocar um sorriso no rosto e no coração dela
2,Mundo das Mensagens
3,"
Meu padrasto mora no meu coração
Meu querido padrasto, podemos não dividir o mesmo sangue, mas ainda assim sinto que herdei de você as minhas maiores qualidades e valores.

Você é como um pai para mim e, por sempre estar ao meu lado quando preciso de um ombro, um conselho, ou uma palavra de incentivo, valorizo muito seu papel na minha vida.

É pelo homem que você é, seu caráter e amor que tem pela nossa família que tenho um lugar especial guardado para você no meu coração.

Agradeço a Deus por você ser meu padrasto! Amo muito você!

"
4,Declaração de amor: dicas de como se declarar à pessoa que você gosta
5,As 49 melhores frases para irmãs cheias de amor para você demonstrar todo seu carinho fraternal
6,100 frases de amor para filha amada carregadas de sentimento que vão derreter seu coração
7,40 frases para fotos com namorado que vão derreter o coração dele
8,"
Você conquistou meu coração
É incrível como você conquistou meu coração. Tenho que confessar que não resisti ao seu lindo sorriso e ao seu jeito meigo de olhar. O tempo foi passando e descobri que dentro do seu coração havia muita bondade. Hoje sou feliz por ter um homem de verdade do meu lado que preenche todos os meus dias.

Você é a minha vida, meu amor e eu quero que fiquemos juntos para sempre!

"
9,20 cartas para o Dia dos Pais para você expressar todo o seu amor
10,35 declarações de amor apaixonantes para você se inspirar
11,Parabéns para mim: dicas para celebrar o meu aniversário
12,"
Em pouco tempo conquistou meu coração, amiga
Amiga, você é uma pessoa especial que em pouco tempo conquistou minha amizade e que já ocupa um lugar importante no meu coração!

"
13,"
Meu padrasto, meu pai, eu te adoro
Minha família é muito especial e você fará sempre parte dela. Não importa se o sangue é diferente; o que interessa é que o amor é gigante. Gosto muito de você e sempre gostarei. Mais do que um padrasto, você é um pai para mim!

Você tem sempre uma palavra sábia para oferecer; segurança e proteção para confortar e ensinamentos para me educar. Tenho muita admiração por você e também sorte por compartilhar minha vida com um ser humano tão rico e especial.

Meu pai de coração é você e sempre será. Tenho muito orgulho em todas as suas atitudes e só desejo que a vida seja sempre sua amiga. É bom receber seu amor, porque sei que é intenso e verdadeiro. Meu padrasto, meu amigo, meu pai, você é muito especial.

"
14,"

Meu padrasto conquistou meu coração

 

                    Meu padrasto, você entrou na minha vida aos poucos, mas de forma significativa. Trouxe carinho, segurança e uma felicidade que há muito não via no rosto da minha mãe.

Sem demora, mostrou seu caráter e suas intenções, conquistando assim também um lugar no coração da minha família toda e, em especial, do meu. 

Você é uma figura paterna, um amigo e um exemplo de homem e pessoa. Amo muito você, meu padrasto e segundo pai!                

"
