,0
0,"
Ao melhor pai do mundo

 


                                    Ao melhor pai do mundo eu desejo o melhor dia dos pais de todos os tempos! Mas não apenas hoje, e sim todos os dias da sua vida, eu torço pela sua felicidade, meu pai, pois você merece. 

Como pai, amigo, homem... você sempre foi o melhor em tudo, um grande exemplo de vida e um poço sem fim de qualidades. 

Eu o admiro muito e sinto um grande orgulho que seja meu pai. Mas acima de tudo eu o amo, papai! Feliz Dia dos Pais!                                


"
1,"
Meu pai é meu reflexo









Você, papai, será sempre o reflexo do que eu desejo ser. Tenha um Feliz Dia dos Pais!                                    


"
2,"
Meu pai adotivo é maravilhoso


                                    Você existe e isso é tudo que preciso para me sentir em paz, feliz, com segurança. Não importa se o sangue é o mesmo; se você é pai adotivo; se me conhece desde sempre. Você é meu pai e só isso me interessa. Feliz Dia dos Pais!

Só o amor importa. Nada mais! Foi isso que aprendi desde a hora que nos conhecemos. Somos amigos de verdade, companheiros contra tudo e todos. Temos um relacionamento mágico, honesto, inteiro. E eu te adoro, te adorarei sempre.                                


"
3,"
Meu pai é o melhor









Meu pai é o melhor do mundo e o verdadeiro herói da minha vida. Feliz Dia dos Pais, papai!                                    


"
4,"
Para o Meu Marido, o Melhor dos Pais

 


                                    Feliz dia dos pais, meu amor! Não apenas hoje, mas todos os dias, você é merecedor das homenagens mais efusivas, pois você é o melhor dos pais, um marido perfeito, um companheiro como não há igual!

Você é a maior bênção das nossas vidas e o grande pilar sobre o qual assenta a nossa família. Você é amoroso, paciente, dedicado, atento, presente... Você é tudo, é perfeição, é amor e carinho. Eu amo muito você e por tudo lhe agradeço!                                


"
5,"
O marido, pai e pilar da família é você


                                    Você é o pilar da nossa família e além de grande marido, é também o melhor pai do mundo. É por isso que hoje, meu bem, eu lhe desejo um dia dos pais abençoado por Deus!

Que Ele o encaminhe sempre para as melhores direções e o mantenha ocupado com momentos maravilhosos de alegria e felicidade infinitas! Você merece todo bem que existe no mundo!

Lembre-se que estamos sempre aqui para tudo que precisar, para encher seu coração de amor e carinho, e também para risadas sem fim, é claro! Tenho muito orgulho em você. Meu bem, tenha um dia espetacular! 


"
6,"
A Importância do Pai na Vida de um Filho


                                    Ainda vivemos numa cultura onde a importância do pai na vida de um filho, seja qual for o gênero, é menosprezada e diminuída, como se fosse menos essencial ou de menor valia. Esquecemos que já passou o tempo em que a mulher era obrigada a cuidar da família e do lar e para o homem era atribuído o sustento da família e tudo associado ao que estaria fora de casa, participando muito pouco da vida social dos filhos e consequentemente de todos os parentes.

Apesar da mulher ser biologicamente responsável por prover o primeiro alimento do filho, isto não deveria excluir a presença do pai nos momentos decisivos do filho. As leis trabalhistas não ajudam também pelo fato da sociedade ainda não estar convencida que o pai realmente precisa interagir mais na educação dos filhos.

O próprio pai muitas vezes, se dispensa dessa prioridade, achando mesmo que a mãe tem um entendimento já inerente e seu envolvimento só atrapalhará o processo, acreditando que nem é tão importante assim. Embora a mãe esteja associada à questão biológica do processo o pai não deveria nunca se excluir, muito menos pensar que tem menos valor na vida do filho.

Os pais precisam perceber que a educação deve ser vista como um crescimento conjunto da mesma forma que a criança foi concebida. Os filhos têm que receber carinho e afeto dos dois lados e também construir sua personalidade através da percepção de vida tanto do pai quanto da mãe, e esse desenvolvimento não deve acontecer com apenas uma influência e um espectador. Salvo casos excepcionais, se o pai permanecer como uma pessoa dispensável na vida do filho, o tempo só irá fortalecer essa ideia e é muito difícil reverter tudo isso.                                


"
7,Mundo das Mensagens
8,"
Um Coração Do Tamanho da Lua


                                    Sou apaixonado pelo melhor pai do mundo – o meu! Minha admiração por você não tem limite, não conhece fim. Desde pequeno que quero ser igual a você, sabe? Te adoro! 

Todas as dificuldades que já ultrapassou na vida, todas as conquistas que já alcançou fazem de você um homem completo, repleto de princípios maravilhosos e com um coração do tamanho da lua. Te amo, meu pai, por tudo!                                


"
9,"
As saudades que eu tenho de você, meu pai

 


                                    Tenho saudades do seu abraço, meu pai, de todos os conselhos que só você sabia dar e de me sentir protegida por não estar sozinha em casa. Sinto falta dos lindos momentos que sempre passávamos em família e que agora não acontecem mais.

Você partiu e as dores da sua ausência parecem não ter fim. Está difícil seguir em frente, mas vou continuar tentando. Enfrentarei a tristeza com todas as forças, imaginando que você está olhando para mim. 


"
