,0
0,"
120 Dias de Vida Nova


                                    Já passaram 120 dias desde que minha vida mudou para melhor. São quatro meses de namoro, de um amor sem precedentes. Quero amar e receber seu amor todos os dias, porque só assim sou feliz. 

Desejo que estes meses sejam o começo de uma linda história de amor! Quero ter seu abraço toda vida, seus beijos todos os dias e sua atenção para sempre. Quero viver ao seu lado e cuidar do seu coração eternamente. Te amo!                                


"
1,"
Meu marido, que grande orgulho


                                    Eu amo você não pelo que me dá, mas por tudo que você me ajuda a conseguir sozinnha. Sinto orgulho que seja meu marido!                                


"
2,"
A melhor prima, não importa a distância


                                    Minha prima mais querida, que falta que eu sinto de ter você por perto para conversar, dar risadas e sentir o seu abraço.

Nós não conseguimos mais nos encontrar com tanta frequência, mas sei que é um ótimo motivo e, por isso, torço muito pela sua felicidade. Não importa a distância, sei que você sente o nosso amor seja lá de onde estiver. 

Muita sorte na sua jornada e não se esqueça que para o que você precise, estarei aqui para ajudar. Te amo, prima.                                


"
3,"
Você é o amor de todas as minhas vidas


                                    Você é o amor da minha, desta e de todas as que eu viver. Pois meu amor por você é tão eterno quanto o próprio tempo. Tenho tanta certeza disso quanto de que preciso de ar para viver. 

E aconteça o que acontecer até o final desta minha vida, há algo que sei nunca acabará, e é o amor que sinto por você. Você me faz feliz só porque existe, e apenas pensar em você me faz sorrir com o rosto e o coração. E a você eu faço apenas um pedido: que seja feliz!                                


"
4,"
Um Amor Desigual


                                    Você me amou de um jeito nada
igual; um jeito sem igual igual a
qualquer nada, igual a outro amor
incondicional, desigual, desigual.

Você cuidou de mim sem palavras
ou receios, como uma flor cuida da
vida de quem passa ou se encanta
ou se perde na cor das suas pétalas.

E eu te amo, te amo como nunca
me amei sequer, te amo como o
amor nunca foi amado até.

E eu te quero, te quero assim de
um jeito tão só meu, tão só nosso
e tão só desigual como nós.                                


"
5,"
Orgulho e Admiração, Querida Esposa


                                    Acabou, meu amor! Sua luta finalmente terminou. Que alegria! Que felicidade! Sinto um orgulho muito grande em você, querida esposa. Sinto que nada pode abalar nosso casamento, nossa harmonia, nossa paz. 

Você demonstrou que é capaz de ultrapassar qualquer obstáculo que surja em sua vida – isso me enche de orgulho. Minha admiração por você cresceu a um ritmo alucinante nestes últimos dias. Obrigado por existir! Te amo!                                


"
6,"
Quero agradecer por tudo


                                    Meu anjo, quero agradecer 
A você por tudo! 
Pelos momentos em que chorei, 
Você veio carinhosamente 
Me beijou e me fez sorrir.
Pelos momentos em que perdi 
A paciência, você veio com 
Palavras amenas e doces 
E me acalmou.

Pelos momentos em que 
Meu coração estava em pedaços, 
Você veio cheio de amor e me curou.
Pelos momentos de alegria 
Que fez questão de dividir comigo.
Pelos momentos que com muita 
Esperança, pensou junto comigo 
No nosso futuro.

Obrigada, meu amor! Obrigada
Por existir na minha vida! 
Obrigada por me fazer feliz e a 
Pessoa mais amada na sua vida!
Eu te amo!                                


"
7,"
Farei um esforço para mudar


                                    Com muito arrependimento no coração quero pedir desculpas, meu amor. Sei que não agi da melhor forma e que desiludi você, mas não era minha intenção magoar você desse jeito.

Somos imperfeitos e às vezes falamos e fazemos coisas sem pensar, mas isso não faz com que não queira melhorar. Estou me esforçando muito para mudar, porque você e o nosso amor são muito importantes para mim. Me perdoa, pois eu te amo!                                


"
8,"
Seu amor é o que desejo

 


                                    Não pretendo o mundo nem alcançar sonhos gigantes; seu amor eterno é tudo que desejo. Te amo, meu bem!                                


"
9,50 frases incríveis de amor
