,0
0,Coisas boas sempre surgem quando as ruins vão embora.
1,"Dias melhores virão, nem pense em desistir."
2,Nunca é tarde pra pegar uma velha história e escrever um novo final.
3,As noites mais escuras produzem as estrelas mais brilhantes.
4,"Sempre há outra chance, uma outra amizade, um outro amor. Para todo fim, um recomeço."
5,O sofrimento é o intervalo entre duas alegrias.
6,"E mesmo que tudo esteja ao contrário, que tudo não seja visivelmente possível, guardo em mim uma louca, uma misteriosa, uma desesperada e descabelada esperança!"
7,E que nunca nos falte a esperança de dias melhores.
8,Ouça sua esperança e não os seus medos.
9,"O que vale a pena ter, vale a pena esperar."
10,Que todos os jardins floresçam antes das chuvas cessarem.
11,Bonito mesmo é essa coisa que dá na gente de acreditar que cada dia pode ser melhor!
12,Mais esperança nos meus passos e menos tristeza nos meus ombros.
13,A esperança é a última que morre.
14,Deus vai virar essa página e os próximos capítulos serão de vitórias.
15,"Regra básica da vida: na volta, a descida vira subida."
16,"Calma, o mundo ainda tem muita volta pra dar."
17,"A tristeza é uma telha quebrada na casa da nossa vida, mas a esperança é um cobertor que nos protege."
18,"Enquanto há vida, há esperança. (Eclesiastes 9:4)"
19,Pra que chorar pra que sofrer se há sempre um novo amor em cada novo amanhecer.
20,"Vá firme na direção das suas metas. Porque o pensamento cria, o desejo atrai e a fé realiza."
21,Simplesmente viva a vida!
22,E são nesses fins que encontramos nossos meios para recomeçar.
23,Enquanto houver vontade de lutar haverá esperança de vencer.
24,A esperança é a única coisa mais forte que o medo.
25,"Quando é pra dar certo, até os ventos sopram a favor..."
26,Tempestades não duram para sempre.
27,Amanhã será um dia melhor!
28,Perder a esperança é chegar no fundo do poço.
29,"Acima de tudo, não perca a esperança."
30,"Não importa o que aconteceu em seu passado, confie em seu futuro."
31,"Deus, se um dia eu estiver prestes a perder as esperanças, me ajude a lembrar que os teus planos são maiores que os meus sonhos..."
32,A esperança é a luz que nos guia para bem longe do precipício dos nossos piores pensamentos.
33,Esperanças são essas coisinhas cheias de magia que nunca faltam em nossos corações.
34,"E que venham novas histórias, novos sorrisos e novas pessoas."
35,Esperança é a criança de sorriso mais puro.
36,Não perca a esperança. Você nunca sabe o que o amanhã vai te trazer.
37,Faça de cada dia um novo horizonte.
38,"Querido passado, obrigado por tudo que me ensinou... Querido futuro, pode vir!"
39,Imagine uma nova história para sua vida e acredite nela.
40,"Sempre que o sol nasce, surge uma nova esperança."
41,A esperança vence o medo!
42,"Se você quiser que sua vida tenha um novo sentido, um novo sabor, bote fé, bote esperança e bote amor."
43,Sempre tenha esperança... A melhor sensação do mundo é saber que existem infinitas possibilidades.
44,Esperança é um pedaço da gente que sabe que vai dar certo.
45,"Que eu tenha asas para sonhar, esperança para acreditar e fé para continuar."
46,O melhor está por vir. Acredite!
47,Mais esperança nos meus passos do que tristeza nos meus ombros.
48,Pra todo game-over existe um play again.
49,As suas dores não podem ser maiores do que a sua esperança.
50,Que o azedume alheio não te impeça de espalhar doçuras por aí.
51,"Seja paciente, algumas vezes precisamos passar pelo pior, para ter o melhor."
