,0
0,"Crescer, evoluir e manter as bases fortes!"
1,Ninguém perde por dar amor. Perde quem não sabe receber.
2,Um dia decidi ser eu e nunca mais voltei atrás.
3,"Não coloque limites em seus sonhos, coloque fé."
4,Às vezes você precisa ser o seu próprio super-herói.
5,Quem nasceu pra ser oceano não se contenta com aquários.
6,O amor te deixa mais bonito do que qualquer filtro do Instagram.
7,"Algumas pessoas sempre vão jogar pedras no seu caminho, depende de você o que você faz com elas. Uma parede ou uma ponte?"
8,Valorize-se. É grátis!
9,"Seja quem você é, não quem o mundo deseja que você seja."
10,"Aceite que você merece mais do que amor doloroso. A vida nos move, a decisão mais justa com seu coração é se mover junto."
11,Os tímidos sempre impressionam aqueles que têm paciência de conhecê-los melhor.
12,"Ser especial não é chegar e arrasar, mas sim sair e deixar saudades."
13,"Você é único. Deste modo, ame-se, cuide-se, queira-se bem todos os dias. Perdoe-se sempre e tenha paz consigo mesmo."
14,Confiar em si. Sorrir para ti. Realizar para todos.
15,"Brilhe, ainda que haja escuridão."
16,Não deixe seus medos decidirem por você.
17,"E eu, finalmente, deixei de ter pena de mim por estar sem você e passei a ter pena de você por estar sem mim."
18,Com o passar dos anos aprendi que o mais importante num vestido é a mulher que o veste.
19,Seja otimista. Esta é a melhor forma de ver a vida.
20,"Você é bom o bastante, só precisa acreditar nisso para começar a perceber.

 

 "
21,"Cada dia mais humana, menos perfeita e mais feliz!"
22,Tire o dia para sorrir.
23,"Por muito tempo fui tudo o que pude, agora sou tudo o que quero."
24,"Ria da vida, antes que ela ria de você."
25,Apaixone-se por si mesmo quantas vezes for necessário.
26,"Eu não ligo para o que as pessoas pensam sobre mim, porque minha personalidade não é feita de opiniões e sim de atitudes."
27,"Não sou melhor que ninguém, mas procuro ser melhor que eu mesmo a cada dia."
28,"São através dos erros e tombos, que nos tornamos pessoas melhores."
29,Você não precisa ser perfeito para ser incrível.
30,"Descubra-se a cada passo, mova-se do seu próprio jeito, encontre seu próprio estilo, (re)invente-se a cada dia."
31,"De tanto te procurar, resolvi me encontrar."
32,"Se apaixone por alguém que te faça rir dos seus próprios erros, que te aceite do jeito que você é."
33,Não deixe que o medo de cair te impeça de voar.
34,Bonito é ser o que você é!
35,"Minha idade não define minha maturidade, minhas notas não definem minha inteligência e as fofocas que fazem de mim não definem quem eu sou."
36,Invista em você e ame-se. A gente só pode cobrar dos outros aquilo que a gente já tem.
37,Eu sou a minha pessoa preferida!
38,Querer ser outra pessoa é um desperdício da pessoa que você é.
39,Eu poderia ser a pessoa mais agradável do mundo mas optei por ser eu mesmo.
40,"Mais importante do que amar alguém, é curtir a própria companhia."
41,"Quando conseguimos expressar quem a gente é, naquilo que a gente faz, então conseguimos experimentar a realização plena."
42,Esqueça. Sorria. Deixe ir.
43,"Seja você o grande amor da sua vida!

 "
44,Um pequeno pensamento positivo pela manhã pode mudar todo o seu dia.
45,Seu amor próprio é quem define o quanto você se permite ser feliz.
46,"Viva simples, sonhe grande, seja grato, dê amor, ria muito!"
47,"Em vez de se preocupar com o que os outros pensam de você, fique perto de quem te faz feliz."
