,0
0,"Filha, proteger você é a maior missão da minha vida e a razão de toda minha paz!"
1,"Todas as situações, mesmo as mais terríveis, têm coisas positivas. Cabe-nos a nós descobrir o lado positivo de cada situação."
2,"Só se conhece verdadeiramente as pessoas perante as adversidades, só nesses momentos é que revelam a sua verdadeira identidade."
3,"Se você presenteia uma rosa e alguém te retribui o agradecimento com um galho de espinhos, não se preocupe, faz parte da vida o saber conviver com todo tipo de ignorância."
4,"Sempre que você dá vai acabar por receber, mas se nada compartilhar jamais algo irá receber!"
5,Você só vai conseguir amar outra pessoa quando se amar a si mesma.
6,"A suprema felicidade da vida é a convicção de ser amado por aquilo que você é, ou melhor, apesar daquilo que você é."
7,"É preciso sobreviver para atingir a idade da realização, para ser feliz. Não vale sair antes do jogo terminar."
8,Se filho fosse todo igual deveria ser idêntico a você para que todos os pais sentissem a felicidade que eu sinto!
9,"Se você faz o que sempre fez, você obterá o que você sempre obteve."
10,"Parabéns pela gravidez, querida nora! Essa é apenas mais uma das muitas razões que diariamente você me dá para que a ame tanto."
11,"Não sei por que gosto tanto de você, talvez seja pelo seu olhar, jeito de falar ou modo de andar. Não sei, crush é mesmo assim: algo indecifrável."
12,"Agradeço as risadas, os momentos de carinho, as conquistas e tantas outras coisas boas que aconteceram nessa ano de vida. Que venham muitos mais!"
13,A única pessoa que nunca o irá abandonar é você. ✍
14,Bem-vindo ao facebook! Aqui você conhecerá o interior dos banheiros da maioria dos seus amigos; isso graças a uma selfie no espelho de cada vez.
15,"Filho, melhor que ver você crescendo, é sentir sua felicidade e ver seu coração repleto de sonhos."
16,O tempo não passa sem deixar a sua marca e grava nos nossos corações ❤ os bons momentos para que os possamos recordar mais tarde.
17,É nas pequenas coisas da vida que encontro motivação para seguir lutando. ✨
18,Disciplina é a diferença entre fazer o que você quer agora e fazer o que você mais quer na vida. Supere-se!
19,Beba-o com respeito. É provável que ele seja mais velho que você
20,"Se já fostes injusto com alguém, resigne-se ao ser injustiçado por outros, pois neste caso a injustiça contra você deixa de ser injusta para ser punição."
