,0
0,"Eu gosto de coisas que brilham. De pessoas de luz! De gente que sabe ser sol, mesmo quando a vida está nublada..."
1,Concentre seus pensamentos em acontecimentos bons. Luz atrai luz. Positividade atrai milagres.
2,"Gosto de pessoas positivas, que espalham boas vibrações apenas com um sorriso."
3,Oriente sua mente e viva intensamente.
4,Positividade que o dia vai ser só felicidade!
5,A vida é aquilo que fazemos dela!
6,"Cultive o amor, tristeza não dá flor."
7,É a sua vez de brilhar!
8,"Se você não acredita no seu sucesso, ninguém pode acreditar por você."
9,Extremamente feliz por tudo o que carrego no coração!
10,"Positividade, cabeça erguida e um sorriso no rosto."
11,"Suas crenças não fazem de você uma pessoa melhor, mas suas atitudes sim."
12,"Quando você deseja o bem, o bem te deseja também."
13,Já parou pra pensar que você pode estar tentando agradar as pessoas erradas?
14,"Mas é preciso ter força, é preciso ter raça, é preciso ter gana sempre."
15,Pense positivo e coisas boas acontecerão!
16,Energia positiva faz a vida mais bonita!
17,Distribua amor e veja o universo conspirando a seu favor!
18,Buscando o equilíbrio entre as escolhas do coração e as da consciência!
19,Toda pedra do caminho você pode retirar.
20,Todo pensamento positivo te impulsiona na direção certa.
21,A vida só depende de você. Faça acontecer!
22,"Talvez seja melhor seguir em frente, em vez de se agarrar em coisas que não podemos mudar."
23,A negatividade do mundo não pode te derrubar a menos que você permita que ela permaneça dentro de você.
24,Sabedoria é saber transformar tempestade em banho de chuva!
25,Viva a sua vida e ignore a negatividade. Não deixe ninguém roubar a sua felicidade.
26,O mundo precisa de mais sorrisos.
27,"Pense positivo, demonstre carinho e viva como melhor desejar."
28,"Mente positiva, vibrações positivas, vida positiva. É um ciclo!"
29,Mente ativa é mente sã. Movimente-se!
30,"Tudo fica mais leve, mais fácil, quando se tem um amigo ao lado!"
31,Se cubra de energias positivas e deixe a sua alma dormir em paz.
32,Todo dia é dia de alimentar o coração com boas energias.
33,Aflore o que de melhor há em você!
34,"Mente firme, alma limpa e pensamento positivo sempre."
35,"Vem paz, vem amor, vem felicidade, vem energia boa."
36,"É tudo uma questão de pensar positivo, você é do tamanho do seu sonho."
37,"Deixa o vento te levar, as melhores coisas acontecem por acaso."
38,"Vem positividade, vem amor, vem paz!"
39,Que tudo de mais positivo e verdadeiro prevaleça nesse dia.
40,Status: sendo feliz a cada instante!
41,Semear somente o que nos faz bem!
