,0
0,Às vezes construímos sonhos em cima de grandes pessoas. O tempo passa e descobrimos que grandes mesmo eram os sonhos e as pessoas pequenas demais para torná-los reais!
1,"Esta distância ainda me mata, pois são tão grandes as saudades que eu sinto de você!"
2,Que a esperança e a fé sejam sempre maiores do que o seu medo.
3,Todos sabem fazer história - mas só os grandes sabem escrevê-la.
4,"Quando o caminho estiver difícil e sentir vontade de desistir, lembre-se que as maiores vitórias são o resultado de grandes sacrifícios."
5,Poucas coisas são tão belas e serenas como admirar a lua em uma noite iluminada pelas estrelas no céu.
6,Agradeço pelo amor e carinho de sempre! Feliz dia dos avós para meus grandes amores!
7,As mais belas declarações de amor são aquelas que são feitas durante as maiores tempestades da vida.
8,Mundo das Mensagens
9,Um professor inspira e desperta alegria no aluno através dos grandes ensinamentos da vida.
10,"Das discussões até as maiores demonstrações de amizade, o amor entre irmãos está presente em todos os momentos."
11,"Lembro do tempo passado em que fui feliz e sinto saudade, mas tenho confiança que o que ainda vou viver será razão para maiores saudades."
12,"Escrevi o teu nome em todas as paredes do meu coração, em letras bem grandes. Assim, se alguém conseguir entrar, vai saber que ele já tem dono."
13,Amar é o esforço de escalar a montanha do nosso ego para poder se deleitar apreciando a vista das pequenas grandes coisas.
14,As grandes idéias são aquelas nas quais a única coisa que nos surpreende é que não nos tivessem ocorrido antes.
15,"A vida é cheia de surpresas e você será provavelmente uma das maiores que a vida me deu. Feliz aniversário, querida cunhada!"
16,Grandes descobertas e progressos invariavelmente envolvem a cooperação de várias mentes.
17,"Não deixe de lutar por aquilo em que acredita, pois a força da nossa crença é capaz de mover as maiores montanhas."
18,As maiores verdades são reveladas através de uma loucura de amor.
19,"Os grandes homens são aqueles que sabem que o erro não é cair, é não querer se levantar."
20,O preconceito racial é uma das maiores barbáries que já existiu na terra.
21,É muitas vezes nas pequenas coisas e não nas grandes que se conhecem as pessoas corajosas.
22,Grandes surpresas estão prestes a chegar para aqueles que não esperam nada de mim.
23,"Às vezes, o maior dos vencedores carrega grandes cicatrizes de todas as derrotas do passado, mas ele é a prova viva de que persistir sempre compensa."
24,Às vezes pequenas palavras dizem grandes coisas.
25,"Amor proibido é um mito, porque todo sentimento é livre e capaz dos maiores milagres."
26,"Jamais me arrependerei de amar intensamente, só assim você comete as mais belas loucuras de amor!"
27,"Que os vossos esforços desafiem as impossibilidades, lembrai-vos de que as grandes coisas do homem foram conquistadas do que parecia impossível."
28,"Um espírito mesquinho é como um microscópio: aumenta as pequenas coisas, mas impede de ver as grandes."
29,"A raça humana tem na imaginação um de seus maiores legados, pois sem ela a vida deixaria de ter aquela relevância que lhe é peculiar."
30,Aprendi desde cedo que é em equipe que os grandes resultados acontecem. A quem me ajudou neste percurso eu agradeço!
31,"Podem até falar que você tem defeitos, mas para mim sempre revelou grandes qualidades. Dinda, eu adoro você!"
32,Cultive a alegria de viver e você verá que coisas belas podem acontecer a qualquer momento.
33,"Quem tem amigas loucas tem a memória cheia de bons momentos, grandes aventuras e infinitas loucuras cometidas."
34,Para os noivos mais queridos desejo as maiores felicidades do mundo. Que o amor de vocês seja doce e eterno!
35,Desejo a mim as coisas mais belas para que possa ter um futuro brilhante. ✨
36,Belas amizades proporcionam histórias incríveis que guardaremos com carinho para toda vida.
37,A mudança é criada por aqueles cujas imaginações são maiores que as suas circunstâncias.
38,"Se o tempo passa e não volta mais atrás, faça com que os grandes momentos que viveu se repitam para sempre!"
39,Sejam todos bem-vindos ao primeiro dia de aulas! Espero que este seja um ano de grandes conquistas e muito aprendizado.
40,"Grandes professores não são aqueles que sabem tudo sobre suas disciplinas, mas sim os que tem amor por ensinar."
41,"Botas...as botas apertadas são uma das maiores venturas da terra, porque, fazendo doer os pés, dão azo ao prazer de as descalçar."
42,"A ausência diminui as paixões pequenas e aumenta as grandes, porque o vento apaga velas e ventila um incêndio."
43,O prazer dos grandes homens consiste em poder tornar os outros mais felizes.
44,"O caráter pode se manifestar nos grandes momentos, mas ele é formado nos pequenos."
45,"Para realizar grandes conquistas, devemos não apenas agir, mas também sonhar; não apenas planejar, mas também acreditar."
46,"O trabalho afasta de nós três grandes males: o tédio, o vício e a necessidade."
47,"Eu Te agradeço, meu Deus, por me dares uma família que é um bom abrigo contra as maiores tempestades da vida."
48,Somos uma família abençoada pois mesmo diante das maiores dificuldades nós sempre permanecemos juntos.
49,As grandes massas cairão mais facilmente numa grande mentira do que numa mentirinha.
50,"É através da esperança que ganhamos força para concretizarmos nossos maiores desejos. Ela não pode ser a última que morre, porque ela jamais deve morrer."
51,O que de melhor existe nos grandes poetas de todos os países não é o nacionalismo e sim o universalismo.
52,"Ainda sou muito pequeno, mas tenho grandes sonhos! 😴"
53,"Talvez a saudade seja uma das mais belas formas de afinidade, sem ela não teríamos a alegria do abraço de alguém que mesmo distante nos faz bem."
54,"Entre as pequenas coisas que não fazemos e as grandes que não podemos fazer, o perigo está em não tentarmos nenhuma."
55,"Limpe o suor, levante a cabeça e solte uma risada porque é do esforço que vêm as grandes recompensas."
56,Este é o momento perfeito para tomar grandes decisões na sua vida. Boa tarde!
57,"Grandes líderes mudam de estilo para levantar a auto-estima de suas equipes. Se as pessoas acreditam nelas mesmas, é impressionante o que elas conseguer realizar."
58,Os obstáculos te parecerão grandes ou pequenos dependendo se você é grande ou pequeno.
59,Nada é pequeno no Amor. Aqueles que esperam por grandes ocasiões para demonstrar a sua ternura não sabem amar.
60,Os nossos pequenos sorrisos do dia a dia são grandes conquistas que guardaremos para toda vida.
61,Beber a grandes tragos extingue a sede; beber em pequenos goles prolonga o prazer da bebida. Assim é também com relação ao prazer do amor. E com tudo o mais na vida.
62,"Grandes oportunidades para ajudar aos outros raramente aparecem, mas pequenas delas nos cercam todos os dias."
63,Grandes obras são feitas por pessoas que não têm medo de serem grandes.
64,"Foco, força e fé geram verdadeira motivação para que nada nos faça desistir dos nossos maiores sonhos."
65,"Quanto maiores somos em humildade, tanto mais próximos estamos da grandeza."
66,"Meu Deus, obrigada por os Teus planos para a minha vida serem sempre maiores do que os meus sonhos!"
67,"A grande escola é o amor: as exigências do amor levam a grandes heroísmos. Quando o amor é verdadeiro, o sacrifício não dói; o amor faz estimar como bem próprio o que é um dever."
68,"Mesmo atravessando as maiores tribulações mantenho a esperança no coração, pois sei que Deus cuida de mim. Obrigada, Senhor!"
69,"Eu tenho esperança, aliás, só assim a vida vale a pena, só assim grandes coisas acontecem!"
70,Não preciso estar ao lado da minha família para saber que nossa união é indestrutível! Somos maiores que tudo!
71,"Queremos glorificar a guerra - única higiene do mundo -, o militarismo, o patriotismo, o gesto destruidor dos libertários, as belas ideias pelas quais se morre, e o desprezo da mulher."
72,Os maiores obstáculos da sua vida darão mais sabor às suas vitórias. Boa tarde!
73,As amizades reatadas requerem maiores cuidados que aquelas que nunca foram rompidas.
74,"Maquiavel, fingindo dar lições aos Príncipes, deu grandes lições ao povo."
75,As maiores desgraças são aquelas que a si próprias não podem perdoar.
76,As derrotas da vida conduzem às maiores vitórias.
77,Um feliz dia dos professores para todos os grandes mestres que com o dom de ensinar revelam toda sua arte.
78,Só aos grandes homens cabe terem grandes defeitos.
79,Saudades de viver grandes aventuras como essa com a minha melhor amiga! ❤
80,Os maiores detratores dos governos são aqueles que pretendem governar.
81,As diferenças perceptivas entre um gênio e um humano comum são tão grandes que normalmente muitos deles só conseguiram seu reconhecimento depois de sua morte.
82,Um grande dia começa com grandes projetos e termina com excelentes realizações.
83,Após os maiores sacrifícios surgem sempre as grandes vitórias.
84,"Todos os grandes amantes sabem se expressar verbalmente, e a sedução verbal constitui o caminho mais certeiro à sedução de fato."
85,Só me transformei na pessoa que sou hoje porque nosso amor foi capaz de me dar forças para superar minhas maiores dificuldades.
86,Dependendo do seu caráter a vida lhe dará maiores ou menores chances de vencer.
87,Dos maiores ensinamentos da vida é saber que quem desespera raramente consegue o número esperado.
88,"Por maiores que sejam as conquistas, mais mesquinhos serão os invejosos."
89,"Filmes têm diferentes receitas para grandes sopas, servidas para 300, 400 pessoas por vez. Um livro é um jantar solitário."
90,Um primo como você é uma das maiores bênçãos de Deus. Obrigado por tudo e tenha um aniversário muito feliz!
91,"Tenho muita gratidão no coração, pois nunca chegaria aqui sem o apoio da minha família e os ensinamentos dos grandes mestres que tive ao longo de minha carreira."
92,"A ausência diminui as paixões medíocres e aumenta as grandes, assim como o vento apaga as velas, mas atiça as fogueiras."
93,"A educação exige os maiores cuidados, porque influi sobre toda a vida."
94,Temo que possamos ser grandes amigos. Você será sempre minha crush!
95,Um dos maiores desafios da vida está em encontrar o equilíbrio entre a pessoa que devemos ser e a pessoa que queremos ser.
96,Nada nos torna tão grandes como uma grande dor.
97,"A partir do momento que você pretende ter um problema superado, a força e a coragem devem ser seus maiores aliados."
98,"Emoções de Natal, sensações de luz e milagres incríveis só acontecem ao lado dos meus grandes amigos. Feliz Natal!"
99,"Além de grandes amigos, vocês são a companhia perfeita para terminar este ano em grande estilo! Hoje vamos arrasar, pessoal!"
100,Você poderá contar sempre com Deus para vencer os maiores obstáculos da vida. Tenha um bom dia recheado de muitas bênçãos!
101,A temperança é um dos maiores prazeres.
