,0
0,A mente é como um paraquedas: só funciona se estiver aberta.
1,Ignorar é a forma mais elegante de se defender da maldade.
2,"Se você não tentar, nunca vai saber se vai dar certo ou não."
3,Uma pessoa imatura pensa que todas as suas escolhas geram ganhos. Uma pessoa madura sabe que todas as escolhas têm perdas.
4,Todos os dias você precisa acordar acreditando naquilo que Deus pensa a teu respeito e não naquilo que as circunstâncias querem gerar em você.
5,"Nos dias de hoje, cada vez mais, acentua-se a necessidade de ser forte. Mas não há uma fórmula mágica que nos faça chegar à força sem que antes tenhamos provado a fraqueza."
6,Seja dono do seu silêncio para não ser escravo das suas palavras.
7,"Primeiro a chuva, depois o arco-íris. Se acostume, a ordem é sempre essa."
8,"Segure em quem te põe de pé, não em quem te puxa para baixo."
9,"A felicidade é feita de metas realistas, dentro daquilo que a gente pode construir e vivenciar de verdade."
10,A imaginação é mais importante que o conhecimento.
11,"As coisas que são difíceis de serem ditas, geralmente são as mais importantes."
12,"Se você cansar, aprenda a descansar e não a desistir."
13,O poder só sobe à cabeça quando encontra o local vazio.
14,"Que não seja imortal, posto que é chama, mas que seja infinito enquanto dure."
15,"Quando algo de bom acontece na sua vida, você começa a ligar os pontos. O que ficou para trás, tinha que ter ficado."
16,Não adianta encher de perfume se o que falta é a essência.
17,Falta de tempo é desculpa daqueles que perdem tempo por falta de métodos.
18,O hábito de tolerar tudo pode ser a causa de muitos erros e de muitos perigos.
19,Solidão é um sinal que você precisa desesperadamente de si mesmo.
20,Reaja com inteligência mesmo quando for tratado com ignorância.
21,O maior erro é não arriscar por medo de errar.
22,Decidir o que não fazer é tão importante quanto decidir o que fazer.
23,"Tudo é uma questão de ponto de vista: pra formiga, gota de chuva é tsunami."
24,"Nós nos perdemos no que lemos, apenas para retornar a nós mesmos transformados e parte de um mundo mais expansivo."
25,O primeiro passo para chegar a algum lugar é decidir que você não quer mais ficar onde está.
26,Maturidade é viver em paz com aquilo que não se pode mudar.
27,"O pessimista se queixa do vento, o otimista espera que ele mude, o realista ajusta as velas."
28,Não somos ricos pelo que temos e sim pelo que não precisamos ter.
29,"A sabedoria de um homem não está em não errar, chorar, se angustiar e se fragilizar, mas em usar seu sofrimento como alicerce de sua maturidade."
30,Nem teus piores inimigos podem fazer tanto dano como teus próprios pensamentos.
31,"A sua estrada é somente sua. Outros podem acompanhá-lo, mas ninguém pode andar por você."
32,"Não procure ser o melhor, mas sim o mais simples. Porque até a maior árvore da floresta começa do chão."
33,Não haverá borboletas se a vida não passar por longas e silenciosas metamorfoses.
34,Nunca alguém tão grande se fez tão pequeno para tornar grandes os pequenos.
35,O primeiro dever da inteligência é desconfiar dela mesma.
36,A vida muda na proporção da sua coragem.
37,"Não faça da sua vida um rascunho, poderá não ter tempo de passá-la a limpo."
38,"Quando esticamos um pouco mais o sorriso, os problemas encolhem."
39,É melhor ser rejeitado por ser sincero do que ser aceito sendo hipócrita.
40,"Em qualquer direção que você vá, vá com todo seu coração."
41,"Saber esperar também é importante, por isso semeie aos poucos o sucesso de amanhã."
42,"Tem dia que põe virgula, tem dia que põe reticências, tem dia que põe ponto final e tem dia que tem a necessidade de virar a página."
43,O mundo retribui a energia que escolhemos emanar.
44,"Seja qual for a liberdade pela qual lutamos, deve ser uma liberdade baseada na igualdade."
45,"Inteligente não é quem sabe para onde ir, mas quem aprendeu para onde não deve voltar."
46,Não corrigir nossas falhas é o mesmo que cometer novos erros.
47,"Escreva algo que valha a pena ser lido, ou faça algo que valha a pena ser escrito."
48,"Toda mente é um cofre. Não existem mentes impenetráveis, apenas chaves erradas."
49,Negociar seus princípios é um péssimo negócio.
50,Cada dia é uma nova chance para ser melhor. Não melhor que os outros. Melhor que nós mesmos.
51,"Por vezes, a palavra representa um modo mais hábil de se calar do que o silêncio."
52,"Você não tem como prever os obstáculos, mas a forma de encará-los é responsabilidade sua."
53,Mudar o mundo é mudar um mundo de cada vez.
54,A paciência é a chave para todos os problemas que não dependem de você.
55,"Para melhorar a qualidade de vida, melhore a qualidade de seus pensamentos."
56,"Não fique aí remando contra a maré. Se não for pra ser, não vai ser."
57,Nunca desista de um sonho só por causa do tempo que você vai levar para realizá-lo. O tempo vai passar de qualquer forma.
