,0
0,"Ontem você trocou minhas fraldas, e hoje eu o saúdo no seu dia. A cada dia o admiro mais, meu pai. Feliz Dia dos Pais!"
1,"Imagine o filho que você quer ter, para imaginar o pai que você deve ser."
2,"Pai, eu sei que sempre posso contar com você. Com seu amor, sua sabedoria. E o Dia dos Pais é o momento perfeito para dizer muito obrigado por tudo o que você fez. Eu te amo. Feliz Dia dos Pais!"
3,É na educação dos filhos que se revelam as virtudes dos pais.
4,"Não é carne nem o sangue, é o coração que nos faz pais e filhos."
5,Nada melhor pode dar um pai a seu filho do que uma boa educação.
6,Mundo das Mensagens
7,"Você é aquele que me protege, ama, cuida e ensina com amor e paciência. Feliz Dia dos Pais!"
8,"Meu pai, você foi carinhoso, às vezes severo quando foi preciso, mas o tempo todo foi presente e protetor, e eu o amo além da vida!"
9,É um orgulho ter você como pai e uma felicidade pensar que um dia meus filhos terão você como avô. Feliz dia dos Pais!
10,50 frases de aniversário para pai que vão deixar o dia dele mais feliz
11,Dia dos namorados: as melhores dicas para alimentar a chama do amor
12,"9 maneiras diferentes de dizer “bom dia, amor”"
13,"Juntos carregamos no coração o maior amor do mundo. Te adoro meu herói, meu ídolo, meu pai!"
14,"Você é o melhor homem do mundo e não importa para onde a vida me levar, seus ensinamentos e amor irão sempre comigo, pai!"
15,Dia das Mães: ideias originais de presentes para o Dia das Mães
16,"Ser pai é amar e cuidar do jeito que você faz todos os dias. Te amo, papai!"
17,25 frases e mensagens para usar no cartão de Dia dos Pais
18,"Todos os dias são seus, mas este é ainda mais. Porque você é o melhor pai do mundo eu lhe desejo um feliz Dia dos Pais!"
19,Aniversário do irmão: ideias para tornar mais especial o dia do seu irmão
20,"Com a certeza que ao seu lado encontro paz, amor e segurança eu lhe desejo um dia e uma vida maravilhosas. Feliz Dia do Pai!"
21,20 cartas para o Dia dos Pais para você expressar todo o seu amor
22,"Para ser um bom pai é preciso ter sempre em mente que todas as suas ações terão influências sobre o seu filho, e é você quem decide se os resultados serão positivos ou negativos."
23,"Pai, às vezes prometemos aquilo que não cumprimos, mas o amor que temos por você será sempre presente e sincero. Feliz Dia dos Pais!"
24,"Ser pai é equilibrar responsabilidade e diversão, é saber a hora de dizer não e a hora de dizer que tudo bem. Ser pai é difícil, mas é bom demais! Feliz dia dos pais a todos!"
25,Primeiro Dia dos Namorados juntos: dicas para celebrar esta data tão especial
