,0
0,"Quem perdoa uma ofensa mostra que tem amor, mas quem fica lembrando o assunto estraga a amizade.Provérbios 17:9"
1,"Querido Deus, graças Te dou por me ouvir, me guardar e por fazer de tudo para me ver sorrir! (Salmo 64)"
2,Deus não é como eu penso. Ele é amor. (1 João 4:8)
3,"O amor é paciente, o amor é bondoso. Não inveja, não se vangloria, não se orgulha. Não maltrata, não procura seus interesses, não se ira facilmente, não guarda rancor. O amor não se alegra com a injustiça, mas se alegra com a verdade. Tudo sofre, tudo crê, tudo espera, tudo suporta. (1 Coríntios 13:4-7)"
4,"Das alturas, o Eterno enxerga as profundezas. Não importa a distância, Ele sabe tudo sobre nós. (Salmo 138:6)"
5,Confiarei na misericórdia de Deus eternamente. (Salmo 52:8)
6,"Porque Deus tanto amou o mundo que deu o seu Filho Único, para que todo o que nele crer não pereça, mas tenha a vida eterna. (João 3:16)"
7,"Enquanto há vida, há esperança. (Eclesiastes 9:4)"
8,Nunca esqueça as maravilhas que Deus faz. (Salmo 78:4)
9,"Obrigado Senhor, pelo Seu maravilhoso amor. (Salmo 107:15)"
10,"O Senhor te abençoe e te guarde. O Senhor faça resplandecer o seu rosto sobre ti, e tenha misericórdia de ti. O Senhor sobre ti levante o seu rosto e te dê a paz. (Números 6:24-26)"
11,"Ensina-me, Senhor, o Teu caminho, e andarei na Tua verdade; une o meu coração ao temor do Teu nome. (Salmo 86:11)"
12,"Toda casa é construída por alguém, mas Deus é o edificador de tudo. (Hebreus 3:4)"
13,Que Deus te salve com a Sua graça e te abençoe! Que a luz de Seu rosto brilhe sobre ti. (Salmo 67:1)
14,Deus sabe o que é bom para você. (Eclesiastes 6:12)
15,Busque ao Senhor enquanto ainda há tempo. (Salmo 53:2)
16,"Ainda que a minha mente e o meu corpo enfraqueçam, Deus é a minha força, Ele é tudo o que eu preciso. (Salmo 73:26)"
17,Deus reina em minha vida. (Salmo 99:1)
18,"Mil poderão cair ao seu lado, dez mil à sua direita, mas nada o atingirá. (Salmos 91:7)"
19,"Completem a minha alegria, tendo o mesmo modo de pensar, o mesmo amor, um só espírito e uma só atitude. (Filipenses 2:2)"
20,"Fé não faz as coisas serem fáceis mas as tornam totalmente possíveis, creia. (Romanos 5:8)"
21,"O meu socorro vem do Senhor, que fez os céus e a terra. (Salmo 121:2)"
22,O amor de Deus é melhor que a vida. (Salmo 63:3)
23,E acontecerá que todo aquele que invocar o nome do Senhor será salvo. (Atos 2:21)
24,"Pois onde estiver o amor, ali estará também o nosso coração.(Lucas 12:34)"
25,A sabedoria deve ser prioridade em sua vida. (Provérbios 2)
26,"Eu sou o caminho, e a verdade e a vida: ninguém vem ao Pai, senão por mim. (João 14:6)"
27,"Senhor a Ti clamo, escuta-me; inclina os Teus ouvidos à minha voz, quando a Ti clamar. (Salmo 141:1)"
28,"O meu amado é meu, e eu sou dele! (Cânticos 2:16)"
29,"Não se emolde ao padrão deste mundo, mas transforme-se! (Romanos 12:1)"
30,Ele sabe os segredos do seu coração.(Salmos 44:21)
31,"Querido Deus, Tu és minha proteção, a minha fortaleza. Tu és o meu Deus, eu confio em Ti. (Salmo 91:2)"
32,"E apesar de tudo, o Senhor estava sempre ao meu lado, segurando bem firme a minha mão. (Salmos 73:23)"
33,Que Deus te abençoe ricamente. (Salmo 128)
34,O amor de Deus dura para sempre. (Salmo 118:1)
35,Eis que envio um anjo à frente de vocês para protegê-los por todo o caminho e fazê-los chegar ao lugar que preparei. (Êxodo 23:20)
36,Venham e vejam o que Deus tem feito; como são impressionantes as suas obras em favor dos homens! (Salmos 66:5)
37,"O próprio Senhor irá à sua frente e estará com você; ele nunca o deixará, nunca o abandonará. Não tenha medo! Não se desanime! (Deuteronômio 31:8)"
38,"Ainda que eu falasse as línguas dos homens e dos anjos, e não tivesse amor, seria como o metal que soa ou como o sino que tine. (1 Coríntios 13:1)"
39,Deus é a minha salvação. Terei confiança e não temerei.(Isaías 12:2)
40,"Honra teu pai e tua mãe, a fim de que tenhas vida longa na terra que o Senhor teu Deus te dá. (Êxodo 20:12)"
