,0
0,"
Meu padrasto, amigo e pai de coração
Meu padrasto; meu amigo, meu pai de coração, desejo que sua vida seja sempre bela e repleta de emoção! Gosto de você sem definições, sinônimos ou explicações. O que nos liga é honesto, forte, puro e isso será sempre o mais importante.

A capacidade que você tem de lidar com a vida e com todas as coisas que ela oferece é inspiradora, sabe? Sinto que me fortaleço a cada palavra sua; a cada gesto. É um privilégio compartilhar minha vida com uma pessoa assim tão especial.

Torço para que seu melhor sorriso esteja sempre presente no seu rosto. Nunca desista de lutar por todos seus sonhos. E lembre-se que estarei sempre ao seu lado para tudo. E mesmo assim jamais reconhecerei devidamente tudo que você sempre me proporcionou.

"
1,"
Meu padrasto mora no meu coração
Meu querido padrasto, podemos não dividir o mesmo sangue, mas ainda assim sinto que herdei de você as minhas maiores qualidades e valores.

Você é como um pai para mim e, por sempre estar ao meu lado quando preciso de um ombro, um conselho, ou uma palavra de incentivo, valorizo muito seu papel na minha vida.

É pelo homem que você é, seu caráter e amor que tem pela nossa família que tenho um lugar especial guardado para você no meu coração.

Agradeço a Deus por você ser meu padrasto! Amo muito você!

"
2,Declaração de amor: dicas de como se declarar à pessoa que você gosta
3,As 49 melhores frases para irmãs cheias de amor para você demonstrar todo seu carinho fraternal
4,35 frases apaixonantes de amor verdadeiro
5,"

Meu padrasto, meu pai

 

                    Em você eu encontrei uma figura paterna como não pensei ser possível. Em seu coração o meu encontrou o amor e o carinho sinceros de um verdadeiro pai. 

Feliz dia dos pais, querido padrasto! Hoje seria impossível imaginar minha vida sem você. Pois você é o pai que a vida me deu de presente mais tarde. 

Mas seu amor e dedicação compensam por todo o tempo que estivemos separados. Eu te amo, meu padrasto, meu pai!                

"
6,"
Meu padrasto conquistou meu coração
Meu padrasto, você entrou na minha vida aos poucos, mas de forma significativa. Trouxe carinho, segurança e uma felicidade que há muito não via no rosto da minha mãe.

Sem demora, mostrou seu caráter e suas intenções, conquistando assim também um lugar no coração da minha família toda e, em especial, do meu. 

Você é uma figura paterna, um amigo e um exemplo de homem e pessoa. Amo muito você, meu padrasto e segundo pai!

"
7,20 cartas para o Dia dos Pais para você expressar todo o seu amor
8,30 frases sobre o futuro que farão você refletir sobre a vida
9,35 declarações de amor apaixonantes para você se inspirar
10,Parabéns para mim: dicas para celebrar o meu aniversário
11,50 frases de aniversário para pai que vão deixar o dia dele mais feliz
12,Mundo das Mensagens
13,"
Meu padrasto, meu pai, eu te adoro
Minha família é muito especial e você fará sempre parte dela. Não importa se o sangue é diferente; o que interessa é que o amor é gigante. Gosto muito de você e sempre gostarei. Mais do que um padrasto, você é um pai para mim!

Você tem sempre uma palavra sábia para oferecer; segurança e proteção para confortar e ensinamentos para me educar. Tenho muita admiração por você e também sorte por compartilhar minha vida com um ser humano tão rico e especial.

Meu pai de coração é você e sempre será. Tenho muito orgulho em todas as suas atitudes e só desejo que a vida seja sempre sua amiga. É bom receber seu amor, porque sei que é intenso e verdadeiro. Meu padrasto, meu amigo, meu pai, você é muito especial.

"
14,"
O meu padrasto é o pai perfeito
Eu gosto de você como se fosse meu pai. Nunca irei lhe chamar padrasto, nunca irei lhe tratar como se fosse só um padrasto. Você é um amigo, um companheiro de vida que tive a sorte de um dia conhecer.

Nosso relacionamento é poderoso demais. Eu sei que você quer meu bem, que deseja o melhor para mim e que sempre fez qualquer coisa para garantir minha felicidade. 

Essa certeza é tudo que preciso para o considerar parte de mim. Desejo que nunca nos separemos, que eternamente contemos com a presença um do outro para todas as coisas que possam surgir na vida.

Continue correndo atrás dos seus sonhos, nunca desista do que lhe dá felicidade, paz e bem-estar. Você é uma pessoa muito especial para mim e eu preciso que esteja de bem com a vida para que a minha esteja igualmente feliz. 

Gosto muito de você, meu amigo de uma vida.
Um abraço e uma promessa de amor eterno.

"
