,0
0,Encare a semana com a leveza dos que abraçam os próprios sonhos.
1,"Os dias podem ser chuvosos, mas dentro de nós o sol nunca deve parar de brilhar. Boa Semana!"
2,"Que a semana venha carregada de notícias boas, alegrias inteiras, gente de bem, sorrisos verdadeiros e bençãos sem fim."
3,"Para cada receio, fé renovada. Para cada tropeço, a certeza de um recomeço. Para cada dúvida, sabedoria para escolher o melhor caminho. Para cada dificuldade, sopro de esperança. Boa semana!"
4,"Para começar a semana... Esperança nos olhos, fé no coração, gentileza no trato, afeto na alma, delicadeza nos lábios, firmeza nos passos, aconchego no abraço, coragem de ser por inteiro e uma medida generosa de café e bom humor!"
5,Prepara a alma que a semana está cheia de energia boa.
6,"Nova semana, novas oportunidades, novas conquistas, novos motivos para sorrir!"
7,Minha semana só vai ter tempo para o que me traz felicidade!
8,Que nesta semana a alegria te visite e te traga muitos sorrisos.
9,"Que você tenha sorrisos sinceros, abraços apertados, carinho em excesso e uma semana maravilhosa."
10,Torço para que nessa semana novas oportunidades apareçam para você. Boa semana!
11,Que esta semana seja tudo de bom!
12,Que a segunda comece confiante e leve amor e fé para o resto da sua semana.
13,Que a paz viva na sua semana.
14,Te desejo uma semana florida e cheia de bençãos!
15,"Que a gente sempre carregue fé, amor e pensamento positivo em nossos dias. Boa semana!"
16,"Outra semana vai começar, faça com que ela seja especial, aproveite as horas e crie novas histórias."
17,Uma nova semana se inicia e novas possibilidades estão ao seu alcance. Aproveite-as e boa semana!
18,"Planeje sua semana, organize seus objetivos e alcance seus sonhos."
19,"Que a semana seja especial, carregada de boas energias e repleta de boas escolhas!"
20,"Vai começar tudo de novo... Então, boa semana para você!"
21,Que sua semana comece bem e termine melhor ainda!
22,"Que a nossa semana seja leve e serena, cheia de bons sentimentos e pensamentos."
23,Esta é uma ótima semana para fazer tudo dar certo!
24,"Que a nossa semana tenha: sentimentos coloridos, vontades inteiras, gentilezas sem fim e aquele friozinho na barriga de uma vida vivida intensamente!"
25,"Vim te desejar uma semana produtiva, repleta de sorrisos e paz no coração."
26,Viva com simplicidade. Ame generosamente. Cuide-se intensamente. Fale com gentileza. Tenha uma semana abençoada.
27,"Que a sua semana seja leve, produtiva, alegre e muito abençoada."
28,Mais uma semana começou e você ganhou uma nova oportunidade para recomeçar. Boa semana!
29,Que a segunda seja breve. Que a terça seja leve. Que a quarta seja alegre. Que a quinta seja doce. Que a sexta não demore. Que a sua semana seja incrível!
30,"Nesta semana tudo dará certo. E se não der, tente de novo. Boa semana!"
31,"A semana passa tão depressa, aproveite cada minuto para fazer a diferença."
32,Que a sua semana seja cheia de amor!
33,Que essa semana te reserve lindas surpresas e muita disposição para vencer.
34,Que Deus abençoe a sua semana!
35,E vai começar tudo de novo. Que comecemos com um sorriso no rosto e outro no coração. Boa semana!
36,"Que essa semana comece com sentimentos leves, um coração cheio de paz e muitos motivos para ser feliz."
37,Boa semana para quem leva a vida com leveza.
38,Boa Semana! Que seus dias sejam alegres e cheios de aventuras.
39,"Um tanto de amor e uma xícara de café para adoçar essa semana, por favor."
40,"Nova semana, nova meta, velha missão: ser feliz."
41,"O fim de semana foi perfeito, que a semana prolongue a paz que conquistamos e abrace a nossa vida com muito amor. Boa semana!"
42,"E vai começar tudo outra vez, mas que dessa vez seja melhor, sempre. Boa semana!"
43,Uma boa semana para você! Aproveite ao máximo cada segundo e faça sempre o seu melhor.
44,Encare a semana com o sorriso de quem é grato por poder vivê-la.
45,Faça sua semana valer a pena!
46,Uma excelente semana para todos.
47,Força na peruca que vai começar tudo de novo. Boa semana!
48,"Nova semana, novos motivos para sorrir!"
49,Uma semana florida e cheia de bençãos para você!
50,A previsão indica que você terá uma chuva de boas notícias essa semana!
51,"A gente só tem uma segunda-feira na semana. Então, faça dela um bom lugar, atraia o bem e seja bom com as pessoas."
