,0
0,"Quando penso em alguém, só penso em você."
1,"De todo o amor que eu tenho, metade foi tu que me deu."
2,"O que faz a gente se apaixonar uns pelos outros não é o que o outro nos fala, é o jeito como o outro nos olha."
3,"Eu quero estar nos seus braços, segurar sua mão, sentir sua respiração, ouvir o seu coração... Eu quero estar com você."
4,Sorrisos tímidos me encantam.
5,"Se eu pudesse ter apenas um desejo, eu desejaria ter você ao meu lado."
6,O imprevisto acontece e alguém te encontra. E te reencontra. Te reinventa. Te reencanta. Te recomeça.
7,Eu te amo no presente do indicativo.
8,Sabe o que eu mais gosto em você? Tudo!
9,"Seus olhos, sua voz, seu sorriso, seu cheiro, suas manias, seus abraços, seu jeito absurdo de me fazer tão sua!

 "
10,"Eu nunca me cansarei de dizer que é você quem eu amo, é você quem eu quero e é ao seu lado que eu quero acordar todos os dias."
11,"Se um dia lembrar que tudo na vida passa, lembre-se que eu passei com uma enorme vontade de ficar."
12,Quem um dia irá dizer que existe razão nas coisas feitas pelo coração?
13,Amor é apenas uma palavra... Até você encontrar alguém que dê um verdadeiro sentido a ela.
14,"Eu sinto que é você todas as vezes em que te olho, todas as vezes em que fica do meu lado e segura na minha mão. Eu sinto que é você quem eu quero ao meu lado pro resto da vida."
15,Bendito seja cada amanhecer em que olho pro lado e vejo você.
16,"Você é como um anjo que não possui asas, mas tem meu coração nas mãos."
17,"Para nós, todo o amor do mundo."
18,O dia inteiro desejando que ele apareça para me dar vida.
19,"Amor, se for por seu carinho, se for por seus beijinhos, diga ao povo que fico e mudo tudo."
20,"Quando se encontra uma pessoa que nos faz gostar ainda mais de ser quem a gente é, tudo fica mais bonito e cheio de vida."
21,Tem muito de você em cada pouco de mim!
22,"Eu sabia que era você... Sabia por causa do beijo, por causa dos olhos, por causa das mãos. Eu sabia por que a gente se encaixa perfeitamente um no outro."
23,"A vida é cheia de escolhas, numa delas escolhi você."
24,É a coisa mais bonita quando duas pessoas resolvem viver uma para a outra.
25,Você foi a melhor coisa que me aconteceu. Te amo!
26,"Se apaixone por alguém que te faça rir dos seus próprios erros, que te aceite do jeito que você é."
27,"Só olhar para ele, sentar ao lado, ouvir a voz, faz tudo ficar mais feliz."
28,Estranho seria se eu não me apaixonasse por você.
29,"Se eu pudesse escolher de novo, eu escolheria novamente você."
30,Eu sempre soube que era você.
31,"Nem com todas as palavras do mundo vou conseguir expressar o que sinto por você, nem todos os segundos de inúmeras horas serão suficiente para estar ao teu lado."
32,"You don't know, I can move heaven and earth, to be forever with you."
33,"Eu amo estar com você, eu amo ficar com você, seu cheirinho me faz viajar, sua voz me faz suspirar."
34,O amor verdadeiro não tem final feliz. O amor verdadeiro não tem final.
35,Lar é qualquer lugar em que eu esteja com você.
36,"Te amo. Com todas as letras, palavras e pronúncias. Em todas as línguas e sotaques. Em todos os sentidos e jeitos. Com todas as circunstâncias e motivos. Simplesmente, te amo."
37,"Quando a gente ama, o defeito vira perfeição."
38,"Você pode não ter sido meu primeiro amor, mas foi o amor que tornou todos os outros amores irrelevantes."
39,Eu era muito feliz e realizada antes de te conhecer. Não imaginei que um amor pudesse me deixar ainda mais completa e cheia de vida. Obrigada por me fazer te amar.
40,"Um abraço apertado, um beijo demorado e um "
41,Dizem que a estação do ano mais bonita é a primavera. Eu prefiro dizer que a estação mais bonita do ano é quando você sorri.
42,"Você tem que ser a estrela derradeira, minha amiga e companheira, no infinito de nós dois."
43,A cor que mais combina comigo é a cor dos seus olhos.
44,Só de ouvir a sua voz eu já me sinto bem!
45,O plano é bem simples: ficar com você a minha vida inteira.
46,Só o teu sorriso consegue organizar a bagunça que vive dentro de mim.
47,"Um dia o nosso amor vai ser tão grande, mas tão grande, que teremos que mudar da Terra pra morar dentro dele."
48,Eu não gosto nunca de nada e gostei tanto de você.
49,Por você eu roubaria os anéis de Saturno.
50,Você é definitivamente a melhor coisa que já me aconteceu!
51,"Eu e você não rima, mas faz sentido."
52,"Quem diria que um olhar iria me transformar na pessoa mais apaixonada do mundo? Olhei, fiquei e apaixonei!"
53,Você nem imagina quantos sorrisos eu já dei só de pensar em você.
54,"Meu ponto fraco tem nome, endereço e um sorriso lindo."
55,"Se existe felicidade perfeita eu não sei, mas perto de você me sinto perfeitamente feliz."
56,Não namore para casar. Case para namorar para sempre.
