,0
0,Sei que a bondade e a fidelidade do Senhor me acompanharão todos os dias da minha vida. (Salmo 23:6)
1,"Se Deus disse que eu posso, então eu posso! Irei e não temerei mal algum. (Filipenses 4:13)"
2,Jesus é o amor da minha vida!
3,"Ei, escolha Deus! Ele nunca deixou de escolher você."
4,"Em cada passo que eu der, cada estrada que eu trilhar, todo caminho que eu escolher, a tua mão me guiará!"
5,"Cuide da oração e Deus cuidará do seu coração.

 "
6,Quem age com bondade faz bem a si mesmo e quem pratica a maldade acaba se prejudicando. (Provérbios 11:17)
7,Ninguém vai me amar do jeito que Jesus me ama.
8,Ore. Espere. Confie.
9,Tudo posso naquele que me fortalece. (Filipenses 4:13)
10,"Senhor, guia-me na tua justiça, por causa dos meus inimigos; endireita diante de mim o teu caminho. (Salmo 5:8)"
11,"Ontem me guiou, hoje me guardou. Amanhã, o meu Deus já preparou."
12,Vem! Vamos andar na luz do Senhor.(Isaías 2:5)
13,"Quem gosta de vencer anda ao lado de Cristo! As vezes é até mais sofrido, mas no final sempre tem vitória."
14,"Talvez Deus não mude tua situação, mas Ele está usando essa situação para mudar você."
15,Jesus é tudo pra mim!
16,Uma coisa eu sei: Deus está comigo. (Salmo 56:9)
17,Deus sabe o que é bom para você. (Eclesiastes 6:12)
18,Deleite-se no Senhor e Ele atenderá aos desejos do seu coração. (Salmos 37:4)
19,Espere no Senhor. Seja forte! Coragem! Espere no Senhor. (Salmo 27:14)
20,"Eu quero dedicar a Jesus cada batida do meu coração, porque foi por mim que o seu coração parou de bater."
21,Bendito o homem que confia no Senhor e cuja esperança é o Senhor. (Jeremias 17:7)
22,"Qualquer obstáculo, com Deus, torna-se um grão de areia."
23,Futuramente você entenderá porque Deus permitiu certas coisas em sua vida. (João 13:7)
24,Prepare-se! O dia do Senhor está perto.
25,"O fácil se faz logo, o difícil demora um pouco, o impossível entrega nas mãos de Deus, porque para Ele tudo é possível."
26,"Querido Deus, ajuda-me a ser sábio e disposto a Te obedecer."
27,O amigo ama em todos os momentos; é um irmão na adversidade. (Provérbios 17:17)
28,"Mas, quando vier o que é perfeito então o que é imperfeito desaparecerá. (Coríntios 13:10)"
29,Jesus é único e incomparável. Não há ninguém igual a Ele.
30,"O choro pode durar uma noite, mas a alegria vem pela manhã. (Salmo 30:5)"
31,O mais importante para Deus é o que está no coração. (Samuel 16:7)
32,"Enquanto há vida, há esperança. (Eclesiastes 9:4)"
33,Todo dia Deus pensa em você. Toda hora Deus cuida de você. A cada minuto Deus se importa com você. Porque a cada segundo Deus te ama.
