,id,frase,emotion
0,173,"
Você foi a pessoa certa na hora certa, padrasto


                                    Você é uma daquelas pessoas certas na hora certa, padrasto. Depois que meu pai partiu, eu e minha mãe andávamos muito tristes. Mas você apareceu para trazer vida à nossa casa novamente.

Seu jeito conquistou a todos e nos fez renascer. Seremos eternamente gratos por todo amor que você trouxe! Hoje você é como um pai para mim e o amor que sinto por você, só cresce a cada dia.

Agradeço por tudo e principalmente por você ser uma pessoa tão incrível!                                


",pai
1,66,"
Trabalhar com você, cliente, é uma alegria diária

 


                                    Obrigado, estimado cliente, pela oportunidade de trabalharmos juntos em um projeto tão incrível. Agradecemos pela confiança de sempre.

Esperamos continuar com esta parceria por muito tempo ainda, porque sentimos que estamos fazendo uma grande diferença. Trabalhar ao seu lado é uma alegria diária.

Obrigado, cliente, e que este excelente trabalho siga firme e forte para que possamos alcançar novos objetivos.                                


",agradecimento
2,84,"As mulheres são sempre poderosas, mas uma mulher decidida e focada em um objetivo é uma força que não há como parar.",marcantes
3,255,"
As razões para te amar são todas iguais


                                    Que eu te amo todo mundo sabe! E é bem claro para quem me vê ao seu lado que meu coração é todo seu e só tenho olhos para você.

Mas se perguntarem quais os motivos que me fazem te amar, acho que não sou capaz de responder. Não porque não tenho nenhum, mas porque não sei se existe tempo suficiente no mundo para dizer todas as razões.

Acho que, na verdade, eu só preciso de um motivo, pois tudo se resume ao amor que você me faz sentir e à razão pela qual meu coração se sente assim: é que só você me faz feliz!                                


",amor
4,7,"Para chegar ao castelo, você precisa nadar pelo fosso.",motivacao
5,261,"
O Vencedor e o Perdedor


                                    Um vencedor é sempre parte da resposta.
Um perdedor é sempre parte do problema. 
Um vencedor possui sempre um programa.  
Um perdedor possui sempre uma desculpa. 
Um vencedor diz ""Deixe-me ajudá-lo"".  
Um perdedor diz ""Não é minha Obrigação"".  
Um vencedor vislumbra uma resposta 
para cada problema.
Um perdedor vê todos os problemas, 
sem resposta. 
Um vencedor diz ""Pode ser difícil, mas 
não é impossível"".
Um perdedor diz ""Pode ser possível, 
mas é difícil"".
Um vencedor entende que sem Deus 
não poderá encontrar-se com o melhor 
para a sua vida.  
Um perdedor crê que pode viver sempre 
baseado em seus recursos próprios e seu 
orgulho pessoal.                                


",otimismo
6,381,O que torna a ingenuidade tão graciosa é que ela não foi feita para durar.,reflexao
7,422,"Não há nada que não se consiga com a força de vontade, a bondade e, principalmente, com o amor.",romanticas
8,173,"Sinto pena de quem me critica, porque a inveja é sempre mais dolorosa para quem a pratica!",marcantes
9,82,"Palavras amáveis não custam nada, porém valem muito.",legais
10,127,"
Agradecimento


                                    Amado e eterno amigo, gostaria de agradecer os momentos de grande ternura, que nos piores momentos, você meu estendeu a mão, me orientou, me ensinou que na vida, há sempre um melhor caminho a seguir, que a melhor vitória de um ser humano, é quando ele consegue perdoar e extrair a felicidade com pequenos e talvez desconhecidos gestos.
Obrigada amigo por estar ao meu lado nesta vida, abrindo caminho para minha elevação espiritual nesta vida, obrigada por nossos melhores momentos, sempre obrigada.                                


",agradecimento
11,169,"
2 Meses de Amor Verdadeiro


                                    Hoje estou especialmente feliz, meu amor! Atingimos mais uma etapa no nosso namoro – já são dois maravilhosos meses do seu lado. Feliz Bodas de Sorvete! 

Eu sei que estamos juntos há pouco tempo, mas parece que já passamos por coisas gigantes e que jamais sairão das nossas memórias. Acho que isso é o amor verdadeiro, o amor sincero e capaz de colocar sorrisos em qualquer rosto. 

Você me faz feliz de um modo que julguei impossível! Só espero que a vida continue sendo generosa com nossa linda união. Te amo, meu bem!                                


",proibido
12,0,"
Todos os conselhos para um pai de primeira viagem
O dia mais especial da sua vida está prestes a chegar. Falta pouco para você pegar seu bebê no colo pela primeira vez. E não se preocupe, poque mesmo sendo pai de primeira viagem eu sei que você está mais do que preparado para este grande desafio. Parabéns!

O meu único conselho é o seguinte: aproveite todos os instantes, mesmo aqueles mais difíceis que nos levam à exaustão; aqueles que o choro e as birras não conhecem fim. Goze todos os momentos porque seu neném crescerá rápido demais e depois só restará nostalgia.

Prepare-se também para noites sem dormir, horários trocados, descansos apertados. Mas pode ter certeza que tudo isso valerá a pena. Não existirá na sua vida algo tão valioso como seu querido e desejado bebê.

E eu sei que essa criança vai ser muito amada, porque seu coração é de ouro, leve, puro. Divirta-se, tire muitas fotos para mais tarde recordar e seja feliz de um outro jeito. Sim, porque com a chegada de um neném a felicidade ganha uma nova forma; uma nova cor.

",pai viagem
13,145,"
Sinto sua falta e sempre irei sentir, prima


                                    Eu sinto sua falta e sentirei sempre que você não estiver ao meu lado, prima! Não é nada fácil lidar com a saudade, com aquele vazio terrível que a distância deixa no coração quando é grande, enorme, gigante. Prima, eu gosto muito de você!

Acho mesmo que é por termos esta ligação tão pura e boa que eu sou assim uma pessoa tão ansiosa com o nosso reencontro. Na verdade, eu também tenho muita preocupação com seu bem-estar! Todos os dias lhe desejo saúde, paz e muito amor e alegria!

Mas confesso que meu maior desejo é que você volte para meus braços. Eu não consigo mentir: você é minha grande amiga e é como uma irmã para mim. 

Tudo que passei ao seu lado, todas as histórias que temos, todas as aventuras que vivemos. Você é tudo para mim. Volte logo, priminha!                                


",saudades
14,33,Chegou a hora de recomeçar e acreditar que pode ser melhor assim!,recomeco
15,49,As suas dores não podem ser maiores do que a sua esperança.,esperanca
16,42,"
Quando eu era Criança


                                    Sou uma daquelas pessoas que olha para trás e sente saudade da sua infância! Recordo com muita nostalgia momentos que passamos quando éramos crianças. 

Você sempre foi uma grande amiga, uma amiga antiga e que sempre preservei! Na verdade, sempre foi um privilégio contar com sua amizade. Poucas coisas aqueceram tanto meu coração! Adoro você, amiga! Beijo.                                


",saudades
17,162,Que haja sempre verdade em tudo que você é. ✨,marcantes
18,373,"
Deus é tudo para mim


                                    Meu Deus, tudo que tenho e tudo que eu sou devo ao Teu poder e amor. Os dias não têm que ser tão difíceis como parecem e nem todas as dificuldades são razões para desistir quando temos a companhia do Pai Celestial em nossa vida.

Agradeço muito por cuidares de mim como ninguém. Meu maior prazer e honra é poder seguir Tuas leis. 


",agradecimento
