,0
0,"O que sabemos é uma gota, o que ignoramos é um oceano."
1,"Quem de manhã compreendeu os ensinamentos da sabedoria, à noite pode morrer contente."
2,Ainda não vi ninguém que ame a virtude tanto quanto ama a beleza do corpo.
3,"Quanto mais suor derramado em treinamento, menos sangue será derramado em batalha."
4,O amor não se define. Sente-se.
5,"Ninguém ignora tudo, ninguém sabe tudo. Por isso, aprendemos sempre."
6,"O que você tem capacidade de fazer, tem capacidade também de não fazer."
7,O caminho para cima e o caminho para baixo são um único caminho.
8,Temos o destino que merecemos. O nosso destino está de acordo com os nossos méritos.
9,"O rio atinge seus objetivos, porque aprendeu a contornar obstáculos."
10,O rei que possuir a justiça não precisa de coragem.
11,Nenhum caminho é longo demais quando um amigo nos acompanha.
12,Os olhos e os ouvidos são maus testemunhos quando a alma não presta.
13,"Sofro por antecipação, morro antes de levar o tiro."
14,O apego é cheio de parcialidade. O amor e a compaixão são imparciais.
15,"Aprendi o silêncio com os faladores, a tolerância com os intolerantes, a bondade com os maldosos. E, por estranho que pareça, sou grato a esses professores."
16,Todo chamado é grandioso quando se tenta atendê-lo com grandiosidade.
17,"Colhemos o que plantamos. Não jogue lixo, jogue sementes!"
18,Paremos de indagar o que o futuro nos reserva e recebamos como um presente o que quer que nos traga o dia de hoje.
19,A única coisa que não muda é que tudo muda.
20,"A mais linda canção talvez não seja a que fale de amor, mas sim a que faz o coração senti-lo."
21,Eduquem as crianças e não será necessário castigar os homens.
22,O homem pode tanto quanto sabe.
23,As grandes ideias surgem da observação dos pequenos detalhes.
24,"Para mim, sábio não é aquele que proclama palavras de sabedoria, mas sim aquele que demonstra sabedoria em seus atos."
25,Tenha a mais legítima das ambições: ambicione ser feliz!
26,Existem verdades que a gente só pode dizer depois de ter conquistado o direito de dizê-las.
27,Nunca é tarde demais para começar tudo de novo.
28,"Nada é mais simples do que a nobreza; na verdade, ser simples é ser nobre."
29,Não espere por uma crise para descobrir o que é importante em sua vida.
30,Volta teu rosto sempre na direção do sol e então as sombras ficarão para trás.
31,Vida é 10% o que acontece a você e 90% como você reage a isso.
