,0
0,Prova de amor é dividir a senha do Netfilx.
1,Ciume é igual bater o dedinho do pé no sofá: coisa boba mas dói demais.
2,"Se minha mãe soubesse a bagunça que está dentro de mim, ela nunca mais reclamaria do meu quarto."
3,"O primeiro sentimento de quem está de dieta é o de revolta. Dá vontade de acabar com tudo, a começar pelo que tem na geladeira."
4,"Sim, só que não."
5,"Simpatia para ganhar dinheiro: acorde cedo, tome banho e vá trabalhar."
6,Diga-me com quem andas e eu direi se vou junto ou não.
7,"Falo nada, só observo."
8,"Quem inventou a seriedade, só podia estar de brincadeira."
9,Paciência é tudo. Tudo o que eu não tenho.
10,"E se a vida se tornar uma barra, que seja de chocolate!"
11,"Se o tempo curasse, as farmácias venderiam relógios."
12,Nada é mais revolucionário do que dinheiro sobrando.
13,Não é preguiça. É redirecionamento estratégico de energia vital.
14,"Se o seu problema é dinheiro, e você não tem dinheiro, então você não tem problema."
15,"Hoje eu acordei tão linda que quando fui bocejar, miei."
16,"De dia o sono vem, à noite o sono vai... Meu relógio biológico deve ser do Paraguai!"
17,Eu te amo mais que wi-fi.
18,"Moça linda, bem tratada, três séculos de família, burra como uma porta: um amor!"
19,A vida é curta. Comece pela sobremesa.
20,Se meu filme chamasse 'curtindo a vida adoidado' o cartaz seria eu dormindo.
21,"Se a vida estiver muito amarga, dá uma rebolada. Às vezes o açúcar tá no fundo."
22,"Vou indo. Quando eu voltar, estarei de volta."
23,"Vontade de ir a Paris igual o ano passado... Ano passado também não fui, mas tive vontade!"
24,Seja a pessoa que seu cachorro acha que você é.
25,Não se fazem mais antigamentes como antes.
26,"Brigadeiro é tão bom que deveria ser um elogio, tipo "
27,"Tô fazendo as contas aqui e esse mês não vai ter jeito, vou ter que ganhar na loteria."
28,"A gente cuida do cabelo com tanto amor e carinho, pra depois ele crescer, ficar rebelde e sair por aí armado."
29,"Fica feriado, vai ter bolo!"
30,Só digo uma coisa: não digo nada. E digo mais: só digo isso.
31,Comida gordurosa é romântica... Vai direto pro coração.
32,Hoje eu vou comer bolo. Com certeza tem muita gente de aniversário pelo mundo e eu preciso comemorar.
33,Levar a vida a sério não tem a menor graça.
34,"Eu era neném, não tinha talco, mamãe passou açúcar em mim..."
35,"Sim. Só que não. Porém. Talvez. Não, pera."
36,"Se um dia os seus motivos pra sorrir acabarem, me avisa que eu te dou os meus."
