,0
0,O otimismo é contagioso e começa com você!
1,"Quem me dera, ao menos uma vez, acreditar por um instante em tudo o que existe. Acreditar que o mundo é perfeito e que todas as pessoas são felizes."
2,Hoje é um bom dia para sorrir!
3,"Esqueça tudo que não deu deu certo ontem, hoje é um novo dia, uma nova chance para acertar e ser feliz."
4,E que nunca nos falte a esperança de dias melhores.
5,Que os dias ruins se tornem raros e os bons virem rotina.
6,Dias de luz sempre retornam para quem iluminado está.
7,"Para cada baixo da vida, existe um alto. Lembre-se disso todas as vezes que tropeçar e cair!"
8,"Se você acredita que é capaz, ignore a opinião dos outros e siga em frente. Nem sempre é bom saber o que outros pensam."
9,"Se for pra ser, será. Se tá demorando, é porque o melhor ainda está por vir."
10,"O segredo é um só: acreditar que tudo vai dar certo, porque vai!"
11,"O otimismo é o imã da felicidade. Se você ficar positivo, coisas boas e boas pessoas serão atraídas para você."
12,"Eu não tenho muitas respostas. O que eu tenho é fé. E uma vontade bonita, toda minha, de crescer.

 "
13,Pare de ter medo do que poderia dar errado e pense no que poderia dar certo.
14,Simplesmente viva a vida!
15,Que venham dias melhores.
16,"Mantenha o foco no objetivo, centralize a força para lutar e utilize a fé para vencer."
17,Não acumule o que escurece a alma e amarela o sorriso. Acumule o que perfuma a vida!
18,Nunca é perda de tempo se você conseguiu aprender algo.
19,Não é porque o céu está nublado que as estrelas morreram.
20,Pensamento positivo só leva a gente pra frente!
21,"Sem sonhos, a vida não tem brilho. Sem metas, os sonhos não têm alicerces. Sem prioridades, os sonhos não se tornam reais. Sonhe, trace metas, estabeleça prioridades e corra riscos para executar seus sonhos. Melhor é errar por tentar do que errar por omitir."
22,Enxergar o lado bom das coisas é uma escolha.
23,Amanhã será um dia melhor!
24,Aprenda a rir dos seus tropeços.
25,Não importa a cor do céu. Quem faz o dia bonito é você.
26,"E que venham novas histórias, novos sorrisos e novas pessoas."
27,"Que todo mal vire amor, que toda dor vire flor."
28,Acredite: tudo tem seu tempo.
29,"Persista! Se tudo fosse fácil, qualquer um conseguiria."
30,"Quando tudo nos parece dar errado, acontecem coisas boas que não teriam acontecido se tudo tivesse dado certo."
31,Imagine uma nova história para sua vida e acredite nela.
32,Seja otimista. Esta é a melhor forma de ver a vida.
33,O corpo alcança o que a mente acredita.
34,O melhor lugar do mundo é aqui e agora.
35,"Eu nasci para ser feliz, não para ser normal."
36,Gosto de quem tem compromisso com a alegria.
37,O melhor está por vir. Acredite!
38,Pra todo game-over existe um play again.
39,"Nem tudo na vida são flores, mas quando for, regue."
