,0
0,"Se perdeu, procure. Se é seu, segure. Se estiver mal, se cure. Se é verdade, jure."
1,"Que eu esbarre com pessoas que me criem admiração pelo mundo interno que as habitam, e, entre beijos de amor ou abraços de amizade, encontre pessoas sinceras, puras, mas, principalmente, vivas e inteiras no momento em que realmente vivem. Como dizem por aí: pessoas de verdade."
2,Hoje vamos brindar tudo o que somos e tudo que podemos ser!
3,"Pra hoje: sorrisos bobos, uma mente tranquila e um coração cheio de paz."
4,"Colecione momentos, não coisas."
5,Não adianta fazer yoga e não cumprimentar o porteiro.
6,Preserve. Pessoas boas estão sendo extintas.
7,"Não consigo alterar a direção do vento, mas posso ajustar as minhas velas para sempre alcançar o meu destino."
8,Valorize-se. É grátis!
9,"Não estatize meus sentimentos. Para o seu governo, o meu estado é independente."
10,"Fotografar é colocar na mesma linha de mira, a cabeça, o olho e o coração."
11,"As lembranças a gente guarda, os sorrisos o vento leva e a tristeza a gente supera."
12,Seja uma boa lembrança!
13,"Sem pressa. Sem vírgula. Sem ponto final. Sem briga. Sem mágoa. Sem dor. Só amor, por favor."
14,"Quem deseja ver o arco-íris, precisa aprender a gostar da chuva."
15,"Quando nada tiver graça, sorria que passa."
16,O sorriso é a melhor resposta para um olhar.
17,"Algumas coisas não precisam fazer sentido, basta valer a pena."
18,"Se é para ter crise, que seja de riso."
19,"Se você obedece todas as regras, acaba perdendo a diversão."
20,"Quando tudo for pedra, atire a primeira flor."
21,Caiu? Levanta. Terminou? Recomeça. E para todas as outras coisas... sorria.
22,"Viajar não é despesa, é investimento."
23,"Não é o tempo nem a oportunidade que determinam a intimidade, é só a disposição. Sete anos seriam insuficientes para algumas pessoas se conhecerem, e sete dias são mais do que suficientes para outros."
24,Levar a vida a sério não tem a menor graça.
25,Eu acredito que o sentido da vida seja fazer sentido a outras vidas.
26,"Ria da vida, antes que ela ria de você."
27,"Se não der certo, a gente tenta de novo, de novo e de novo. E se não der certo a gente fica junto errado mesmo."
28,Que o vento leve todas as coisas negativas.
29,E que nossa vida seja repleta daquilo que nos faz bem.
30,É chique ser do bem.
31,"Às vezes, o melhor que podemos fazer é ofertar um doce para quem ousar amargar o nosso dia."
32,"Quando pessoas erradas saem da sua vida, coisas certas acontecem."
33,Eles já nascem sabendo amar de um jeito que nós levamos a vida inteira para aprender.
34,Não acumule o que escurece a alma e amarela o sorriso. Acumule o que perfuma a vida!
35,"Independente das circunstâncias, não pare de sorrir!"
36,"Se o mundo é mesmo parecido com o que vejo, prefiro acreditar no mundo do meu jeito."
