,0
0,Declaração de amor: dicas de como se declarar à pessoa que você gosta
1,"
Juntos vocês vencerão esse momento difícil
A relação de uma mãe com seu filho é tão forte que não tem explicação. O poder dela não tem limites e o amor que existe é sem comparação. Você tem de acreditar que mesmo que seu filho esteja doente, sua força e perseverança podem ter um efeito positivo nele. Não desista e demonstre a mulher guerreira que é. Juntos vocês conseguirão vencer esse momento difícil.

"
2,36 filmes incríveis para você assistir com sua namorada
3,"
Lute até o momento passar
Momentos difíceis como este que você está a passar, serão sempre motivo de orgulho na hora que a tempestade for embora! Eu sei que não está sendo nada fácil, mas sei também que você é capaz.

Lute cada dia, cada dia um pouco mais.
Força! Coragem!

"
4,"

Este momento difícil irá passar


 

                    Sei que está passando por um momento difícil, desses que abalam toda nossa estrutura e até nossa fé e esperança. 

Eu sei que às vezes parece que esse caminho não vai ter fim quando estamos percorrendo, mas acredite, ele vai acabar. 

Mesmo a mais terrível das tempestades tem um final, e depois dela vem a bonança. Da mesma forma também este momento que você está vivendo irá passar, e algo muito melhor chegará.

Não perca a esperança e a fé, nunca! Elas serão suas aliadas quando o desespero tentar tomar conta da sua alma. 

Pense que tudo acontece por algum motivo, que mesmo as coisas menos boas têm uma razão de ser e encaminharão você para algo melhor. 

Use sua força para seguir em frente neste momento; em breve estará sorrindo com o coração e festejando o extraordinário triunfo da superação!                

"
5,"
Superar um momento difícil
Os momentos difíceis são como as nuvens; por muito que elas escureçam nosso céu, chega sempre o momento de irem embora. Acredite que isso também acontecerá na sua vida, e alguns dos seus problemas também desaparecerão.

Em breve, a luz da felicidade iluminará seu coração e dias melhores surgirão. Você vai conseguir dar a volta por cima, basta nunca desistir de lutar.

"
6,60 frases de formatura para celebrar este momento inesquecível
7,"
Este desânimo também irá passar
Assim como todos os outros sentimentos ruins que já moraram em mim, este desânimo também vai passar.

"
8,30 frases de falecimento que expressam os sentimentos deste momento difícil
9,45 frases de aniversário para irmã: o que dizer para tornar este dia ainda mais especial
10,20 cartas para o Dia dos Pais para você expressar todo o seu amor
11,35 declarações de amor apaixonantes para você se inspirar
12,"
Esse momento vai passar
Acredite que esse momento vai passar e que o melhor da sua vida ainda está para chegar!

"
13,Despedida de um amor impossível: como dizer adeus e seguir em frente
14,Mundo das Mensagens
