,0
0,"Se a sua vida depender do meu amor, você viverá além da vida, pois te amo além do amor!"
1,"Quando duas pessoas realmente se gostam, elas sempre darão um jeito de dar certo. Não importa o quão difícil seja."
2,Espero pelo seu sorriso como a noite espera pelas estrelas.
3,O essencial é invisível aos olhos.
4,"Sozinha, sou prosa. Ao teu lado, poesia."
5,Até o infinito fica pequeno quando se trata do que eu sinto por você. Te amo muito!
6,"Para nós, todo o amor do mundo."
7,"Porque em cada pedaço de mim, sempre haverá um pedaço de você."
8,A vontade de te ver já é maior que tudo!
9,Um dia alguém vai te abraçar tão apertado que todas suas peças quebradas irão se juntar novamente.
10,Te amarei até o meu último átomo.
11,"Eu andei por ai guardando todo esse amor pra te dar. Que bom que ele é seu, que bom que é você."
12,"Eu amo estar com você, eu amo ficar com você, seu cheirinho me faz viajar, sua voz me faz suspirar."
13,O amor verdadeiro não tem final feliz. O amor verdadeiro não tem final.
14,"Se amar é viver, vivo porque amo você."
15,"Assim como viver sem ter amor não é viver, não há você sem mim, eu não existo sem você."
16,"Te amo. Com todas as letras, palavras e pronúncias. Em todas as línguas e sotaques. Em todos os sentidos e jeitos. Com todas as circunstâncias e motivos. Simplesmente, te amo."
17,"A dois, a tempestade é linda!"
18,"Se o sol não voltar amanhã, eu uso o seu sorriso pra iluminar o meu dia."
19,"Que seja eterno como todo grande amor devia ser. E se não for, que seja ao menos terno. E se não for, que seja ao menos amor."
20,"Se eu tivesse que escolher entre te amar ou respirar, eu usaria meu último suspiro pra dizer: eu te amo!"
21,"Se você quiser alguém para ser só seu, é só não esquecer que eu estarei aqui."
22,O plano é bem simples: ficar com você a minha vida inteira.
23,Que o amor seja a melhor forma de começar e terminar o dia.
24,Você é tudo que eu preciso!
25,"Se a vida acabasse hoje ou daqui mil anos, eu escolheria você."
