,0
0,Só se permita morrer depois de viver tudo o que tiver para viver.
1,"Quanto mais difícil fica, mais próximo está o sucesso."
2,"Levanta da cama e vai correr atrás do que você deseja, ninguém é capaz de fazer isso por você!"
3,"O melhor amigo da vida é o tempo, ele diz a verdade."
4,"Somos feitos de carne, mas temos de viver como se fôssemos de ferro."
5,Hoje em dias as pessoas têm muita dificuldade em pedir perdão.
6,O otimismo é a fé em ação. Nada se pode levar a efeito sem otimismo.
7,Muitas vezes o que se cala faz maior impacto do que o que se diz.
8,"Jamais minta para alguém que você ama, essa é a pior forma de traição que você pode cometer."
9,"As oportunidades são como o pôr do sol. Se você esperar demais, vai perdê-las."
10,Cada escolha que você faz tem um resultado final.
11,Não se apegue a algo que possa destruí-lo no decorrer do tempo.
12,A melhor coisa na vida para mim não custa dinheiro. É bastante óbvio que o recurso mais precioso que todos temos é o tempo.
13,Reaja! Cada um terá a vista da montanha que subir.
14,"Se você traçar metas absurdamente altas e falhar, seu fracasso será muito melhor que o sucesso de todos."
15,"Quem quiser vencer na vida deve fazer como os seus sábios: mesmo com a alma partida, ter um sorriso nos lábios."
16,"A vida é cheia de tentativas, então levante e diga: eu vou tentar e eu vou conseguir."
17,Você só terá sucesso na vida quando perdoar os erros e as decepções do passado.
18,"Durante a sua jornada, não esqueça de olhar ao redor e apreciar a vista."
19,Prefiro perder a guerra e ganhar a paz.
20,"Podemos ser primavera a todo instante, mas para isso precisamos ser flores e não espinhos, também entender a linguagem das pétalas, absorver delas o perfume e espalhá-lo..."
21,O homem que jamais errou foi aquele que jamais fez coisa alguma.
22,"Conserve os olhos fixos num ideal sublime, e lute sempre pelo que deseja, pois só os fracos desistem e só quem luta é digno de vida."
23,"Tudo, vezes zero, é igual a zero. Não coloque seu esforço onde não há nada!"
24,"Para o sucesso, atitude é igualmente tão importante quanto capacidade."
25,Você precisa manter o foco em sua jornada para realizar grandes coisas.
26,Só está pronto para alcançar um sonho quem não se importa em falhar pelo caminho.
27,"Educar não é cortar as asas, mas sim orientar o voo!"
28,"Busque pela excelência, não pela perfeição."
29,"Normalmente as oportunidades estão disfarçadas de trabalho duro, é por isso que a maioria das pessoas não as reconhecem."
30,Vencer a si próprio é a maior das vitórias.
31,Eu não falhei. Só descobri 10 mil caminhos que não eram o certo.
32,O grande segredo de uma boa vida é encontrar qual é o seu destino. E realizá-lo.
33,"Para ter sucesso neste mundo não basta ser estúpido, é preciso também ter boas maneiras."
34,"Saiba pedir perdão, mesmo quando você estiver certo."
35,"Tudo que é vivo, morre."
36,Você acaba se tornando mais feliz quando deixa de priorizar algumas pessoas.
37,Qual é a graça de viver em pesadelos e morrer com sonhos.
38,Evitar a felicidade com medo que ela acabe é o melhor meio de ser infeliz.
39,O sucesso é ir de fracasso em fracasso sem perder o entusiasmo.
40,"O que você tem todo mundo pode ter, mas o que você é, ninguém pode ser."
41,"Para aceitar o amor de outras pessoas, é necessário se amar primeiro."
42,"Queria te chamar de anjo, mas nem um anjo se compara a sua beleza."
