,0
0,"A amizade não se compra, se encontra. A felicidade não se encontra, se sente. O amor não se sente, se vive."
1,Minhas amigas são os amores da minha vida e nunca me decepcionam.
2,Amigo é onde a gente coloca um pedacinho da gente para morar para sempre!
3,Os verdadeiros estão com você nas horas mais difíceis.
4,A vida se torna uma jornada melhor quando encontramos pessoas tão loucas quanto nós.
5,"Ame a vida e os bons amigos, pois a vida é curta e os bons amigos são poucos."
6,Um amigo que entende suas lágrimas é muito mais valioso do que aquele que só conhece seus sorrisos.
7,"Não estou feliz, mas também não estou triste, pois eu sei que você vai estar "
8,"Amigos são como o vento: às vezes perto, outras longe, mas eternos em nossos corações."
9,"Pra hoje e sempre te desejo: o bom, o bem e o melhor!"
10,"Deus criou a amizade porque ele sabia que, quando o amor machucasse, ela seria a cura."
11,Pessoas incríveis fazem lugares comuns se tornarem extraordinários.
12,Nenhuma amizade acontece por acaso!
13,"Não tem jeito, eu definitivamente não saberia viver sem os meus amigos."
14,Não preciso de modelos. Não preciso de heróis. Eu tenho meus amigos.
15,"Não são as coisas bonitas que marcam nossas vidas, mas sim as pessoas que têm o dom de jamais serem esquecidas!"
16,Amizade de verdade dura o suficiente para se tornar inesquecível.
17,"Dizem que amizade a gente escolhe, mas não acredito nisso. A vida se encarregou de trazer os meus melhores amigos até mim das formas mais surpreendentes possíveis!"
18,"Sozinho a gente até consegue, mas juntinho a gente vai melhor."
19,Eu só tenho uma regra que sigo sem nem pensar duas vezes: amigo defende amigo.
20,"Felicidade tem nome: Deus, família e amigos."
21,Sua amizade vale ouro!
22,A honestidade é a senha para uma amizade duradoura.
23,Amizade não é sobre quem veio primeiro ou quem veio por último. É sobre quem veio e nunca foi embora.
24,"Bons amigos são como estrelas: nem sempre podemos ver, mas temos certeza que estão sempre lá."
25,Cultive as suas amizades.
26,"Algumas amizades passam rápido, num piscar de olhos, outras são feitas para durar até que você pisque pela última vez."
27,Um amigo é alguém com quem se pode pensar em voz alta.
28,Todas as riquezas do mundo não valem um bom amigo.
29,As crises não afastam os amigos. Apenas selecionam.
30,Amigos transformam momentos ruins em grandes histórias sobre companheirismo e amor.
31,"Certo ou errado, se for meu amigo eu defendo até o final."
32,"Bem me quero, bem me faço. Bem te quero, paz te trago."
33,"Depois de algum tempo você aprende que verdadeiras amizades continuam a crescer mesmo com longas distâncias. E o que importa não é o que você tem na vida, mas quem você tem na vida."
34,Muita gente entra e sai em tua vida ao longo dos anos. Mas só os verdadeiros amigos deixam impressões em seu coração.
35,"Amigo é igual parafuso, a gente só sabe que é bom na hora do aperto!"
36,A amizade é um amor que nunca morre.
37,"Um amigo me chamou pra cuidar da dor dele, guardei a minha no bolso. E fui."
38,"Algumas pessoas fazem a sua risada um pouco mais alta, seu sorriso um pouco mais brilhante e a sua vida um pouco melhor."
39,"Das coisas boas da minha vida, você certamente é a melhor!"
40,As melhores noites da nossa vida a gente passa com os amigos.
41,Pessoas que te tiram um sorriso sincero e espontâneo quando você chega a pensar que tudo está perdido... Essas sim são as verdadeiras.
42,Na dificuldade conhecemos os verdadeiros amigos.
43,"Enquanto alguns escolhem pessoas perfeitas, eu escolho as que me fazem bem."
44,Amigos são presentes que a vida une e o tempo enlaça.
45,Você pode fazer mais amigos em 2 meses se interessando pelos outros do que em 2 anos tentando fazer com que eles se interessem por você.
46,"Quem gosta de você de verdade vai ficar ao seu lado, independente de tudo."
47,"Amizade verdadeira é eterna e incondicional, representa o amor sem igual!"
48,"A amizade é o motivo pra gente sorrir quando tudo tá difícil, duro ou muito chato."
49,A amizade é como um círculo e como um círculo não tem começo nem fim.
50,Amizade é exatamente achar no outro tudo o que não vê na gente.
51,"Quem caminha sozinho pode até chegar mais rápido, mas aquele que vai acompanhado, com certeza vai mais longe."
52,"Ame seus pais, sua vida e seus amigos. Seus pais, porque são únicos. Sua vida, porque é curta demais. Seus amigos, porque são raros."
53,Uma das melhores sensações da vida é ter a certeza que você pode confiar em alguém.
54,"Felizes os cães, que pelo faro descobrem os amigos."
55,"A amizade é semelhante a um bom café; uma vez frio, não se aquece sem perder bastante do primeiro sabor."
56,Tem palavras que chegam como um abraço... E tem abraços que não precisam de palavras...
57,O abraço de um amigo é o lugar onde a gente vai pra dizer tudo que o mundo não consegue compreender.
58,Tempos difíceis sempre irão revelar os verdadeiros amigos.
