,0
0,"Você é original, único, uma fonte de criatividade e intuição; só você vê com seus olhos e sente com seu coração. Escuta-te, segue com fé e não queira o destino do outro: faça o seu!"
1,"Eu não sei como, mas vou chegar lá em breve."
2,Não há dias cinzentos para quem sonha colorido.
3,"Algumas coisas que não podem faltar no nosso dia: fé, respeito, gratidão e oração."
4,"Colecione momentos, não coisas."
5,Aprenda coisas novas! Nem o seu celular vive sem se atualizar.
6,"Fazer o bem, faz bem."
7,As melhores coisas acontecem para quem levanta e faz!
8,"Nunca ande pelo caminho traçado, pois ele conduz somente até onde os outros já foram."
9,"Um brinde ao amanhecer e a todas as outras formas de dar a volta por cima, por baixo, não importa, desde que hoje seja melhor que ontem."
10,Seja um sorriso na vida de alguém.
11,Faça sempre o seu melhor!
12,"Se alguma vez se sentir perdido, deixa o coração ser sua bússola!"
13,"Amo minha raça, luto pela cor. O que quer que eu faça é por nós, por amor."
14,Siga a sua intuição!
15,"Seja quem você é, não quem o mundo deseja que você seja."
16,Coloca o mundo no mudo e escuta o seu coração.
17,Irradie vibrações positivas.
18,Pare de esperar as coisas acontecerem. Vá lá e faça com que aconteçam.
19,"Se alguém te procurar com versos, é porque você tem a música."
20,Seja o vento que espalha a mudança.
21,"Quem deseja ver o arco-íris, precisa aprender a gostar da chuva."
22,Confiar em si. Sorrir para ti. Realizar para todos.
23,"Um dia, tudo fará sentido. Agora, ria das confusões, sorria por trás das lágrimas, e continue lembrando você mesmo que tudo acontece por uma razão."
24,Sempre parece impossível até que seja feito.
25,Não deixe o medo fazer você achar que não vai dar certo.
26,Inspira. Respira. Não pira.
27,"Nunca deixe de lutar por medo de errar ou de se machucar. As feridas com o tempo se curam, mas as oportunidades não voltam."
28,Há quem invente desculpas para desistir. Eu invento desculpas para continuar.
29,O maior elogio que ouvi em toda minha vida de inventor foi: nunca vai funcionar.
30,"Se faz bem pro coração, faça!"
31,Que o vento leve o necessário e me traga o suficiente.
32,Espalhe gentileza por aí!
33,Pequenas coisas tornam-se grandes quando feitas com amor.
34,Transforme seus sonhos em um destino e vá!
35,"Se você é sortudo o bastante para ser diferente, nunca mude."
36,"Ame seus pais, sua vida e seus amigos. Seus pais, porque são únicos. Sua vida, porque é curta demais. Seus amigos, porque são raros."
37,"Seja seu foco. Faça as coisas por você, não pelos outros."
38,"Hoje é o dia certo para amar, acreditar, fazer e principalmente viver."
39,"Abstinência de palavras, overdose de pensamentos."
40,"Você nunca sabe que resultados virão da sua ação. Mas se você não fizer nada, não existirão resultados."
41,Você é mais forte do que imagina. Acredite.
42,As flores de amanhã nascem das sementes de hoje.
43,"Voe como uma borboleta, mas ferroe como uma abelha."
44,"Não fique esperando o futuro para ser feliz, faça do presente a sua alegria."
45,Seja a mudança que você quer ver no mundo.
46,"Quando algo ruim acontece você tem três escolhas: deixar isso definir você, deixar isso destruir você ou fazer isso te deixar mais forte."
47,"Entre o ir e o ficar, que fique o melhor e que se vá o que nada me acrescentará."
48,O sabor da vida depende de quem tempera. Adicione mais amor!
49,Nunca é tarde pra pegar uma velha história e escrever um novo final.
50,"A inspiração existe, porém temos que encontrá-la trabalhando."
51,Que não nos falte doçura nas palavras nem delicadeza nos gestos.
52,Amar o que faz e ser feliz no caminho.
53,Tudo o que você pode imaginar é real.
54,A alegria é contagiante. Passe adiante.
55,A vida é de quem se atreve a viver.
56,E que nossa vida seja repleta daquilo que nos faz bem.
57,"O mundo é grande demais para você pensar pequeno.

 

 "
58,Aproveite as pequenas coisas.
59,O que se leva é o que se guarda no peito!
60,Eu quero paz. Quero tranquilidade. Quero tudo àquilo que me faça bem de verdade.
61,Aqui tudo é feito com muito amor.
62,"Descubra quem você é e seja essa pessoa. A sua alma foi colocada nesse mundo para ser isso, então viva essa verdade e todo o resto virá."
63,Colocar-se no lugar do outro é a verdadeira revolução.
64,É cambaleando que se descobre o equilíbrio.
65,O seu sorriso pode mudar o dia de alguém.
66,Querer ser outra pessoa é um desperdício da pessoa que você é.
67,A vida é como andar de bicicleta. Para ter equilíbrio você tem que se manter em movimento.
68,"Não cruze os braços diante de uma dificuldade, pois o maior homem do mundo morreu de braços abertos."
69,"Quando conseguimos expressar quem a gente é, naquilo que a gente faz, então conseguimos experimentar a realização plena."
70,"Se a caminhada está difícil, é porque você está no caminho certo."
71,"O machado era de Assis. A rosa, do Guimarães. A bandeira, do Manuel. Mas feliz mesmo era o Jorge, que era amado."
