,0
0,"
Adeus, amor não correspondido


                                    Hoje falo para o amor, como se de uma pessoa se tratasse, como se ele tivesse acontecido em sua plenitude. Falo triste mas também o faço com convicção, pois são palavras de adeus o que eu tenho de proferir.

Durante tempos alimentei esta esperança em meu coração. Ter você em meus braços e me poder perder nos seus, era para mim já realidade, uma realidade na qual só eu vivia. Demorou, talvez, mas acabei por entender que este amor que eu sentia não era correspondido e tive que aceitar isso, por muita mágoa que me causasse.

Então adeus, sonhos que não foram concretizados. Até nunca, beijos e abraços que nunca foram dados. Tomara eu ter largado esta paixão infrutífera há mais tempo. Mas infelizmente, primeiro somos sempre arrastados pelo coração e só depois fazemos nossas escolhas. Agora eu sei que o que dói mais não é a despedida, mas saber o que nós dois poderíamos ter sido. 


"
1,"
Hoje estou triste, mas amanhã já não


                                    Hoje estou triste, pois, infelizmente, às vezes é impossível impedir a tristeza de invadir nosso coração. Muitas vezes os sentimentos fogem do nosso controle e ganham vida própria. 

É como quando nos apaixonamos, não conseguimos deter o amor por muito que queiramos. Mas o amor é quase sempre algo bom, positivo, e a tristeza algo negativo. Mas nem sempre. 

Como tudo na vida, também a tristeza tem lado bom e mau, e às vezes estar triste pode até nos ajudar.

Mas, ainda assim, estar triste não é agradável; eu sei, você sabe, mas eu também sei que ela não vai durar para sempre, e talvez amanhã a alegria esteja de volta. 

Pois tenho muita coisa boa que agradecer, e acima de tudo, eu quero muito ser feliz!                                


"
2,"
Você não me ama como eu amo você


                                    É o amor que move o mundo e os seus habitantes. É o amor que inspira as mais belas criações. É o amor a razão dos mais belos sorrisos. Mas para mim, neste momento, é o amor quem faz rolar as lágrimas pelo meu rosto.

Tentei encontrar nos seus olhos a luz que os meus procuram, mas apenas os vi desviarem-se e olharem em direção contrária. Você não me ama como eu amo você... E dói! Dói muito, dói como nunca nada doeu antes! 

Mas sei que vou ser capaz de superar este amor não correspondido, pois o tempo vai me ajudar. E talvez um dia, uns outros olhos olhem os meus procurando o que os meus procuram agora nos seus.                                


"
3,"
Você é meu destino


                                    Eu acredito em nós e sei que vamos ficar juntos, por mais que o mundo tente me dizer o contrário.                                


"
4,"
Quatro meses ao lado da mulher perfeita


                                    Quem diria, quando nos vimos pela primeira vez, que passado este tempo que passou estaríamos juntos celebrando 4 meses de namoro. O tempo voou, foi vivido intensamente, e hoje posso afirmar que sou feliz por ter ao meu lado a mulher perfeita.

Agradeço pelo carinho, pela forma empenhada como cuida de mim. É com você que quero viver eternamente, pois o amor que sinto é impossível de apagar.                                


"
5,Mundo das Mensagens
6,"
Dizer adeus a um amor que acabou


                                    Dizer adeus é difícil, porque dói muito se despedir do nosso amor, da nossa vida juntos, da nossa casa. É sofrido acordar sem você e pensar que meu dia passará sem que eu ouça a sua voz, a sua risada e os seus conselhos. Nunca gostei de despedidas, mas esta é sem dúvidas a mais dolorosa de todas. 

Preciso encontrar forças para me manter firme, seguir adiante e reconstruir uma nova vida. Se essa despedida trouxe tanto sofrimento, espero em breve me despedir também deste sofrimento e abraçar novamente a felicidade e principalmente a paz. 

Como é difícil e agora me parece impossível ser feliz novamente. Mas sei que tudo passa e que essa dor vai passar. Talvez demore um pouco, mas enquanto isso vou jogando sementes pelo caminho e regando o terreno, que ao menos as minhas lágrimas sirvam para regá-las. 

Quem sabe mais cedo do que eu pensava as flores e os frutos brotem? Quem sabe uma boa surpresa não me espera na esquina? Quem sabe eu volte a sorrir? Quem sabe eu me despeça da tristeza e da solidão mais cedo do que imagino. 

Só me basta semear o que há de melhor em mim e na minha vida sem olhar para o passado e para a dor. Deus me abençoe e me dê forças para não me render ao sofrimento!                                


"
7,"
O segredo é ter amor próprio


                                    Amor próprio na quantidade certa é o segredo das pessoas de sucesso. É impossível conquistar o respeito, o carinho e a consideração dos outros se você não desenvolver esses sentimentos por si mesma.

Olhe-se ao espelho e orgulhe-se da sua aparência, reflita na sua personalidade e admire suas qualidades. Não é preciso você ser perfeita, mas sim a melhor pessoa que conseguir. Acredite que isso é tudo que necessita para ser feliz. 


"
8,"
Perdoar é divino


                                    Como é sabido e já foi repetido até à exaustão, ‘errar é humano, mas perdoar é divino’. Errar todos erramos, faz parte da condição humana, e aos que, como você, saem feridos do processo cabe a decisão de perdoar ou não o humano que errou.
Mas perdoar não é fácil, e esquecer é quase impossível! 

Por algo se diz que perdoar é divino, que é necessária grandeza de coração para o fazer, mas a verdade é que se optar por perdoar se sentirá mais feliz, além que mostra caráter.

Tenha em conta que só os fortes perdoam, só um coração bom encontra a magnanimidade para perdoar com sinceridade e seguir em frente.

Seja nobre e perdoe, a felicidade não se encontra na vingança ou no remoer de sentimentos como a raiva. A felicidade está no altruísmo, no amor, no perdão, em todos os bons sentimentos e gestos que puser em marcha, pois eventualmente eles voltarão a você.                                


"
9,50 frases incríveis de amor
10,"
Se eu tivesse dito o quanto amo você


                                    Eu perdi você. Era muito o que eu tinha para dizer, mas pouca a coragem para falar dos meus sentimentos. Na minha perspetiva, eu não passava de uma pessoa comum que você simplesmente conhecia, mas no meu coração o meu desejo era que eu fosse a mulher que faria de você um homem feliz.

Foi em silêncio que eu tentei mostrar tudo o que sentia. O meu olhar brilhava como o sol em um dia de verão, sempre que eu estava do seu lado. A garganta secava, as mãos tremiam de tanto embaraço e as palavras teimavam em não sair. Nunca consegui ser eu mesma quando você estava por perto e por isso talvez nunca desconfiou do quanto eu amava você.

Hoje sinto as lágrimas frias que me escorrem pela face. São dores de amargura por tudo o que ficou por dizer. Você é agora apenas uma miragem, o fim de uma história que nem sequer começou e eu me sinto decepcionada por nem sequer ter tentado. Haverá sempre a dúvida do que poderíamos ter sido, mas também a certeza que sou eu a culpada por este fim. 


"
11,"
Um dia que marcou nossas vidas


                                    Hoje é um dia muito especial. É impossível esquecermos as datas que nos marcaram e a verdade é que há anos atrás estávamos juntos a trocar promessas de amor eterno. O tempo passou mais rápido do que aquilo que esperávamos, mas as palavras carinhosas que trocamos se cumpriram na perfeição, como sempre quisemos.

Obrigado por estes anos de casamento que têm sido maravilhosos. Que continuemos juntos, caminhando lado a lado para um futuro de muita felicidade!                                


"
