,0
0,"
Uma colega querida e amiga


                                    Nunca pensei que pudesse vir a encontrar, em meu local de trabalho, uma pessoa tão especial que se tornaria minha amiga. Você foi desde o início uma boa companheira, sempre preocupada em ajudar no que fosse necessário. Nos momentos mais difíceis você sempre esteve presente e eu jamais poderei esquecer tudo o que você fez por mim.

Muito obrigada querida colega e amiga! 


"
1,"
Obrigada, meus amados pais


                                    Meus pais, vocês me deram a vida, vocês são a minha vida, eu sou parte de vocês, e vocês estão em mim. Não há palavra no mundo capaz de expressar o amor que sinto por vocês. Vocês foram sempre pais impecáveis, companheiros, amorosos e seres humanos inspiradores. O amor de vocês me inspira, a postura de vocês em relação ao mundo me inspira, e até quando acho que vocês não agiram bem não consigo deixar de admirá-los.

Eu sou muito grata a Deus por ter escolhido vocês para me receberem na terra e me ensinarem tudo que eu precisava aprender para seguir o meu caminho e cumprir a minha missão na vida. Eu me sinto extremamente abençoada por ter nascido no leito de uma família tão unida e cordial, pacífica e compreensiva. Se todas as famílias no mundo fossem como a nossa, não haveria razão para duvidar desta instituição maravilhosa que é a família, lugar onde aprendemos a ser nós mesmos e a enfrentar o mundo e a vida.

Eu agradeço profundamente o amor que vocês me ensinaram a sentir e a paixão com que me mostraram a vida. Sou feliz porque aprendi a ser feliz com vocês. Amo muito vocês, meus pais queridos!                                


"
2,"
Agradeço a Deus por tudo que vivi nesse ano


                                    Mais um ano passou
E a vida parece continuar,
Entre o que fui e o que sou
Há muito de bom para recordar.

Ano após ano vou amadurecendo
Em cada batalha, vitória ou decepção
E minha fé acaba se fortalecendo,
Cada dia é uma prova de superação.

Agradeço a Deus de coração
Por tudo que neste ano pude viver,
Por ter sido meu Pai, minha proteção,
A força que às vezes parecia não ter.

Que eu possa desfrutar de muitos anos
Ao lado das minhas pessoas amadas,
Que se concretizem meus sonhos e planos
E a vida vire um conto de fadas.                                


"
3,"
Agradeço pela mãe incrível que você é


                                    Minha mãe é um anjo que Deus enviou para me cuidar. Não tenho palavras para agradecer tudo que você já fez por mim.

Aprendi muito observando seu jeito de ser e admiro muito a mulher forte e incrível que você é. Sei que hoje sou quem sou por sua causa e se estou bem hoje devo isso a você.

Agradeço pelos ensinamentos, pelo carinho, pela paciência e por me aguentar há tantos anos, mãe. Sei que tenho uma sorte enorme por ser filha de uma pessoa tão especial. Amo você, mãe!                                


"
4,"
Jamais teria chegado aqui sem vocês


                                    Este é um momento muito importante para mim. Hoje entrego minha monografia e inicio uma nova etapa de vida.

Nada disso teria sido possível se não fosse por Deus, que iluminou meu caminho ao longo desta jornada.

Quero agradecer, também, esta instituição de ensino que me proporcionou momentos e ensinamentos que levarei comigo para sempre. Aos meus professores e professoras, deixo também meu agradecimento por tudo que aprendi com vocês.

Agradeço à minha família, que sempre me incentivou e garantiu que eu não desistisse nunca. 

Aos meus amigos deixo aqui minha gratidão, pois foram eles que fizeram com que eu seguisse sempre de cabeça erguida.

Agradeço a todos que fizeram parte desta caminhada ao meu lado.

Que venha o futuro!                                


"
5,"
Este trabalho é fruto de muita dedicação


                                    Sinto que sou uma pessoa de sorte que pude contar com o apoio de muitas pessoas para realizar meu maior sonho.

Esta monografia é fruto de muito trabalho e dedicação que não seriam possíveis sem a fé que tenho em Deus. 

Agradeço a esta Universidade, meus professores por me capacitarem para a realização deste trabalho.

Agradeço minha família e amigos que me deram força e coragem.

Obrigado!                                


"
6,"
Um presente no momento certo


                                    Querida amiga,

O seu presente chegou no momento certo! Ele trouxe muita alegria para mim por ser tão lindo mas, acima de tudo, por demonstrar a consideração e o carinho que você tem por mim.

É uma grande felicidade ter uma amiga como você em minha vida. Você é uma pessoa especial com um coração generoso e eu quero que a nossa amizade permaneça eternamente. 


"
7,"
Agradeça pela sua vida


                                    Você não pode ver o futuro. Você não pode ver o que lhe vai acontecer hoje e nem amanhã. Mas você pode olhar para trás, olhar para os anos que passaram, e para tudo que lhe aconteceu, desde as pequenas coisas até os grandes acontecimentos. Pode ser que fique absolutamente perplexo se prestar atenção à quantidade de coisas que você já viveu e aprendeu.

Tudo que aconteceu em sua vida pode ter lhe trazido grandes aprendizados, e pode fazer o seu presente e o seu futuro serem maravilhosos. Se você prestar atenção, vai perceber que tudo que aconteceu teve uma razão de ser, e você vai compreender também que é preciso agradecer até mesmo pelas coisas que você desejava e que não deram certo. 

Agradeça pela sua vida, e aconteça o que acontecer, continue sempre sonhando. Orgulhe-se da sua história, das suas experiências e transforme tudo que viveu em ações positivas para o seu futuro e para o seu presente!                                


"
8,"
Um agradecimento a quem meu ajudou neste percurso


                                    A meta foi alcançada, o sonho foi cumprido, mas até tudo se tornar realidade houve um longo percurso onde várias pessoas se tornaram fundamentais.

A Deus agradeço por ter guiado meus passos na direção certa. Sem Ele não teria forças para concluir este objetivo e foram muitas as vezes em que senti sua mão protetora quando tudo parecia estar desabando.

À instituição onde aprendi tudo que sei e que me permitiu que me desenvolvesse enquanto pessoa. Adquiri ferramentas muito importantes, mas também valores humanos que vou levar para toda vida. Um agradecimento especial às pessoas que representam tão bem essa mesma instituição, especialmente às que me acompanharam de perto: diretor, coordenador e restantes professores.

Por último, mas não menos importante, um agradecimento à minha família que me apoiou incansavelmente e participou ativamente para que eu continuasse determinado em alcançar esta meta. Também meus amigos e colegas que viveram esta experiência comigo ficarão eternamente no meu coração.

Todas as palavras de gratidão parecessem escassas porque não expressam o verdadeiro significado que vocês tiveram para mim neste percurso. Esta vitória é também a vitória de todos vocês.                                


"
9,"
A hora de distribuir agradecimentos


                                    O Senhor Todo Poderoso esteve ao meu lado ao longo de todo este percurso e me deu força e fé para continuar. A Ele eu agradeço.

À instituição que me acolheu e deu todas as chances, eu devo minha profunda gratidão. Foi graças aos recursos e condições maravilhosas que eu me senti em casa, mesmo nas horas de maior dificuldade.

A todos os professores que me orientaram, indicaram o melhor caminho e acreditaram nas minhas capacidades, eu quero deixar meu agradecimento. Vocês foram incríveis para mim!

A minha família, onde incluo também meus amigos, foi o pilar para tudo ter dado certo. Eu sei que nem sempre foi fácil, mas com pessoas como vocês, tudo se torna mais fácil.

Se me esqueci de alguém, eu peço desculpa. A verdade é que me sinto tão feliz que neste momento agradeceria até a quem um dia me provocou e fez mal. Na verdade, até essas pessoas me ajudaram a crescer.  


"
