,0
0,Você me faz sorrir.
1,Levo em mim um pedacinho de cada pessoa que eu conheci.
2,"Nunca implore carinho, atenção ou amor. Se não é dado livremente, não vale a pena ter."
3,Sorte do meu sorriso ter você como motivo.
4,"Eu desejo que seus dias sejam felizes, que suas noites sejam tranquilas e que não lhe falte paz e amor."
5,Nenhum lugar é melhor do que perto.
6,Coma menos açúcar. Você já é suficientemente doce.
7,"Foi no seu abraço que eu me confortei, e é nele que eu quero permanecer, o resto da minha vida."
8,"Teu abraço me causa amnésia!

 "
9,"Pra hoje e sempre te desejo: o bom, o bem e o melhor!"
10,Pessoas incríveis fazem lugares comuns se tornarem extraordinários.
11,"Tem gente que chega e faz seu dia clarear, tem gente que chega e ilumina sua vida inteira."
12,Eu gosto de pessoas que tiram sorrisos de mim quando eu menos espero e mais preciso.
13,"Melhor do que trocar mensagens, é poder trocar abraços."
14,"Não são as coisas bonitas que marcam nossas vidas, mas sim as pessoas que têm o dom de jamais serem esquecidas!"
15,A vida fica muito mais fácil se a gente sabe onde estão os beijos que precisamos.
16,"Tudo de bom nesta vida despenteia: fazer amor, pular, dançar, gargalhar, beijar... Por isso, tomara que você viva sua vida com o cabelo sempre um desastre."
17,"Desejo a você: que todos seus dias sejam felizes, todos os abraços sejam sinceros e todos os amores sejam verdadeiros."
18,Te desejo uma tempestade de coisas boas!
19,O amor te deixa mais bonito do que qualquer filtro do Instagram.
20,"O que te faz diferente de todos, é que você nunca foi igual a nenhum."
21,Sua amizade vale ouro!
22,A tua presença é qualquer coisa como a luz e a vida.
23,O abraço é o cobertor que aquece o coração quando faz frio.
24,A distância nos ensina a valorizar.
25,Algumas pessoas tem o coração tão bom que anima a gente só de saber que elas existem.
26,Meu lugar favorito é dentro do seu abraço.
27,"Eu gosto de gente que abraça. Abraça mesmo, forte, apertado, gostoso, com vontade, quase esmagando."
28,A vida é muito curta pra gente não dizer o que sente de verdade.
29,"Parabéns, querida. Aproveite muito essa nova fase da sua vida cheia de sonhos e muitas realizações!"
30,"Um bom abraço substitui qualquer palavra, pois, em silêncio conseguimos escutar os corações se declarando."
31,"Eu cuido de você, você cuida de mim."
32,"Há pessoas que nos falam e nem as escutamos, há pessoas que nos ferem e nem cicatrizes deixam, mas há pessoas que simplesmente aparecem em nossas vidas e nos marcam para sempre."
33,Aqui tudo é feito com muito amor.
34,"Não sei se o mundo é bom, mas quando você apareceu, o meu mundo ficou muito melhor."
35,Eu quero o sossego que só o aconchego do seu colo tem.
36,Os abraços são anjos costurando nossas almas com fios de nuvem.
37,"Bem me quero, bem me faço. Bem te quero, paz te trago."
38,Existem dias em que qualquer carinho é bem vindo.
39,Não tem nada melhor do que aquelas pessoas que conseguem completar o seu dia com um simples sorriso.
40,O que você tem de diferente é o que você tem de mais bonito.
41,"Carinho é o remédio mais poderoso, ministrado sem dosagem e sem efeito colateral."
42,"Enquanto alguns escolhem pessoas perfeitas, eu escolho as que me fazem bem."
43,"Você é um pedacinho de Deus na minha vida.

 "
44,O melhor presente que você pode dar é um abraço: ele é tamanho único e ninguém vai se importar se você quiser devolvê-lo.
45,"Pode até não parecer, mas eu me preocupo muito com você."
46,O silêncio de um abraço apertado às vezes supera qualquer tentativa de dizer o quanto é grande um sentimento.
47,"Então sigo assim, penso em você, sorrio, e rezo, peço pra Deus cuidar da gente."
48,Carinho é tocar com respeito o mundo do outro.
49,"Tomara que a felicidade te pegue de jeito, e não te solte nunca mais... Vou achar bem feito porque você vai ganhar o que você merece: ser feliz!"
50,Me sinto muito bem quando fico com você.
51,Tem palavras que chegam como um abraço... E tem abraços que não precisam de palavras...
52,Na minha memória - tão congestionada - e no meu coração - tão cheio de marcas e poços - você ocupa um dos lugares mais bonitos.
53,Abraços são lares para corações abandonados.
54,"Gosto de gente que sorri com os olhos, que sorri com a alma, que sorri de dentro pra fora e vice versa. Gente que sorri apesar de tudo, que contagia quem está ao seu redor. Gente que nem parece viver num mundo tão injusto, porque sorri, sorri de verdade."
