,0
0,Sorria! Deus te ama.
1,"Querido Deus, graças Te dou por me ouvir, me guardar e por fazer de tudo para me ver sorrir! (Salmo 64)"
2,Sonho com o dia em que o sol de Deus vai espalhar justiça pelo mundo todo.
3,Muito mais do que você perdeu é o que Deus tem preparado para você.
4,"Descanse o seu coração sobre a fidelidade de Deus, Ele nunca falha."
5,4 Letras e 1 perfeição: Deus.
6,Jesus é o amor da minha vida!
7,"Quando espero Tua voz estrondar, Tu vens com o silêncio."
8,Toda prece floresce!
9,Ninguém vai me amar do jeito que Jesus me ama.
10,"Das alturas, o Eterno enxerga as profundezas. Não importa a distância, Ele sabe tudo sobre nós. (Salmo 138:6)"
11,"Deus não castiga, Deus ensina. Deus não tira, Deus livra. Deus não demora, Deus capricha."
12,"Deus, eu sei que Tu tens planos para a minha vida, não permita que eu me desvie deles."
13,Vem! Vamos andar na luz do Senhor.(Isaías 2:5)
14,"Que a vida me traga coisas boas, mas sobretudo, que Deus me dê uma alma que nunca perde a fé!"
15,"Uma grande história é feita de grandes desafios que são conquistados com grandes esforços, formados de grandes sonhos e vindos de um grande Deus."
16,Ninguém derruba a quem Deus levanta. Ninguém derrota a quem Deus protege. Ninguém amaldiçoa a quem Deus decide abençoar.
17,"Deus transforma choro em sorriso, dor em força, fraqueza em fé e sonho em realidade."
18,"De todas as coisas a serem feitas antes de dormir, a melhor e mais certa é entregar tua vida e teu destino nas mãos de Deus."
19,"Talvez Deus não mude tua situação, mas Ele está usando essa situação para mudar você."
20,"Ensina-me, Senhor, o Teu caminho, e andarei na Tua verdade; une o meu coração ao temor do Teu nome. (Salmo 86:11)"
21,"Não sei o que me espera amanhã, mas estou em paz, pois sei que Deus tem o melhor para mim."
22,"Quando Deus abre uma porta, ninguém pode fechar."
23,Jesus é tudo pra mim!
24,"Senhor, dê-me serenidade para aceitar as coisas que não posso modificar, coragem para modificar as que posso, e sabedoria para reconhecer a diferença entre elas."
25,Que nos falte tudo menos a presença de Deus.
26,"Senhor, me faça forte pra poder continuar, não me deixe fraquejar. Me guie onde eu for, me livre do perigo, do meu caminho afaste o inimigo."
27,"Deus faz tudo novo, de uma forma tão maravilhosa que você nem se lembra como era antes. (Isaías 65:17)"
28,"O único rei pra mim, usou coroa de espinhos: Jesus."
29,Eu sei que Deus está cuidando de cada detalhe!
30,É lindo saber que tem um Deus que cuida da gente.
31,"Querido Deus, em tuas mãos, coloco minhas preocupações, cuidados e problemas. Em tua sabedoria, coloco meu caminho, minhas direções e meus objetivos. Em teu amor, coloco minha vida!"
32,"Ele nunca vai te apontar o dedo e acusar, Ele vai te abraçar e perdoar."
33,Deus te abençoe!
34,"Eu quero dedicar a Jesus cada batida do meu coração, porque foi por mim que o seu coração parou de bater."
35,Prepare-se! O dia do Senhor está perto.
36,"Deus não faz nada antes, nem depois, Ele age na hora certa!"
37,"Querido Deus, me ajude a entender que é sua vontade, não a minha, que deve prevalecer. Que é no seu tempo, não no meu."
38,"Eu sou o caminho, e a verdade e a vida: ninguém vem ao Pai, senão por mim. (João 14:6)"
39,"Senhor a Ti clamo, escuta-me; inclina os Teus ouvidos à minha voz, quando a Ti clamar. (Salmo 141:1)"
40,Coloque nas mãos de Deus suas aflições e agradeça pelas suas vitórias.
41,"Querido Deus, Tu és minha proteção, a minha fortaleza. Tu és o meu Deus, eu confio em Ti. (Salmo 91:2)"
42,"Se Deus encheu tua vida de obstáculos, é porque ele acredita na tua capacidade de passar por cada um."
43,"Querido Deus, ajuda-me a ser sábio e disposto a Te obedecer."
44,Amigo de verdade é Deus.
45,Deus tem um propósito até nos dias mais difíceis.
46,Eu falo com Deus e sei que ele me ouve!
47,Venham e vejam o que Deus tem feito; como são impressionantes as suas obras em favor dos homens! (Salmos 66:5)
48,Jesus é único e incomparável. Não há ninguém igual a Ele.
49,E seja sempre como Deus quiser.
50,"Enquanto há vida, há esperança. (Eclesiastes 9:4)"
